##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	Sample_SD1-1_L002_R1.bbduk.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	70514459
Sequences flagged as poor quality	0
Sequence length	1-101
%GC	48
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.85601216907868	34.0	31.0	34.0	31.0	34.0
2	33.10739061044528	34.0	33.0	34.0	31.0	34.0
3	32.757713985011485	34.0	31.0	34.0	31.0	34.0
4	36.33774809031911	37.0	37.0	37.0	35.0	37.0
5	36.39203249911009	37.0	37.0	37.0	35.0	37.0
6	36.45157668774779	37.0	37.0	37.0	35.0	37.0
7	36.44615428055717	37.0	37.0	37.0	35.0	37.0
8	36.431051557404004	37.0	37.0	37.0	35.0	37.0
9	38.21723036747962	39.0	39.0	39.0	37.0	39.0
10-11	38.24361430757338	39.0	39.0	39.0	37.0	39.0
12-13	38.19618530963308	39.0	39.0	39.0	37.0	39.0
14-15	39.70111317768762	41.0	40.0	41.0	37.0	41.0
16-17	39.68314369387376	41.0	40.0	41.0	37.0	41.0
18-19	39.675413538826206	41.0	40.0	41.0	37.0	41.0
20-21	39.62370377736792	41.0	40.0	41.0	37.0	41.0
22-23	39.549477497379044	41.0	39.5	41.0	37.0	41.0
24-25	39.514110533801315	41.0	39.0	41.0	37.0	41.0
26-27	39.43769558714335	41.0	39.0	41.0	36.5	41.0
28-29	39.36514323662598	41.0	39.0	41.0	36.0	41.0
30-31	39.29501270531841	40.0	39.0	41.0	36.0	41.0
32-33	39.18537874111296	40.0	39.0	41.0	36.0	41.0
34-35	39.0147448404218	40.0	38.5	41.0	35.5	41.0
36-37	38.947695865824	40.0	38.0	41.0	35.0	41.0
38-39	38.91428359234921	40.0	38.0	41.0	35.0	41.0
40-41	39.00822412938207	40.0	38.0	41.0	35.0	41.0
42-43	38.91954624706952	40.0	38.0	41.0	35.0	41.0
44-45	38.77560893744667	40.0	38.0	41.0	35.0	41.0
46-47	38.62503500424741	40.0	38.0	41.0	34.5	41.0
48-49	38.38754310317742	40.0	37.0	41.0	34.0	41.0
50-51	38.10567591932987	40.0	37.0	41.0	33.0	41.0
52-53	38.31149496608879	40.0	37.0	41.0	34.0	41.0
54-55	38.18182128977948	40.0	36.0	41.0	34.0	41.0
56-57	37.92845940848263	39.0	36.0	41.0	34.0	41.0
58-59	37.65457351855917	39.0	35.0	41.0	34.0	41.0
60-61	37.39267662190461	38.5	35.0	41.0	33.0	41.0
62-63	37.08255303904278	37.5	35.0	40.0	33.0	41.0
64-65	36.743240902280405	37.0	35.0	39.5	33.0	41.0
66-67	36.38154481016376	36.0	35.0	39.0	33.0	41.0
68-69	36.03483978984798	36.0	35.0	39.0	33.0	41.0
70-71	35.71806577234334	35.0	35.0	37.5	33.0	40.0
72-73	35.404016745158245	35.0	35.0	37.0	32.5	39.0
74-75	35.10645654955192	35.0	35.0	36.5	32.0	39.0
76-77	34.27590440968787	35.0	33.5	36.0	30.5	37.0
78-79	34.6064015039791	35.0	34.0	36.0	32.0	37.0
80-81	34.51047899732248	35.0	34.0	35.0	32.0	37.0
82-83	34.385018665598366	35.0	34.0	35.0	32.0	36.0
84-85	34.28187212649892	35.0	34.0	35.0	32.0	36.0
86-87	34.19686117295988	35.0	34.0	35.0	32.0	36.0
88-89	34.134989084594054	35.0	34.0	35.0	32.0	35.5
90-91	34.08704187851123	35.0	34.0	35.0	32.0	35.0
92-93	34.0502110683164	35.0	34.0	35.0	32.0	35.0
94-95	34.02534359079346	35.0	34.0	35.0	32.0	35.0
96-97	34.00933231816663	35.0	34.0	35.0	32.0	35.0
98-99	34.024024174379264	35.0	34.0	35.0	32.0	35.0
100-101	32.87855025040038	34.0	32.0	35.0	28.5	35.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	0.36215910463064205
1101	2	0.2293903707651168
1101	3	0.5971178875293646
1101	4	0.3023047845061271
1101	5	0.18486635024031273
1101	6	0.12688968452138738
1101	7	0.13819814201584535
1101	8	0.15405570658500523
1101	9	0.24830236287517238
1101	10-11	0.20470707483772088
1101	12-13	0.20720663096833647
1101	14-15	0.32635396299232866
1101	16-17	0.3104336929333016
1101	18-19	0.28882221539363684
1101	20-21	0.2968943455534756
1101	22-23	0.33207028847722597
1101	24-25	0.29774787688594273
1101	26-27	0.28168676078980326
1101	28-29	0.281482614118012
1101	30-31	0.31346717188165485
1101	32-33	0.33165484955335245
1101	34-35	0.38668963935256784
1101	36-37	0.3328215983689091
1101	38-39	0.34015591108143184
1101	40-41	0.2750734536322099
1101	42-43	0.258074341781672
1101	44-45	0.2392072513906811
1101	46-47	0.22031989868431623
1101	48-49	0.28814631316752326
1101	50-51	0.3282534209163046
1101	52-53	0.2467117336124076
1101	54-55	0.26670676609843014
1101	56-57	0.2944499642023075
1101	58-59	0.28064795881887505
1101	60-61	0.24956538995757427
1101	62-63	0.22336518604922162
1101	64-65	0.20804374963832117
1101	66-67	0.21767663868195797
1101	68-69	0.18194993564993212
1101	70-71	0.1614616825731474
1101	72-73	0.14400664124941898
1101	74-75	0.14339660714362168
1101	76-77	0.04149403305788013
1101	78-79	0.09834435065916836
1101	80-81	0.1371882193057843
1101	82-83	0.1332917341722677
1101	84-85	0.1081382058831224
1101	86-87	0.09274022303153373
1101	88-89	0.04599270595036842
1101	90-91	0.06099181628948713
1101	92-93	0.05266797902765319
1101	94-95	0.026652326557382366
1101	96-97	0.014314169128930132
1101	98-99	0.030286511700339247
1101	100-101	-0.014283172637206576
1102	1	0.31950834379262005
1102	2	0.19646972936376272
1102	3	0.5470814434302795
1102	4	0.2749921390545964
1102	5	0.15343229692835791
1102	6	0.10633177410905859
1102	7	0.11994051362887603
1102	8	0.12568674087457055
1102	9	0.20121655008890116
1102	10-11	0.17141090017916127
1102	12-13	0.19462497544177637
1102	14-15	0.2659455277899667
1102	16-17	0.2626367578180009
1102	18-19	0.25983446326854676
1102	20-21	0.26779662533630955
1102	22-23	0.29049152643740683
1102	24-25	0.2730147176909128
1102	26-27	0.26609942544575205
1102	28-29	0.29119115381089244
1102	30-31	0.29729187959454606
1102	32-33	0.29763719190454907
1102	34-35	0.3572101351319503
1102	36-37	0.31629884354974536
1102	38-39	0.32203240276472656
1102	40-41	0.2545027632725123
1102	42-43	0.26469321598873563
1102	44-45	0.23020907942193958
1102	46-47	0.2106212915757979
1102	48-49	0.2983294744167537
1102	50-51	0.3864259236799583
1102	52-53	0.2647119948107317
1102	54-55	0.24952701357857876
1102	56-57	0.2724147070248151
1102	58-59	0.2718162960029957
1102	60-61	0.23662737735978823
1102	62-63	0.22457198095492714
1102	64-65	0.17998252426890105
1102	66-67	0.1716430357762917
1102	68-69	0.1513542233918912
1102	70-71	0.15284357382231661
1102	72-73	0.15396368819224904
1102	74-75	0.12782562220703397
1102	76-77	0.06997996477595336
1102	78-79	0.11254190227268879
1102	80-81	0.12370696204916953
1102	82-83	0.12310710415665227
1102	84-85	0.09197559610036876
1102	86-87	0.09467574605243811
1102	88-89	0.08695451452084058
1102	90-91	0.08152294311221908
1102	92-93	0.0732246514260595
1102	94-95	0.07778794482594975
1102	96-97	0.04253953768419905
1102	98-99	0.05426950101256267
1102	100-101	0.01335910359978243
1103	1	0.3100331523688098
1103	2	0.1978961287512533
1103	3	0.544278763341886
1103	4	0.2552766833435598
1103	5	0.12749804166442402
1103	6	0.11095517010177502
1103	7	0.10761823484250499
1103	8	0.0956723494652536
1103	9	0.1450033920572693
1103	10-11	0.128495442386928
1103	12-13	0.1529755526964749
1103	14-15	0.25209070546546997
1103	16-17	0.2584483100317172
1103	18-19	0.23784438646921302
1103	20-21	0.24830277830692893
1103	22-23	0.25323831427705557
1103	24-25	0.2515528665361373
1103	26-27	0.25219615836696363
1103	28-29	0.25683936434034393
1103	30-31	0.29144179333463427
1103	32-33	0.28222985814971935
1103	34-35	0.2849172362859136
1103	36-37	0.28053638374473167
1103	38-39	0.3435440548178761
1103	40-41	0.2659553390142264
1103	42-43	0.2025809411492574
1103	44-45	0.2321355566586618
1103	46-47	0.20500132339042665
1103	48-49	0.28556667177299744
1103	50-51	0.37684323345021653
1103	52-53	0.23073852974734166
1103	54-55	0.20135803164385635
1103	56-57	0.2410607722908935
1103	58-59	0.2191768252572288
1103	60-61	0.18861992083729717
1103	62-63	0.21918851832461428
1103	64-65	0.15788196527081055
1103	66-67	0.16601362472925985
1103	68-69	0.1314952790856765
1103	70-71	0.0998081308084835
1103	72-73	0.12556567486538484
1103	74-75	0.09738626221459157
1103	76-77	0.011762774128477815
1103	78-79	0.08801633635675188
1103	80-81	0.1056459530292031
1103	82-83	0.1079481970954248
1103	84-85	0.09208023560369583
1103	86-87	0.12567409515842343
1103	88-89	0.12263243837269044
1103	90-91	0.0944518117839479
1103	92-93	0.07455622948574359
1103	94-95	0.06593588296595954
1103	96-97	0.05990338066245471
1103	98-99	0.059987748741370694
1103	100-101	-0.011489752907181128
1104	1	0.2631072797747507
1104	2	0.14285520140312258
1104	3	0.4995252745310239
1104	4	0.21165912730325687
1104	5	0.12536851462468235
1104	6	0.06158002793154793
1104	7	0.06721502184343109
1104	8	0.08442548634147329
1104	9	0.09458513907586052
1104	10-11	0.08619889505221323
1104	12-13	0.07992382057635439
1104	14-15	0.15155817708883035
1104	16-17	0.16293123497986528
1104	18-19	0.14638996667760296
1104	20-21	0.15059463441870236
1104	22-23	0.17971145883348072
1104	24-25	0.17876810824311207
1104	26-27	0.13293824888472017
1104	28-29	0.19429163178439524
1104	30-31	0.19725126878874022
1104	32-33	0.19163412124664347
1104	34-35	0.24844512092933968
1104	36-37	0.23748781225141613
1104	38-39	0.2262440765806062
1104	40-41	0.1965874910785672
1104	42-43	0.11343270986611742
1104	44-45	0.1464545367516621
1104	46-47	0.19432004918071044
1104	48-49	0.2693961322950287
1104	50-51	0.3260233627248752
1104	52-53	0.2036688393106303
1104	54-55	0.13961703563155226
1104	56-57	0.21047866832213913
1104	58-59	0.17262224868093767
1104	60-61	0.1704448156328766
1104	62-63	0.1518301450852917
1104	64-65	0.14644877294330882
1104	66-67	0.14958176146615898
1104	68-69	0.15820247013820676
1104	70-71	0.11909766641938546
1104	72-73	0.11188533113026722
1104	74-75	0.10672275582793844
1104	76-77	0.0132194841308646
1104	78-79	0.0650900912433201
1104	80-81	0.09599317640638105
1104	82-83	0.1221176615480104
1104	84-85	0.08547401495674478
1104	86-87	0.0780177359161982
1104	88-89	0.08061135614003945
1104	90-91	0.09037133519906604
1104	92-93	0.08052466070999031
1104	94-95	0.08673429667643973
1104	96-97	0.07556449786753205
1104	98-99	0.09191949091331253
1104	100-101	1.2663734071338695E-4
1105	1	0.2768065010685419
1105	2	0.14860974971837493
1105	3	0.4978746169568353
1105	4	0.22329732473798458
1105	5	0.1306873726950144
1105	6	0.056696035042683945
1105	7	0.0687181781635644
1105	8	0.055193479518024446
1105	9	0.1198092356173035
1105	10-11	0.09020215723106872
1105	12-13	0.1255627909926318
1105	14-15	0.18985426737555855
1105	16-17	0.17803521686411727
1105	18-19	0.12064068644683346
1105	20-21	0.13037457210089798
1105	22-23	0.18761201384793935
1105	24-25	0.16949883630697826
1105	26-27	0.1676035313487958
1105	28-29	0.18863949104264321
1105	30-31	0.18693883309646964
1105	32-33	0.20861169806291713
1105	34-35	0.26525960340781296
1105	36-37	0.2142771482591428
1105	38-39	0.2569494741810203
1105	40-41	0.1930075644489122
1105	42-43	0.20018605012215573
1105	44-45	0.20709073854242632
1105	46-47	0.19773863865766117
1105	48-49	0.25101385993110625
1105	50-51	0.330285838055012
1105	52-53	0.19745211833449616
1105	54-55	0.1702301666396835
1105	56-57	0.2215013313101295
1105	58-59	0.18561532528882196
1105	60-61	0.12934952519723453
1105	62-63	0.1322098228288624
1105	64-65	0.12182037284402014
1105	66-67	0.1560501110913748
1105	68-69	0.13659910163332967
1105	70-71	0.10860595226096592
1105	72-73	0.11577901454430872
1105	74-75	0.12031690324715072
1105	76-77	0.028392990180485356
1105	78-79	0.08548849168950312
1105	80-81	0.11763941634018238
1105	82-83	0.10632851697062762
1105	84-85	0.10779931374422347
1105	86-87	0.11944880755233811
1105	88-89	0.09616052372338402
1105	90-91	0.10207753500065309
1105	92-93	0.10164827281295885
1105	94-95	0.10222908460217184
1105	96-97	0.08197097610634785
1105	98-99	0.0728868085196055
1105	100-101	0.07098080056489664
1106	1	0.24410969228471657
1106	2	0.1102587271392963
1106	3	0.4686172617403557
1106	4	0.204785300925586
1106	5	0.07851676586098932
1106	6	0.047370029681900405
1106	7	0.034724052243838344
1106	8	0.016909993547621127
1106	9	0.09459377118549384
1106	10-11	0.047080730752703914
1106	12-13	0.06961384646351121
1106	14-15	0.13619380475736165
1106	16-17	0.1430418745726314
1106	18-19	0.13284245604408085
1106	20-21	0.11399619175517728
1106	22-23	0.1565755960223072
1106	24-25	0.12701711411781957
1106	26-27	0.13089746204138208
1106	28-29	0.13264071388525878
1106	30-31	0.1581171156896417
1106	32-33	0.15034873376698243
1106	34-35	0.22791814925119525
1106	36-37	0.16304095702290766
1106	38-39	0.21574391788140446
1106	40-41	0.13642919301175738
1106	42-43	0.15190991068433846
1106	44-45	0.15736720334081156
1106	46-47	0.1499764308050331
1106	48-49	0.21225356963765307
1106	50-51	0.3091115805829716
1106	52-53	0.14769243981650249
1106	54-55	0.11666372199764652
1106	56-57	0.16591859159350264
1106	58-59	0.18922985983257234
1106	60-61	0.12962983985910626
1106	62-63	0.1152649960866654
1106	64-65	0.12730656487438097
1106	66-67	0.10725914087657173
1106	68-69	0.11806495877645062
1106	70-71	0.12501822295520526
1106	72-73	0.09376154804593284
1106	74-75	0.10962830601153684
1106	76-77	0.010564283576222522
1106	78-79	0.0485857927595319
1106	80-81	0.07786979602397537
1106	82-83	0.11698694704848833
1106	84-85	0.1190822262461495
1106	86-87	0.1009051959097107
1106	88-89	0.07832530666872373
1106	90-91	0.1041878815159123
1106	92-93	0.0850235742263763
1106	94-95	0.08972586285798201
1106	96-97	0.05168565302739836
1106	98-99	0.07762152366409936
1106	100-101	0.09914118042959785
1107	1	0.25279106854089406
1107	2	0.12312670290727112
1107	3	0.46672872480164074
1107	4	0.20181781065593185
1107	5	0.10028600637689777
1107	6	0.04687738156814447
1107	7	0.05542777138129651
1107	8	0.05034707600421484
1107	9	0.08263833196280501
1107	10-11	0.05233379816468897
1107	12-13	0.07674398510310709
1107	14-15	0.11959676355638749
1107	16-17	0.1306141909962406
1107	18-19	0.10293882769569507
1107	20-21	0.1235844006188529
1107	22-23	0.1250099162785432
1107	24-25	0.10788253263655889
1107	26-27	0.1461847841759507
1107	28-29	0.15068135758109946
1107	30-31	0.11420950098383287
1107	32-33	0.09404743396605397
1107	34-35	0.19730801927959618
1107	36-37	0.21375108540857468
1107	38-39	0.24726772396561358
1107	40-41	0.18893110243748623
1107	42-43	0.14694721444062253
1107	44-45	0.1697334973484601
1107	46-47	0.19264978516488185
1107	48-49	0.24999146117539794
1107	50-51	0.3510156645417908
1107	52-53	0.18123994562674284
1107	54-55	0.15495537709524143
1107	56-57	0.19856773474309364
1107	58-59	0.19918469263063798
1107	60-61	0.10900443702932705
1107	62-63	0.13795584282636497
1107	64-65	0.10660579540679294
1107	66-67	0.12843657476731352
1107	68-69	0.12459614380605188
1107	70-71	0.10285187126522288
1107	72-73	0.09915044917686089
1107	74-75	0.09058572728195458
1107	76-77	-0.04459642623080384
1107	78-79	0.042139892112523114
1107	80-81	0.08415282919227707
1107	82-83	0.10672913324361133
1107	84-85	0.07734527549717995
1107	86-87	0.09886256320584863
1107	88-89	0.07257570378901335
1107	90-91	0.09090929438589512
1107	92-93	0.10557533896517413
1107	94-95	0.09164132264048419
1107	96-97	0.10070441618551484
1107	98-99	0.09046483330131139
1107	100-101	0.07289586419558702
1108	1	0.19429313743402332
1108	2	0.09020452217600905
1108	3	0.43905563585726526
1108	4	0.18654820036866937
1108	5	0.058732957114102646
1108	6	0.016886844508178456
1108	7	0.014165532650899593
1108	8	0.02267846479171709
1108	9	0.043715458976379296
1108	10-11	0.026936024061448904
1108	12-13	0.0332156453005652
1108	14-15	0.07959691051641471
1108	16-17	0.07319758796352005
1108	18-19	0.03898408482453419
1108	20-21	0.057675319718889284
1108	22-23	0.09251065318814256
1108	24-25	0.0849993073533497
1108	26-27	0.10264909339951345
1108	28-29	0.10235281063179258
1108	30-31	0.11031383243529547
1108	32-33	0.14063069581001741
1108	34-35	0.2231353928763511
1108	36-37	0.1839049816990297
1108	38-39	0.2051752311915962
1108	40-41	0.15235245323363955
1108	42-43	0.137171564825195
1108	44-45	0.12201498065621763
1108	46-47	0.14807040086082424
1108	48-49	0.20960750169433595
1108	50-51	0.3194193117167501
1108	52-53	0.16210757103402074
1108	54-55	0.16624330692999223
1108	56-57	0.1978937719697953
1108	58-59	0.1647581360670074
1108	60-61	0.12126289230953802
1108	62-63	0.10659988709108603
1108	64-65	0.12855669273357506
1108	66-67	0.13305067560821016
1108	68-69	0.1210512098720713
1108	70-71	0.11891384705103292
1108	72-73	0.1142898648900541
1108	74-75	0.08942497537540106
1108	76-77	-0.013538160141870037
1108	78-79	0.06160838126777435
1108	80-81	0.07510413175501185
1108	82-83	0.10140390972691904
1108	84-85	0.0829957748741208
1108	86-87	0.06137297190404212
1108	88-89	0.071117461858762
1108	90-91	0.08592703731117979
1108	92-93	0.10382405759655455
1108	94-95	0.09602018344603636
1108	96-97	0.1008885380092508
1108	98-99	0.10196007902499105
1108	100-101	0.09774613828798806
1109	1	0.20780272445936987
1109	2	0.0704272279410958
1109	3	0.4291637703998177
1109	4	0.18786548130341174
1109	5	0.06607435780608739
1109	6	0.0034951831531699895
1109	7	0.01294904963918242
1109	8	-0.002322786101267127
1109	9	0.04445819828460884
1109	10-11	0.014607925438092195
1109	12-13	0.009209654042081183
1109	14-15	0.08446169003728698
1109	16-17	0.06894783424061757
1109	18-19	0.04891721782432512
1109	20-21	0.039416942055289894
1109	22-23	0.05979344375302276
1109	24-25	0.06315593002580044
1109	26-27	0.06401638408279808
1109	28-29	0.0641272708782239
1109	30-31	0.056540021328252976
1109	32-33	0.10441545444353295
1109	34-35	0.16826032949223446
1109	36-37	0.06650230893754383
1109	38-39	0.12469651795490932
1109	40-41	0.09506476064940017
1109	42-43	0.08379912296527436
1109	44-45	0.052276237962985306
1109	46-47	0.03346800879941014
1109	48-49	0.12714564688276653
1109	50-51	0.18307764475652988
1109	52-53	0.031649624038976754
1109	54-55	0.08212751860926915
1109	56-57	0.10649610235980589
1109	58-59	0.09672219837821672
1109	60-61	0.0580646512561529
1109	62-63	0.058384807741170164
1109	64-65	0.05467708525137738
1109	66-67	0.05565259397487665
1109	68-69	0.029429480259032914
1109	70-71	-0.008658632130213562
1109	72-73	0.031953324760870316
1109	74-75	0.045267992507952215
1109	76-77	-0.04281728482278169
1109	78-79	0.0268454092885122
1109	80-81	0.0356627450020639
1109	82-83	0.014011316283223607
1109	84-85	0.014229640504353824
1109	86-87	0.014300625682658108
1109	88-89	0.01147716038921942
1109	90-91	0.029890601029492814
1109	92-93	0.005642854504181116
1109	94-95	0.008044610945376007
1109	96-97	0.0023400680846989985
1109	98-99	0.04492571718454741
1109	100-101	0.06734483115619128
1110	1	0.13918217409111833
1110	2	0.03176345317786655
1110	3	0.3849510028104035
1110	4	0.14584655870982033
1110	5	-0.02572282399793835
1110	6	-0.033678119141320906
1110	7	-0.038147007335489036
1110	8	-0.030344290804407592
1110	9	-0.03126887027789138
1110	10-11	-0.03424028621777353
1110	12-13	-0.043296949013040376
1110	14-15	0.0030756046281794625
1110	16-17	-0.0033694767055294506
1110	18-19	-0.021979659974775245
1110	20-21	0.004704463940434778
1110	22-23	0.005671582385360807
1110	24-25	-0.014604597998847169
1110	26-27	-0.006887441615248235
1110	28-29	0.010535848304535023
1110	30-31	-0.06341496892168408
1110	32-33	-0.03246467109003248
1110	34-35	0.04567682628711367
1110	36-37	-0.019977141876196924
1110	38-39	0.023908825821159496
1110	40-41	-0.0204053464277294
1110	42-43	-0.08214802180171432
1110	44-45	-0.07165717389759862
1110	46-47	0.015287972677732853
1110	48-49	0.1305016348524859
1110	50-51	0.2166948974495071
1110	52-53	0.05007771235292324
1110	54-55	0.03145988251726095
1110	56-57	0.00612104311671402
1110	58-59	0.02216952575705733
1110	60-61	-0.11552716229154925
1110	62-63	-0.0632260824003339
1110	64-65	-0.010768592695427515
1110	66-67	-0.050085356824268956
1110	68-69	-0.034466729370002724
1110	70-71	-0.03248406881538557
1110	72-73	-0.03325770499553471
1110	74-75	-0.04276131168021635
1110	76-77	-0.20236370563846862
1110	78-79	-0.04399307759782545
1110	80-81	-0.11801108228176815
1110	82-83	-0.027711682920774194
1110	84-85	-0.035019174627493044
1110	86-87	-0.011256666290535122
1110	88-89	0.01814776134948204
1110	90-91	0.026542714375878518
1110	92-93	0.029037323545416882
1110	94-95	0.03531760863222644
1110	96-97	-0.01738005290157929
1110	98-99	-0.005623349375198927
1110	100-101	0.005390767586895606
1111	1	0.03522244083036696
1111	2	-0.045154224677212085
1111	3	0.08579242331712322
1111	4	0.03159545414913367
1111	5	-0.02679633711117191
1111	6	-0.053991627960428445
1111	7	-0.05509274710912848
1111	8	-0.0435611411494321
1111	9	-0.027514071017733954
1111	10-11	-0.06325737319654223
1111	12-13	-0.07115424251008307
1111	14-15	-0.08450826679611367
1111	16-17	-0.08228547905673622
1111	18-19	-0.06972098610256694
1111	20-21	-0.06786101497180397
1111	22-23	-0.05546822780294747
1111	24-25	-0.07425214239179212
1111	26-27	-0.09108721611914206
1111	28-29	-0.07222749672541084
1111	30-31	-0.07296954008170786
1111	32-33	-0.06467466845432313
1111	34-35	-0.031451624162016856
1111	36-37	-0.06304932145053499
1111	38-39	-0.021467792969467325
1111	40-41	-0.051187239108337224
1111	42-43	-0.07132228404233132
1111	44-45	-0.07065550019161293
1111	46-47	-0.0893404025710467
1111	48-49	-0.023590002626718842
1111	50-51	0.07677829715363771
1111	52-53	-0.07610906035242238
1111	54-55	-0.06813730779149552
1111	56-57	-0.05422942987316759
1111	58-59	-0.07652418077940837
1111	60-61	-0.11359984040947779
1111	62-63	-0.08131730641678558
1111	64-65	-0.09110780884396519
1111	66-67	-0.07013184622451973
1111	68-69	-0.08901115667753601
1111	70-71	-0.07766515041499389
1111	72-73	-0.08877447153705731
1111	74-75	-0.0839643529827967
1111	76-77	-0.22771031046514878
1111	78-79	-0.09216287416892754
1111	80-81	-0.07462594064219275
1111	82-83	-0.04236069855240032
1111	84-85	-0.04503717420791986
1111	86-87	-0.04724544921092644
1111	88-89	-0.07475851805770617
1111	90-91	-0.07028488916377995
1111	92-93	-0.038802430476160055
1111	94-95	-0.028736218289367343
1111	96-97	-0.050397441546621735
1111	98-99	-0.029065489891003438
1111	100-101	-0.01113191316607498
1112	1	-0.0010973893265529
1112	2	-0.0692976317525762
1112	3	0.03925822569398463
1112	4	0.0140424563703192
1112	5	-0.06937503153946523
1112	6	-0.09430570009873662
1112	7	-0.07645701703807362
1112	8	-0.08030831977547592
1112	9	-0.10761711430939869
1112	10-11	-0.11548685920929813
1112	12-13	-0.09503316380764204
1112	14-15	-0.09355144628462142
1112	16-17	-0.11848648464479083
1112	18-19	-0.12728167567388482
1112	20-21	-0.11705732479597941
1112	22-23	-0.09661517563502287
1112	24-25	-0.11356569529491622
1112	26-27	-0.11764672545557886
1112	28-29	-0.08777184569115803
1112	30-31	-0.13813512139716266
1112	32-33	-0.11529345269141089
1112	34-35	-0.04992845700405013
1112	36-37	-0.08057188411630989
1112	38-39	-0.03585106768362323
1112	40-41	-0.1041290779088726
1112	42-43	-0.0745642049680697
1112	44-45	-0.08313601256773495
1112	46-47	-0.0718415574090514
1112	48-49	-0.010689899192783514
1112	50-51	0.05773584761800521
1112	52-53	-0.094646249541249
1112	54-55	-0.10376501746771538
1112	56-57	-0.053557515902788566
1112	58-59	-0.04646001511279252
1112	60-61	-0.08680674625602336
1112	62-63	-0.13391742093489256
1112	64-65	-0.11496823350486807
1112	66-67	-0.09088440141905352
1112	68-69	-0.10889218287007196
1112	70-71	-0.11909591705445877
1112	72-73	-0.1679142728387859
1112	74-75	-0.16444778077592304
1112	76-77	-0.3128763178096037
1112	78-79	-0.15803592305805125
1112	80-81	-0.12210445197298725
1112	82-83	-0.09386496284112411
1112	84-85	-0.08973420021187195
1112	86-87	-0.08787058184876884
1112	88-89	-0.06459153533644013
1112	90-91	-0.08002748617813893
1112	92-93	-0.06782920084906863
1112	94-95	-0.045867299709399845
1112	96-97	-0.049966291641162286
1112	98-99	-0.029806672032322012
1112	100-101	-0.053139339573498034
1113	1	-0.21887853553517544
1113	2	-0.19751171736772477
1113	3	-0.47225191605688366
1113	4	-0.1692725027843096
1113	5	-0.1431678118235027
1113	6	-0.12005858688210225
1113	7	-0.09509814095849833
1113	8	-0.08219780369732632
1113	9	-0.10512999602565998
1113	10-11	-0.13116071095569026
1113	12-13	-0.15146492875840067
1113	14-15	-0.17393438322453392
1113	16-17	-0.19078871305681133
1113	18-19	-0.18723336496967136
1113	20-21	-0.17938587192720234
1113	22-23	-0.17881249901782326
1113	24-25	-0.2129681675728392
1113	26-27	-0.19371191398493437
1113	28-29	-0.1936175212249367
1113	30-31	-0.19167733452527358
1113	32-33	-0.1628746017125806
1113	34-35	-0.09226539053073424
1113	36-37	-0.11669513287323241
1113	38-39	-0.09858448914546614
1113	40-41	-0.14898531094724632
1113	42-43	-0.15547626060622832
1113	44-45	-0.1596066150015787
1113	46-47	-0.1732120591942916
1113	48-49	-0.08547471241401183
1113	50-51	0.022163349734960036
1113	52-53	-0.13984652836519018
1113	54-55	-0.1401341054247851
1113	56-57	-0.10505222735358899
1113	58-59	-0.12254457260905127
1113	60-61	-0.13298470429251097
1113	62-63	-0.16915453382843992
1113	64-65	-0.13784487555228253
1113	66-67	-0.12030345212631488
1113	68-69	-0.12602754492433377
1113	70-71	-0.13817290251787284
1113	72-73	-0.12866142242422995
1113	74-75	-0.1314414050234305
1113	76-77	-0.21083462740686087
1113	78-79	-0.1489337849946608
1113	80-81	-0.0924736079123818
1113	82-83	-0.12997311946850942
1113	84-85	-0.10581920584726845
1113	86-87	-0.12183466693764444
1113	88-89	-0.10842671671768045
1113	90-91	-0.09540995615823533
1113	92-93	-0.1175262577492191
1113	94-95	-0.08522948390145046
1113	96-97	-0.09945408888435026
1113	98-99	-0.058895777439111896
1113	100-101	0.0013750662255631596
