##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	Sample_SD1-2_L002_R2.bbduk.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	80120013
Sequences flagged as poor quality	0
Sequence length	1-101
%GC	48
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.51362938495779	34.0	31.0	34.0	31.0	34.0
2	32.94721568495097	34.0	31.0	34.0	31.0	34.0
3	33.001691837903294	34.0	31.0	34.0	31.0	34.0
4	36.30906482623338	37.0	37.0	37.0	35.0	37.0
5	36.296522593229525	37.0	37.0	37.0	35.0	37.0
6	36.29386163450939	37.0	37.0	37.0	35.0	37.0
7	36.29929374370416	37.0	37.0	37.0	35.0	37.0
8	36.27784531000781	37.0	37.0	37.0	35.0	37.0
9	38.0512693902718	39.0	39.0	39.0	35.0	39.0
10-11	38.04226424516301	39.0	38.0	39.0	35.0	39.0
12-13	37.99943151787849	39.0	38.0	39.0	35.0	39.0
14-15	39.5114766855711	41.0	40.0	41.0	36.5	41.0
16-17	39.49175061784136	41.0	39.0	41.0	36.0	41.0
18-19	39.47752216165044	41.0	39.0	41.0	36.5	41.0
20-21	39.44409402975488	41.0	39.0	41.0	36.0	41.0
22-23	39.39589199676567	41.0	39.0	41.0	36.0	41.0
24-25	39.35814107840557	41.0	39.0	41.0	36.0	41.0
26-27	39.27163836289987	40.5	39.0	41.0	36.0	41.0
28-29	39.19774820708156	40.0	39.0	41.0	36.0	41.0
30-31	39.16005305084674	40.0	39.0	41.0	36.0	41.0
32-33	39.09126748244657	40.0	38.5	41.0	35.0	41.0
34-35	39.00788063715722	40.0	38.0	41.0	35.0	41.0
36-37	38.915028998029044	40.0	38.0	41.0	35.0	41.0
38-39	39.042003909555945	40.0	38.0	41.0	35.0	41.0
40-41	38.98076849700928	40.0	38.0	41.0	35.0	41.0
42-43	38.859456478970486	40.0	38.0	41.0	35.0	41.0
44-45	38.73356224638665	40.0	38.0	41.0	34.5	41.0
46-47	38.60790529548261	40.0	38.0	41.0	34.0	41.0
48-49	38.404696525920656	40.0	37.5	41.0	34.0	41.0
50-51	37.72411948819372	39.5	36.5	40.5	33.0	41.0
52-53	37.65125124069268	39.0	36.0	40.0	33.0	41.0
54-55	38.083065655597636	39.5	36.0	41.0	34.0	41.0
56-57	38.029362986975	39.0	36.0	41.0	34.0	41.0
58-59	37.78218055235577	39.0	35.0	41.0	34.0	41.0
60-61	37.49654509110882	39.0	35.0	41.0	33.5	41.0
62-63	37.17363208791912	37.5	35.0	40.5	33.0	41.0
64-65	36.830590527541304	37.0	35.0	40.0	33.0	41.0
66-67	36.485544896719034	36.5	35.0	39.0	33.0	41.0
68-69	36.13257117937234	36.0	35.0	39.0	33.0	41.0
70-71	35.78892613453537	35.5	35.0	38.0	33.0	40.0
72-73	35.461956421902016	35.0	35.0	37.0	32.5	39.0
74-75	35.16547909785777	35.0	35.0	37.0	32.0	39.0
76-77	34.89935665232681	35.0	34.5	36.0	32.0	38.0
78-79	34.68063580131593	35.0	34.0	36.0	32.0	37.0
80-81	34.49897237134302	35.0	34.0	35.0	32.0	37.0
82-83	34.34702301289508	35.0	34.0	35.0	32.0	36.0
84-85	34.23044204684092	35.0	34.0	35.0	32.0	36.0
86-87	34.14988156929215	35.0	34.0	35.0	32.0	36.0
88-89	34.07695302362279	35.0	34.0	35.0	32.0	35.5
90-91	34.023697754341796	35.0	34.0	35.0	31.5	35.0
92-93	34.00321095819205	35.0	34.0	35.0	31.0	35.0
94-95	33.99129253857448	35.0	34.0	35.0	31.5	35.0
96-97	33.988561135666366	35.0	34.0	35.0	32.0	35.0
98-99	34.00257133888225	35.0	34.0	35.0	32.0	35.0
100-101	32.7509334942603	34.0	31.5	34.5	28.5	35.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.25956930230103836
1101	2	0.227141798589237
1101	3	0.26259794721178764
1101	4	0.1831896410961633
1101	5	0.20536115444066638
1101	6	0.22297399085435643
1101	7	0.21210587608438658
1101	8	0.1957183935456186
1101	9	0.27941221332540067
1101	10-11	0.28563641044053867
1101	12-13	0.3103993449267648
1101	14-15	0.4059928017536052
1101	16-17	0.38406964257712417
1101	18-19	0.37929226375031533
1101	20-21	0.37074929362410103
1101	22-23	0.36766178065789035
1101	24-25	0.3663426401802141
1101	26-27	0.3195451878429978
1101	28-29	0.3243686171078508
1101	30-31	0.3613300792311307
1101	32-33	0.3231991268145933
1101	34-35	0.32916937007279756
1101	36-37	0.30139535250616234
1101	38-39	0.29833799624572777
1101	40-41	0.25667342560874573
1101	42-43	0.27442932239801365
1101	44-45	0.2740420277668889
1101	46-47	0.22057797827535808
1101	48-49	0.25322372633398516
1101	50-51	0.17906712383582146
1101	52-53	0.13054208074036922
1101	54-55	0.2319704717655
1101	56-57	0.24532109579470074
1101	58-59	0.24529588291566995
1101	60-61	0.23123184795522178
1101	62-63	0.18555250123790046
1101	64-65	0.1637958535953743
1101	66-67	0.15901017819944485
1101	68-69	0.16246562186912428
1101	70-71	0.16213074936001703
1101	72-73	0.13104157355264334
1101	74-75	0.12938189346342455
1101	76-77	0.11467246479470106
1101	78-79	0.10904772393190143
1101	80-81	0.07394580808473705
1101	82-83	0.07971415537477355
1101	84-85	0.07527530373055669
1101	86-87	0.04576508494432119
1101	88-89	0.05073826139175708
1101	90-91	0.06307595437131397
1101	92-93	0.05846724139897219
1101	94-95	0.030833933702936633
1101	96-97	0.008008205249282696
1101	98-99	-0.002361612442001615
1101	100-101	-0.04652083937064333
1102	1	0.2663191988575093
1102	2	0.22441495116986232
1102	3	0.23663698432825697
1102	4	0.17384172088510752
1102	5	0.19736225176088595
1102	6	0.2111109738955932
1102	7	0.19538272652413013
1102	8	0.2208090217188925
1102	9	0.2703402792400027
1102	10-11	0.2955448179333686
1102	12-13	0.3076691319313909
1102	14-15	0.3909989043976623
1102	16-17	0.38627066567303814
1102	18-19	0.35980799249382045
1102	20-21	0.3621196070254271
1102	22-23	0.36033016438315
1102	24-25	0.355015346272161
1102	26-27	0.3403235485347764
1102	28-29	0.3410545121454547
1102	30-31	0.370818089909541
1102	32-33	0.3569710064771172
1102	34-35	0.3478546442292654
1102	36-37	0.2904648504361731
1102	38-39	0.2796279238270145
1102	40-41	0.27721982541129364
1102	42-43	0.25372679250671126
1102	44-45	0.2527835458093719
1102	46-47	0.18016587167022635
1102	48-49	0.2602622722615706
1102	50-51	0.21265673391367557
1102	52-53	0.16455490869420686
1102	54-55	0.2336404422416436
1102	56-57	0.2709888245439416
1102	58-59	0.2529277690602214
1102	60-61	0.24969787684663203
1102	62-63	0.23505921959934994
1102	64-65	0.17430738441709792
1102	66-67	0.19254168496239998
1102	68-69	0.16598041266261987
1102	70-71	0.16471616496492913
1102	72-73	0.1486984217291365
1102	74-75	0.14170599415971452
1102	76-77	0.11841481769823048
1102	78-79	0.10111222132990605
1102	80-81	0.09099485578602184
1102	82-83	0.0971320320754856
1102	84-85	0.08173095039132505
1102	86-87	0.09247879467958597
1102	88-89	0.08770636377856533
1102	90-91	0.07904549185278853
1102	92-93	0.08879772336144498
1102	94-95	0.05116569349375055
1102	96-97	0.06729398041600376
1102	98-99	0.051889285073791314
1102	100-101	-0.012271561693353306
1103	1	0.21359021405007894
1103	2	0.15288163915133168
1103	3	0.2072693324297319
1103	4	0.1635281920915972
1103	5	0.15888726274531706
1103	6	0.16618769280889012
1103	7	0.15736535285905973
1103	8	0.1824832023305305
1103	9	0.2266187062794316
1103	10-11	0.23434963079345295
1103	12-13	0.2787721560947176
1103	14-15	0.3332749725298285
1103	16-17	0.32694185756623284
1103	18-19	0.32047684302617085
1103	20-21	0.30030157753808595
1103	22-23	0.3084771288979695
1103	24-25	0.32504975768470956
1103	26-27	0.3190342268184736
1103	28-29	0.3076695488935286
1103	30-31	0.3143392068345747
1103	32-33	0.30065216946024975
1103	34-35	0.2871987384094652
1103	36-37	0.2633362198304212
1103	38-39	0.24448555369867364
1103	40-41	0.24762446211992994
1103	42-43	0.24462342252015645
1103	44-45	0.24824921484729856
1103	46-47	0.2077603510955015
1103	48-49	0.2412023445045577
1103	50-51	0.20850895486940146
1103	52-53	0.19697076716884254
1103	54-55	0.25170125878413074
1103	56-57	0.23591515095339588
1103	58-59	0.2343459947999449
1103	60-61	0.21446922638666877
1103	62-63	0.23297952249843235
1103	64-65	0.1828240162468333
1103	66-67	0.20339515087088955
1103	68-69	0.18767469177085871
1103	70-71	0.1279900381389112
1103	72-73	0.13142490740879254
1103	74-75	0.15437826881529304
1103	76-77	0.15183762304403814
1103	78-79	0.14312147913339857
1103	80-81	0.15053167192436945
1103	82-83	0.1219906477761512
1103	84-85	0.10526117926797696
1103	86-87	0.08574481562129677
1103	88-89	0.08740791046302832
1103	90-91	0.07227153409206721
1103	92-93	0.08656435082055225
1103	94-95	0.07912710254668553
1103	96-97	0.07629803105392341
1103	98-99	0.028385438431378418
1103	100-101	0.013598151212335097
1104	1	0.2702861883237091
1104	2	0.17290043838664104
1104	3	0.16325348782588378
1104	4	0.1330055092176181
1104	5	0.12869782110661987
1104	6	0.14886432243496017
1104	7	0.1237753433364972
1104	8	0.1380266972702131
1104	9	0.16759042548036263
1104	10-11	0.17675906905981975
1104	12-13	0.17840170403678712
1104	14-15	0.2666081523347117
1104	16-17	0.2812172384383018
1104	18-19	0.25966377552174436
1104	20-21	0.24664814718908445
1104	22-23	0.2504568446293334
1104	24-25	0.24457358714123956
1104	26-27	0.23777053898554357
1104	28-29	0.23613405347284555
1104	30-31	0.2584085855943954
1104	32-33	0.20513365815457973
1104	34-35	0.2516974694287555
1104	36-37	0.24838264872615667
1104	38-39	0.2428904385955022
1104	40-41	0.21878549776387501
1104	42-43	0.2191446252314222
1104	44-45	0.22230615072161442
1104	46-47	0.20744609271620362
1104	48-49	0.24079716266595597
1104	50-51	0.16047061032385557
1104	52-53	0.17469205455733317
1104	54-55	0.19863980130156733
1104	56-57	0.2177866568872986
1104	58-59	0.182830828181487
1104	60-61	0.16582923162153662
1104	62-63	0.14827037387022557
1104	64-65	0.15000241460510466
1104	66-67	0.15910313205689874
1104	68-69	0.13207638526842658
1104	70-71	0.11683122217251452
1104	72-73	0.13292158947176347
1104	74-75	0.11990045723496934
1104	76-77	0.10953537592634177
1104	78-79	0.09443454506556037
1104	80-81	0.1122412864372393
1104	82-83	0.11210693149709527
1104	84-85	0.11465405493829905
1104	86-87	0.08839032933472168
1104	88-89	0.10269624876539751
1104	90-91	0.10382278174282078
