##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	Sample_SRW-1_L002_R2.bbduk.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	36354213
Sequences flagged as poor quality	0
Sequence length	1-108
%GC	46
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.146690481238036	31.0	31.0	34.0	28.0	34.0
2	32.14368041024622	33.0	31.0	34.0	30.0	34.0
3	32.240106915518844	34.0	31.0	34.0	30.0	34.0
4	35.67122892563373	37.0	35.0	37.0	33.0	37.0
5	35.731754066294215	37.0	35.0	37.0	33.0	37.0
6	35.77302990751464	37.0	35.0	37.0	33.0	37.0
7	35.68947007855013	37.0	35.0	37.0	33.0	37.0
8	35.76647750602687	37.0	35.0	37.0	33.0	37.0
9	37.374034443434475	39.0	37.0	39.0	33.0	39.0
10-11	37.45165809335954	39.0	37.0	39.0	34.0	39.0
12-13	37.436966719292734	39.0	37.0	39.0	33.5	39.0
14-15	38.600647597466015	40.0	38.0	41.0	33.5	41.0
16-17	38.47685749479385	40.0	38.0	41.0	33.5	41.0
18-19	38.43746956232195	40.0	38.0	41.0	33.5	41.0
20-21	38.684086082548674	40.0	38.0	41.0	34.0	41.0
22-23	38.40574999430116	40.0	38.0	41.0	33.5	41.0
24-25	38.566088855020375	40.0	38.0	41.0	34.0	41.0
26-27	38.681105739416935	40.0	38.0	41.0	34.0	41.0
28-29	38.423894411624346	40.0	38.0	41.0	33.5	41.0
30-31	38.18996716383801	40.0	38.0	41.0	33.0	41.0
32-33	38.45559306669024	40.0	38.0	41.0	34.0	41.0
34-35	38.21046466686542	40.0	38.0	41.0	33.0	41.0
36-37	38.11708402100257	40.0	38.0	41.0	33.0	41.0
38-39	38.171349411929725	40.0	37.5	41.0	33.0	41.0
40-41	38.0834839244374	40.0	37.5	41.0	33.0	41.0
42-43	37.69040871962696	39.0	37.0	40.5	32.5	41.0
44-45	37.92814232658901	39.5	37.0	41.0	33.0	41.0
46-47	38.092397664588155	40.0	37.0	41.0	33.0	41.0
48-49	37.997972795320386	40.0	37.0	41.0	33.0	41.0
50-51	37.890300818105466	39.5	36.5	41.0	33.0	41.0
52-53	37.732453021720104	39.0	36.0	41.0	33.0	41.0
54-55	37.53087557992332	39.0	35.5	41.0	32.5	41.0
56-57	37.31460193354445	39.0	35.0	40.0	32.0	41.0
58-59	37.085448025528294	38.0	35.0	40.0	32.0	41.0
60-61	36.825884320206	38.0	35.0	40.0	32.0	41.0
62-63	36.53309717321173	37.0	35.0	40.0	31.5	41.0
64-65	36.21896706362572	37.0	34.5	39.0	31.0	41.0
66-67	35.91124333765437	36.0	34.0	39.0	31.0	41.0
68-69	35.58212840694945	36.0	34.0	39.0	31.0	40.0
70-71	35.27020304812032	35.0	34.0	37.5	31.0	40.0
72-73	34.96627625561959	35.0	34.0	37.0	31.0	39.0
74-75	34.67351480472616	35.0	34.0	36.5	31.0	39.0
76-77	34.41642942521041	35.0	34.0	36.0	30.0	38.0
78-79	34.19930495912509	35.0	34.0	36.0	30.0	37.0
80-81	34.00831447035668	35.0	33.5	35.0	30.0	37.0
82-83	33.84214878643493	35.0	33.0	35.0	30.0	36.0
84-85	33.72107768717669	35.0	33.0	35.0	30.0	36.0
86-87	33.64686838672323	35.0	33.0	35.0	30.0	36.0
88-89	33.79156222522323	35.0	34.0	35.0	31.0	35.5
90-91	33.81106067849683	35.0	34.0	35.0	31.0	35.0
92-93	33.792543754315375	35.0	34.0	35.0	31.0	35.0
94-95	33.791017331996656	35.0	34.0	35.0	31.0	35.0
96-97	33.77012684581917	35.0	34.0	35.0	31.0	35.0
98-99	33.771574029359776	35.0	34.0	35.0	31.0	35.0
100-101	33.76047801183948	35.0	34.0	35.0	31.0	35.0
102-103	33.00392480532834	34.0	32.5	35.0	29.5	35.0
104-105	33.79092708718562	35.0	33.5	35.0	31.0	35.0
106-107	33.981991313238595	35.0	34.0	35.0	31.5	35.0
108	32.599741617763684	34.0	31.0	35.0	28.0	35.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	0.7975812025277484
1101	2	0.5329930893566655
1101	3	0.44017688265093824
1101	4	0.46493145685339954
1101	5	0.42408250686483484
1101	6	0.4426169865318599
1101	7	0.45967051894632505
1101	8	0.41186590831297565
1101	9	0.6160585257903293
1101	10-11	0.5051196566026661
1101	12-13	0.4866738457535007
1101	14-15	0.7862790332380385
1101	16-17	0.9726925818699215
1101	18-19	0.9910292488586876
1101	20-21	0.7240741399804875
1101	22-23	0.8893885527681888
1101	24-25	0.7919051384625035
1101	26-27	0.7283835437250943
1101	28-29	0.8768359438109314
1101	30-31	1.0292724543173861
1101	32-33	0.7286526827345483
1101	34-35	0.635829722489234
1101	36-37	0.8618989122872449
1101	38-39	0.7078829555400432
1101	40-41	0.6923856049028174
1101	42-43	0.8049926176541575
1101	44-45	0.6757854403128647
1101	46-47	0.6000173536327935
1101	48-49	0.6192462657609923
1101	50-51	0.6241219241782048
1101	52-53	0.6163334511221947
1101	54-55	0.6388426504614841
1101	56-57	0.6128066912762478
1101	58-59	0.5410644224622487
1101	60-61	0.5567957623784068
1101	62-63	0.5429085003185605
1101	64-65	0.49314886308642514
1101	66-67	0.4811291585127577
1101	68-69	0.46403287071743193
1101	70-71	0.42447387012417437
1101	72-73	0.36380375390089625
1101	74-75	0.4174929605670741
1101	76-77	0.36000450899135217
1101	78-79	0.3658467546744504
1101	80-81	0.3521090121384063
1101	82-83	0.35058144399432223
1101	84-85	0.29057826122947006
1101	86-87	0.29909327097858807
1101	88-89	0.3450698187159915
1101	90-91	0.33289425535426886
1101	92-93	0.33052163924404
1101	94-95	0.3353968367471438
1101	96-97	0.3509410142009983
1101	98-99	0.35473053276147226
1101	100-101	0.33711982773554894
1101	102-103	0.34165441886805326
1101	104-105	0.3240682386098044
1101	106-107	0.28724769931918814
1101	108	0.3883998979765835
1102	1	0.6625804032868636
1102	2	0.4561271533392812
1102	3	0.41272004306721755
1102	4	0.39834215917008464
1102	5	0.37003976005743766
1102	6	0.3995152277665923
1102	7	0.41259064566479964
1102	8	0.36971482353688856
1102	9	0.5892985514791178
1102	10-11	0.45554516964197234
1102	12-13	0.4474941445760834
1102	14-15	0.7052840532083806
1102	16-17	0.849178194820297
1102	18-19	0.8928356545493088
1102	20-21	0.6297736468720956
1102	22-23	0.8209814207816848
1102	24-25	0.7316994342363543
1102	26-27	0.628282973596221
1102	28-29	0.7600464509740874
1102	30-31	0.9204826492425653
1102	32-33	0.6219058511682505
1102	34-35	0.48767678341936715
1102	36-37	0.7355040018896304
1102	38-39	0.5094093314918453
1102	40-41	0.5371261206577245
1102	42-43	0.7066819841170258
1102	44-45	0.5610892072554492
1102	46-47	0.5375918411758676
1102	48-49	0.5510923000793895
1102	50-51	0.5009308725043908
1102	52-53	0.4914331449949998
1102	54-55	0.48411337435000945
1102	56-57	0.46878111191898597
1102	58-59	0.46163967148881824
1102	60-61	0.4566724266144391
1102	62-63	0.4241189190758803
1102	64-65	0.4112465690972158
1102	66-67	0.4420499741639077
1102	68-69	0.3955276764740674
1102	70-71	0.32451879861115884
1102	72-73	0.32798086615306943
1102	74-75	0.3391493487983226
1102	76-77	0.30145677468330234
1102	78-79	0.27680103402302336
1102	80-81	0.2723931381488782
1102	82-83	0.23691218464428943
1102	84-85	0.25503760655341523
1102	86-87	0.21660809282733595
1102	88-89	0.2833794526970692
1102	90-91	0.27030775120434214
1102	92-93	0.2779800499597087
1102	94-95	0.2812872323349964
1102	96-97	0.28779544197396234
1102	98-99	0.29730992416060076
1102	100-101	0.2889503740101418
1102	102-103	0.2825037464551414
1102	104-105	0.28119133839164334
1102	106-107	0.25069119677137763
1102	108	0.24808831682238264
1103	1	0.5196621523103175
1103	2	0.39392215436273403
1103	3	0.362987300131266
1103	4	0.3809514783536372
1103	5	0.3349134829375018
1103	6	0.3603854159520452
1103	7	0.3327988332964722
1103	8	0.3300152386410957
1103	9	0.5084886792244703
1103	10-11	0.4472621596697408
1103	12-13	0.4228466778397859
1103	14-15	0.7247160879246195
1103	16-17	0.754706682079707
1103	18-19	0.8733358296106886
1103	20-21	0.578756439788009
1103	22-23	0.7834457081668447
1103	24-25	0.5857957175345305
1103	26-27	0.562246384195177
1103	28-29	0.7691823648263707
1103	30-31	0.8869254652032552
1103	32-33	0.5926699878856851
1103	34-35	0.41025008949243613
1103	36-37	0.6996485465241804
1103	38-39	0.3801406193664789
1103	40-41	0.4354802946383245
1103	42-43	0.597872498434576
1103	44-45	0.476755832978597
1103	46-47	0.4845646682652429
1103	48-49	0.5138771528437331
1103	50-51	0.33963233307982676
1103	52-53	0.4707168706015139
1103	54-55	0.45589339146940233
1103	56-57	0.48399673290369805
1103	58-59	0.41507432496071317
1103	60-61	0.36755355674619494
1103	62-63	0.3456570431779227
1103	64-65	0.32463248521859356
1103	66-67	0.3347511078262002
1103	68-69	0.3005779194242635
1103	70-71	0.3078375851903914
1103	72-73	0.2758492272358879
1103	74-75	0.3081407228442856
1103	76-77	0.25368326895215887
1103	78-79	0.251421894407855
1103	80-81	0.2608656900218804
1103	82-83	0.24763979788082224
1103	84-85	0.23744513697150893
1103	86-87	0.22139578881806443
1103	88-89	0.2371122287356897
1103	90-91	0.20419338453016422
