##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	Sample_SRW-2_L002_R1.bbduk.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	33840924
Sequences flagged as poor quality	0
Sequence length	1-108
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.294696770100014	31.0	31.0	33.0	28.0	34.0
2	31.799900999549916	31.0	31.0	34.0	30.0	34.0
3	32.02230319633489	33.0	31.0	34.0	30.0	34.0
4	35.61833620815561	37.0	35.0	37.0	33.0	37.0
5	35.60155833633037	37.0	35.0	37.0	33.0	37.0
6	35.68068886213891	37.0	35.0	37.0	33.0	37.0
7	35.741670016588024	37.0	35.0	37.0	33.0	37.0
8	35.782445246578035	37.0	35.0	37.0	33.0	37.0
9	37.41993305634686	39.0	37.0	39.0	34.0	39.0
10-11	37.39432371751015	39.0	37.0	39.0	34.0	39.0
12-13	37.40601157106359	39.0	37.0	39.0	34.0	39.0
14-15	38.64487010137192	40.0	38.0	41.0	34.0	41.0
16-17	38.65370955080871	40.0	38.0	41.0	34.0	41.0
18-19	38.6375790844685	40.0	38.0	41.0	34.0	41.0
20-21	38.613810685983744	40.0	38.0	41.0	34.0	41.0
22-23	38.582672766567484	40.0	38.0	41.0	34.0	41.0
24-25	38.531787240194376	40.0	38.0	41.0	34.0	41.0
26-27	38.486253915184605	40.0	38.0	41.0	34.0	41.0
28-29	38.44180012041784	40.0	38.0	41.0	34.0	41.0
30-31	38.34482763521622	40.0	38.0	41.0	34.0	41.0
32-33	38.30324727291804	40.0	38.0	41.0	33.5	41.0
34-35	38.230642411572134	40.0	38.0	41.0	33.0	41.0
36-37	38.160593307920706	40.0	37.0	41.0	33.0	41.0
38-39	38.05072551298227	40.0	37.0	41.0	33.0	41.0
40-41	37.93394073343338	40.0	37.0	41.0	33.0	41.0
42-43	37.826264661901334	39.5	37.0	41.0	33.0	41.0
44-45	37.969780534529306	40.0	37.0	41.0	33.0	41.0
46-47	37.93228113944909	40.0	37.0	41.0	33.0	41.0
48-49	37.81739843159471	39.0	36.0	41.0	33.0	41.0
50-51	37.6771385430966	39.0	36.0	41.0	33.0	41.0
52-53	37.50685147400326	39.0	35.5	41.0	32.0	41.0
54-55	37.304824319552466	39.0	35.0	41.0	32.0	41.0
56-57	37.09505841936651	38.5	35.0	40.0	32.0	41.0
58-59	36.84674301234074	38.0	35.0	40.0	31.5	41.0
60-61	36.589184886541496	37.5	35.0	40.0	31.0	41.0
62-63	36.30461035919275	37.0	35.0	39.5	31.0	41.0
64-65	36.00641465371016	36.0	34.0	39.0	31.0	41.0
66-67	35.69366109171783	36.0	34.0	39.0	31.0	41.0
68-69	35.39295558787251	35.0	34.0	38.5	31.0	40.0
70-71	35.0876495826882	35.0	34.0	37.0	31.0	39.5
72-73	34.78855407263739	35.0	34.0	37.0	30.0	39.0
74-75	34.48234400469001	35.0	34.0	36.0	30.0	39.0
76-77	34.263117384974954	35.0	34.0	36.0	30.0	37.5
78-79	34.0840956790434	35.0	33.5	35.5	30.0	37.0
80-81	33.90914337716872	35.0	33.0	35.0	30.0	37.0
82-83	33.76856950613888	35.0	33.0	35.0	30.0	36.0
84-85	33.67338231593268	35.0	33.0	35.0	30.0	36.0
86-87	33.592420989889995	35.0	33.0	35.0	30.0	36.0
88-89	33.551634594191334	35.0	33.0	35.0	30.0	35.0
90-91	33.510298426372685	35.0	33.0	35.0	30.0	35.0
92-93	33.482967562302434	35.0	33.0	35.0	30.0	35.0
94-95	33.46989926474507	35.0	33.0	35.0	30.0	35.0
96-97	33.459253559988	35.0	33.0	35.0	30.0	35.0
98-99	33.46244306928156	35.0	33.0	35.0	30.0	35.0
100-101	33.46114082724516	35.0	33.0	35.0	30.0	35.0
102-103	32.706597938510214	34.0	31.5	35.0	29.0	35.0
104-105	33.53872981326101	35.0	33.0	35.0	30.5	35.0
106-107	33.7606956184506	35.0	34.0	35.0	31.0	35.0
108	32.75557750461328	34.0	32.0	35.0	29.0	35.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.12714209942022947
1101	2	-0.04052865552589324
1101	3	0.12861105907538217
1101	4	0.2749986941540925
1101	5	0.339469785104221
1101	6	0.3376948972430469
1101	7	0.2940126461474364
1101	8	0.3028209803864428
1101	9	0.4248978828110239
1101	10-11	0.4313798098265309
1101	12-13	0.3969924341837654
1101	14-15	0.5597016225993912
1101	16-17	0.5749856061087755
1101	18-19	0.5529001944846428
1101	20-21	0.568544816046753
1101	22-23	0.5592423256585448
1101	24-25	0.5584567351689458
1101	26-27	0.5567456432666091
1101	28-29	0.5648136764928324
1101	30-31	0.530366274504658
1101	32-33	0.5664653873337784
1101	34-35	0.5923426744973028
1101	36-37	0.5909889108309301
1101	38-39	0.5896056789203499
1101	40-41	0.577040398822426
1101	42-43	0.5892900926885289
1101	44-45	0.5070681081992916
1101	46-47	0.5125222565686585
1101	48-49	0.49892664218469207
1101	50-51	0.45656107093800813
1101	52-53	0.4740098992464752
1101	54-55	0.4684030378780335
1101	56-57	0.49731280063332406
1101	58-59	0.4535724984370262
1101	60-61	0.4124478219073211
1101	62-63	0.444141036466263
1101	64-65	0.41792475050015554
1101	66-67	0.34865939634912735
1101	68-69	0.2953401242224558
1101	70-71	0.34573666066132347
1101	72-73	0.33396714243289694
1101	74-75	0.3820257089847843
1101	76-77	0.340228489805952
1101	78-79	0.30213119188751136
1101	80-81	0.31251646192432503
1101	82-83	0.2990512488278654
1101	84-85	0.24017005238876976
1101	86-87	0.24299419555818247
1101	88-89	0.26582810259652234
1101	90-91	0.26706155079055094
1101	92-93	0.2620246729252145
1101	94-95	0.23095831000109968
1101	96-97	0.18973330407184363
1101	98-99	0.19145608257522184
1101	100-101	0.22268928114875308
1101	102-103	0.267743207688234
1101	104-105	0.26257429694175016
1101	106-107	0.21707896084182465
1101	108	0.20524182584678385
1102	1	-0.31229971996438977
1102	2	-0.15417101565068236
1102	3	0.014919081793294708
1102	4	0.18065060251808518
1102	5	0.24953460844359654
1102	6	0.2590282935560708
1102	7	0.2536197993989191
1102	8	0.08018591000564612
1102	9	0.11405838006470503
1102	10-11	0.14394148326844203
1102	12-13	0.20634019973074658
1102	14-15	0.2794903975174208
1102	16-17	0.2552980582816531
1102	18-19	0.25189315679699575
1102	20-21	0.275819468422128
1102	22-23	0.2799343530861904
1102	24-25	0.24496975592379044
1102	26-27	0.2605107874090251
1102	28-29	0.2909796170662702
1102	30-31	0.3010494496607947
1102	32-33	0.32302425815916536
1102	34-35	0.35196343087297777
1102	36-37	0.2861237877068561
1102	38-39	0.25917675517693084
1102	40-41	0.2639518609418232
1102	42-43	0.2495903762527547
1102	44-45	0.264191656085373
1102	46-47	0.2508999679197359
1102	48-49	0.23216743543571994
1102	50-51	0.23730310508319263
1102	52-53	0.19555858936328718
1102	54-55	0.16965016139842248
1102	56-57	0.16623643557090162
1102	58-59	0.1764372870977553
1102	60-61	0.13086915050261894
1102	62-63	0.14999124324972968
1102	64-65	0.1563879001508397
1102	66-67	0.11742771425707588
1102	68-69	0.08592534644736105
1102	70-71	0.1285257481225628
1102	72-73	0.1165560894269575
1102	74-75	0.17291430029843724
1102	76-77	0.13326735488341512
1102	78-79	0.11781045219373709
1102	80-81	0.0697587135837523
1102	82-83	0.09606262548612676
1102	84-85	0.09083424446952648
1102	86-87	0.06017755932845148
1102	88-89	0.12694300567993366
1102	90-91	0.10993353107639336
1102	92-93	0.09978250899807506
1102	94-95	0.0035398448650312275
1102	96-97	0.055872951117223124
1102	98-99	0.09511429562564189
1102	100-101	0.1032745360351015
1102	102-103	0.16300907278952792
1102	104-105	0.12838060906420168
1102	106-107	0.13327932934944897
1102	108	0.11049993897945853
1103	1	-0.23187307967614146
1103	2	-0.13418797292989382
1103	3	0.014799109648741648
1103	4	0.15066759029952692
1103	5	0.24444623153059553
1103	6	0.22760862143998395
1103	7	0.23578026755288306
1103	8	0.24793858752102693
1103	9	0.28127928801781366
1103	10-11	0.2976223409073171
1103	12-13	0.3062224067396997
1103	14-15	0.399806738009822
1103	16-17	0.4541431616290268
1103	18-19	0.38831888658811664
1103	20-21	0.3875887565180989
1103	22-23	0.3618444038708972
1103	24-25	0.37011117779999125
