##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	Sample_SWW-1_L002_R1.bbduk.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	50799407
Sequences flagged as poor quality	0
Sequence length	1-101
%GC	46
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.8077178538718	34.0	31.0	34.0	31.0	34.0
2	33.08186333799933	34.0	33.0	34.0	31.0	34.0
3	32.69623549557419	34.0	31.0	34.0	31.0	34.0
4	36.300642896090835	37.0	37.0	37.0	35.0	37.0
5	36.366453125707	37.0	37.0	37.0	35.0	37.0
6	36.43427662866293	37.0	37.0	37.0	35.0	37.0
7	36.43465531353641	37.0	37.0	37.0	35.0	37.0
8	36.4204124847717	37.0	37.0	37.0	35.0	37.0
9	38.195082978331804	39.0	39.0	39.0	37.0	39.0
10-11	38.223759696912374	39.0	39.0	39.0	37.0	39.0
12-13	38.17401251705266	39.0	39.0	39.0	37.0	39.0
14-15	39.673457576042814	41.0	40.0	41.0	37.0	41.0
16-17	39.65536019706218	41.0	40.0	41.0	37.0	41.0
18-19	39.65189154284091	41.0	40.0	41.0	37.0	41.0
20-21	39.60725561447797	41.0	40.0	41.0	37.0	41.0
22-23	39.53530501039815	41.0	39.0	41.0	37.0	41.0
24-25	39.503057866061	41.0	39.0	41.0	37.0	41.0
26-27	39.43258786138554	41.0	39.0	41.0	36.5	41.0
28-29	39.366110801151486	41.0	39.0	41.0	36.0	41.0
30-31	39.30260597933504	40.0	39.0	41.0	36.0	41.0
32-33	39.20183475292133	40.0	39.0	41.0	36.0	41.0
34-35	39.042044322517356	40.0	38.5	41.0	35.5	41.0
36-37	38.98791115035873	40.0	38.0	41.0	35.0	41.0
38-39	38.97143383285287	40.0	38.5	41.0	35.0	41.0
40-41	39.07766184246456	40.0	38.5	41.0	35.0	41.0
42-43	39.00798003336785	40.0	38.0	41.0	35.0	41.0
44-45	38.8874750842953	40.0	38.0	41.0	35.0	41.0
46-47	38.76124626289189	40.0	38.0	41.0	35.0	41.0
48-49	38.5562904935763	40.0	38.0	41.0	34.0	41.0
50-51	38.30891960336012	40.0	37.0	41.0	34.0	41.0
52-53	38.516209523308596	40.0	37.0	41.0	34.0	41.0
54-55	38.40781427602	40.0	37.0	41.0	34.0	41.0
56-57	38.17982736462351	39.5	36.5	41.0	34.0	41.0
58-59	37.92781246076562	39.0	36.0	41.0	34.0	41.0
60-61	37.68535478578603	39.0	35.0	41.0	34.0	41.0
62-63	37.388596931949905	38.5	35.0	40.5	33.5	41.0
64-65	37.05551200235624	37.0	35.0	40.0	33.0	41.0
66-67	36.69519885441179	37.0	35.0	39.5	33.0	41.0
68-69	36.34569105523032	36.0	35.0	39.0	33.0	41.0
70-71	36.01397085548531	36.0	35.0	39.0	33.0	40.5
72-73	35.67593605411949	35.0	35.0	37.0	33.0	39.5
74-75	35.35275212227715	35.0	35.0	37.0	33.0	39.0
76-77	34.495457839445706	35.0	33.5	36.0	31.0	38.5
78-79	34.79739340465569	35.0	34.0	36.0	32.0	37.0
80-81	34.67197289219723	35.0	34.0	36.0	32.0	37.0
82-83	34.522424727981324	35.0	34.0	35.0	32.0	36.5
84-85	34.398017825444725	35.0	34.0	35.0	32.0	36.0
86-87	34.298314352596364	35.0	34.0	35.0	32.0	36.0
88-89	34.22300804953872	35.0	34.0	35.0	32.0	36.0
90-91	34.166455079718475	35.0	34.0	35.0	32.0	35.5
92-93	34.12575454278965	35.0	34.0	35.0	32.0	35.0
94-95	34.0977218040516	35.0	34.0	35.0	32.0	35.0
96-97	34.07885615724263	35.0	34.0	35.0	32.0	35.0
98-99	34.08918290158687	35.0	34.0	35.0	32.0	35.0
100-101	32.949082947845895	34.0	32.0	35.0	28.5	35.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	0.36143743263367156
1101	2	0.2066586683206424
1101	3	0.5815797267145584
1101	4	0.29911455341118653
1101	5	0.16916003428363524
1101	6	0.12041957790273727
1101	7	0.1318995044943989
1101	8	0.1461198259883858
1101	9	0.22686219381049
1101	10-11	0.1884789054322198
1101	12-13	0.19933405377066293
1101	14-15	0.31101083828575327
1101	16-17	0.2865214815509134
1101	18-19	0.2561452265095525
1101	20-21	0.2662619375621702
1101	22-23	0.300260193844494
1101	24-25	0.27982715108708334
1101	26-27	0.26723125165486294
1101	28-29	0.2708576799022282
1101	30-31	0.3036592494027701
1101	32-33	0.3223189529331165
1101	34-35	0.3587542024374528
1101	36-37	0.30859186043023357
1101	38-39	0.31830928887576704
1101	40-41	0.2647032780212726
1101	42-43	0.23861909513291124
1101	44-45	0.22041743339109132
1101	46-47	0.21571709953582285
1101	48-49	0.28057607650662675
1101	50-51	0.3147353714696166
1101	52-53	0.231890430925759
1101	54-55	0.27223380021986543
1101	56-57	0.30978272743900703
1101	58-59	0.2855213327648798
1101	60-61	0.2519433970503968
1101	62-63	0.22252036348909598
1101	64-65	0.20154363774901896
1101	66-67	0.21631057974963852
1101	68-69	0.19551588834757183
1101	70-71	0.15123658677547525
1101	72-73	0.13690120256216431
1101	74-75	0.12911881679715975
1101	76-77	0.015490780513431446
1101	78-79	0.08739778552962463
1101	80-81	0.12074608870702974
1101	82-83	0.11010816395735645
1101	84-85	0.09940782784317292
1101	86-87	0.08947248885076675
1101	88-89	0.050234598789813845
1101	90-91	0.04363386606723196
1101	92-93	0.04595429681479857
1101	94-95	0.008701257007238894
1101	96-97	-3.0934417398498226E-4
1101	98-99	0.031150746725806755
1101	100-101	-0.01883040040560502
1102	1	0.3169401436197177
1102	2	0.19386688838876864
1102	3	0.5493703894578843
1102	4	0.2830357598882145
1102	5	0.15039489962142483
1102	6	0.10151641624948127
1102	7	0.10984230015097296
1102	8	0.12266665750176742
1102	9	0.1933907054638837
1102	10-11	0.1636784008168064
1102	12-13	0.19784114106850126
1102	14-15	0.26841587223324126
1102	16-17	0.2643015775802624
1102	18-19	0.2510674613510844
1102	20-21	0.2732362331315912
1102	22-23	0.27876027219991784
1102	24-25	0.2563996419366319
1102	26-27	0.24839428332968083
1102	28-29	0.26468595370020864
1102	30-31	0.28473565813121127
1102	32-33	0.2788893283947331
1102	34-35	0.3693817577559457
1102	36-37	0.32596657358816117
1102	38-39	0.3358975224702192
1102	40-41	0.2669674500302719
1102	42-43	0.26682654415515117
1102	44-45	0.23587457866584316
1102	46-47	0.22912009287003343
1102	48-49	0.2964391458837028
1102	50-51	0.3787102569566585
1102	52-53	0.260407709412398
1102	54-55	0.23990345270866698
1102	56-57	0.26507547250676566
1102	58-59	0.25491770910083034
1102	60-61	0.22287536615689163
1102	62-63	0.2165092938853661
1102	64-65	0.19222867436757696
1102	66-67	0.18261482970188325
1102	68-69	0.15661710615734847
1102	70-71	0.15002345867909384
1102	72-73	0.15104241922355044
1102	74-75	0.12536630259598525
1102	76-77	0.07348171368987977
1102	78-79	0.10272646978499012
1102	80-81	0.12245720094268364
1102	82-83	0.12189032235063024
1102	84-85	0.11615808421373686
1102	86-87	0.10155532285095603
1102	88-89	0.08933912204133065
1102	90-91	0.06934975944390231
1102	92-93	0.06571042620055323
1102	94-95	0.06892609567493224
1102	96-97	0.04173325461187716
1102	98-99	0.06102263725017565
1102	100-101	0.014954200746224444
1103	1	0.32162106644813093
1103	2	0.20221500449822827
1103	3	0.561343848424265
1103	4	0.2683053052461588
1103	5	0.13355956819010117
1103	6	0.12098401944625436
1103	7	0.104387783653344
1103	8	0.09393892525194047
1103	9	0.13682424552585104
1103	10-11	0.13150363244110963
1103	12-13	0.1463423957808132
1103	14-15	0.24705547856859766
1103	16-17	0.26467726733486785
1103	18-19	0.23325984948093037
1103	20-21	0.2587421883427723
1103	22-23	0.2552072852182903
