##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	Sample_SWW-1_L002_R2.bbduk.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	50799407
Sequences flagged as poor quality	0
Sequence length	1-101
%GC	46
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.40955113905168	34.0	31.0	34.0	31.0	34.0
2	32.950905571515854	34.0	31.0	34.0	31.0	34.0
3	33.00526421260574	34.0	31.0	34.0	31.0	34.0
4	36.30308597936009	37.0	37.0	37.0	35.0	37.0
5	36.29113838759598	37.0	37.0	37.0	35.0	37.0
6	36.29037462928927	37.0	37.0	37.0	35.0	37.0
7	36.297878713931865	37.0	37.0	37.0	35.0	37.0
8	36.27773487928996	37.0	37.0	37.0	35.0	37.0
9	38.046833251274506	39.0	39.0	39.0	35.0	39.0
10-11	38.04196077275881	39.0	38.5	39.0	35.0	39.0
12-13	37.99844637065823	39.0	38.0	39.0	35.0	39.0
14-15	39.51903032566308	41.0	40.0	41.0	37.0	41.0
16-17	39.49763115742672	41.0	39.5	41.0	36.0	41.0
18-19	39.48486267980135	41.0	39.5	41.0	36.5	41.0
20-21	39.459311392320146	41.0	39.0	41.0	36.5	41.0
22-23	39.415128482770285	41.0	39.0	41.0	36.0	41.0
24-25	39.3810309741076	41.0	39.0	41.0	36.0	41.0
26-27	39.29833287249508	41.0	39.0	41.0	36.0	41.0
28-29	39.230558867354404	40.0	39.0	41.0	36.0	41.0
30-31	39.196816196321265	40.0	39.0	41.0	36.0	41.0
32-33	39.1352782900681	40.0	39.0	41.0	36.0	41.0
34-35	39.06160467372408	40.0	38.0	41.0	35.0	41.0
36-37	38.97674805844707	40.0	38.0	41.0	35.0	41.0
38-39	39.11042335449871	40.0	39.0	41.0	35.0	41.0
40-41	39.061077382863914	40.0	38.5	41.0	35.0	41.0
42-43	38.9579687326661	40.0	38.0	41.0	35.0	41.0
44-45	38.85066152368553	40.0	38.0	41.0	35.0	41.0
46-47	38.74359965642937	40.0	38.0	41.0	34.5	41.0
48-49	38.56451252696126	40.0	38.0	41.0	34.0	41.0
50-51	37.90783744601936	39.5	36.5	40.5	33.5	41.0
52-53	37.85391837955346	39.0	37.0	40.5	33.0	41.0
54-55	38.292653077203354	40.0	37.0	41.0	34.0	41.0
56-57	38.25764932504532	40.0	36.5	41.0	34.0	41.0
58-59	38.030286225833045	39.0	36.0	41.0	34.0	41.0
60-61	37.76191772621176	39.0	35.5	41.0	34.0	41.0
62-63	37.45559718049199	38.5	35.0	41.0	33.5	41.0
64-65	37.123035796542915	37.5	35.0	40.0	33.0	41.0
66-67	36.78395374894447	37.0	35.0	39.5	33.0	41.0
68-69	36.43180956562057	36.5	35.0	39.0	33.0	41.0
70-71	36.077343876689724	36.0	35.0	39.0	33.0	40.5
72-73	35.73019988672013	35.0	35.0	37.5	33.0	39.5
74-75	35.41451943638866	35.0	35.0	37.0	33.0	39.0
76-77	35.12179116505772	35.0	35.0	36.5	32.0	39.0
78-79	34.87750784131289	35.0	34.5	36.0	32.0	37.0
80-81	34.669218258566374	35.0	34.0	36.0	32.0	37.0
82-83	34.492432315368504	35.0	34.0	35.0	32.0	36.5
84-85	34.356481556822295	35.0	34.0	35.0	32.0	36.0
86-87	34.26048592297786	35.0	34.0	35.0	32.0	36.0
88-89	34.17540952360386	35.0	34.0	35.0	32.0	36.0
90-91	34.11265582289336	35.0	34.0	35.0	32.0	35.5
92-93	34.08497258579045	35.0	34.0	35.0	32.0	35.0
94-95	34.06861088869253	35.0	34.0	35.0	32.0	35.0
96-97	34.062198880481716	35.0	34.0	35.0	32.0	35.0
98-99	34.071411084190686	35.0	34.0	35.0	32.0	35.0
100-101	32.81222731684241	34.0	31.5	34.5	28.5	35.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.23338063004900533
1101	2	0.2170879364839493
1101	3	0.24161160374761437
1101	4	0.18389989214899316
1101	5	0.19892164149553793
1101	6	0.22623753281758496
1101	7	0.19972668958474316
1101	8	0.1918107535768101
1101	9	0.2803557440719331
1101	10-11	0.28412999630164393
1101	12-13	0.31792236560249165
1101	14-15	0.4050878255770982
1101	16-17	0.359613085116095
1101	18-19	0.37619753340083406
1101	20-21	0.3701947315173655
1101	22-23	0.34794462941952986
1101	24-25	0.3351840835128641
1101	26-27	0.29302101068568476
1101	28-29	0.30248866656783946
1101	30-31	0.34126516788691674
1101	32-33	0.2993634012287103
1101	34-35	0.3174788817586318
1101	36-37	0.2833981133757888
1101	38-39	0.2805868083302485
1101	40-41	0.24809121520915056
1101	42-43	0.2583083728966429
1101	44-45	0.2572429177240778
1101	46-47	0.22907222750686884
1101	48-49	0.262395847164008
1101	50-51	0.14719435744847686
1101	52-53	0.10952085928568778
1101	54-55	0.21822351530813222
1101	56-57	0.2493378589794446
1101	58-59	0.24458967785577101
1101	60-61	0.22843782713652416
1101	62-63	0.1789997505701777
1101	64-65	0.16266131241489035
1101	66-67	0.17023130084815108
1101	68-69	0.14947440359754438
1101	70-71	0.14097384461478413
1101	72-73	0.13754722961755306
1101	74-75	0.1172734777509632
1101	76-77	0.11920925340081112
1101	78-79	0.09148735819608333
1101	80-81	0.05969544148081951
1101	82-83	0.05547300301818581
1101	84-85	0.06369417761576557
1101	86-87	0.03859467958262286
1101	88-89	0.03988885750167981
1101	90-91	0.06321795289746746
1101	92-93	0.05041380888074798
1101	94-95	0.0167393563706284
1101	96-97	0.0058234911805854495
1101	98-99	-0.017468998108149947
1101	100-101	-0.05364641857124752
1102	1	0.2471127809893261
1102	2	0.23073677220912003
1102	3	0.24642067368357345
1102	4	0.1708209541479775
1102	5	0.20395464563439702
1102	6	0.21306023680510577
1102	7	0.1899712492717356
1102	8	0.20621166913467448
1102	9	0.2630740208022857
1102	10-11	0.28986637987489416
1102	12-13	0.29603252567007843
1102	14-15	0.37195538131800987
1102	16-17	0.3744231539483991
1102	18-19	0.3534783257672913
1102	20-21	0.3503666415460671
1102	22-23	0.362615427776106
1102	24-25	0.34183123054634024
1102	26-27	0.35200645124322705
1102	28-29	0.3318329600973797
1102	30-31	0.33625868263315795
1102	32-33	0.3320464306349251
1102	34-35	0.3021150117843874
1102	36-37	0.2756370488103599
1102	38-39	0.2759124735520686
1102	40-41	0.2630227722621825
1102	42-43	0.26334188055295016
1102	44-45	0.2565609943175673
1102	46-47	0.18589515366388554
1102	48-49	0.27238998358393474
1102	50-51	0.2320798674829163
1102	52-53	0.18937857619988563
1102	54-55	0.2509808548655883
1102	56-57	0.2819562708645691
1102	58-59	0.2687468287384718
1102	60-61	0.24680145551486987
1102	62-63	0.24745225294268636
1102	64-65	0.19399807584903783
1102	66-67	0.20065760631543839
1102	68-69	0.17257963753795025
1102	70-71	0.16644819065494687
1102	72-73	0.16231925594516383
1102	74-75	0.14941668800802432
1102	76-77	0.1371578541414209
1102	78-79	0.11728603959192441
1102	80-81	0.11054236577071208
1102	82-83	0.10885319219737255
1102	84-85	0.08663912390016293
1102	86-87	0.09417793884659176
1102	88-89	0.08187693633524162
1102	90-91	0.08172728709853772
1102	92-93	0.08978866688634213
1102	94-95	0.05076137027369754
1102	96-97	0.06823028450838109
1102	98-99	0.043673491955253496
1102	100-101	-0.04355335502884827
1103	1	0.19196368960565025
1103	2	0.17185179753941782
1103	3	0.21522693504788748
1103	4	0.17223621895561791
1103	5	0.17288541708783356
1103	6	0.16860692869651217
1103	7	0.16975132417842786
1103	8	0.18690406060132148
1103	9	0.2375227318227502
1103	10-11	0.2425862343225873
1103	12-13	0.2831488454122635
1103	14-15	0.3538399525207083
1103	16-17	0.3466549979854747
1103	18-19	0.33227113891756943
1103	20-21	0.3128231009212499
1103	22-23	0.2978628729850641
1103	24-25	0.3166782350322208
1103	26-27	0.3244845664693443
1103	28-29	0.32057543269119293
