##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	Sample_YD1-1_L003_R1.bbduk.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	75316764
Sequences flagged as poor quality	0
Sequence length	1-101
%GC	46
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.61840175448855	33.0	31.0	34.0	31.0	34.0
2	33.069924786383844	34.0	33.0	34.0	31.0	34.0
3	33.32009549226283	34.0	34.0	34.0	31.0	34.0
4	33.81100778508609	35.0	32.0	37.0	28.0	37.0
5	35.54701321167999	35.0	35.0	37.0	33.0	37.0
6	36.00102761795619	37.0	35.0	37.0	35.0	37.0
7	36.47047490145222	37.0	37.0	37.0	35.0	37.0
8	36.569829433939574	37.0	37.0	37.0	35.0	37.0
9	38.49113368370876	39.0	39.0	39.0	37.0	39.0
10-11	38.49865622741706	39.0	39.0	39.0	37.0	39.0
12-13	38.478178001570136	39.0	39.0	39.0	37.0	39.0
14-15	40.123155967397885	41.0	40.0	41.0	38.0	41.0
16-17	40.09691133406908	41.0	40.0	41.0	38.0	41.0
18-19	40.081803886083705	41.0	40.0	41.0	38.0	41.0
20-21	40.05125999772899	41.0	40.0	41.0	38.0	41.0
22-23	40.00872274940311	41.0	40.0	41.0	38.0	41.0
24-25	39.96591970356845	41.0	40.0	41.0	38.0	41.0
26-27	39.91242451895479	41.0	40.0	41.0	38.0	41.0
28-29	39.850970092712345	41.0	40.0	41.0	38.0	41.0
30-31	39.77432015844837	41.0	40.0	41.0	38.0	41.0
32-33	39.65681323718841	41.0	40.0	41.0	37.0	41.0
34-35	39.74856109242231	41.0	40.0	41.0	38.0	41.0
36-37	39.7470874381563	41.0	40.0	41.0	37.0	41.0
38-39	39.69976823559833	41.0	40.0	41.0	37.0	41.0
40-41	39.63009908702942	41.0	40.0	41.0	37.0	41.0
42-43	39.534645432622504	41.0	39.0	41.0	36.5	41.0
44-45	39.41982113203598	41.0	39.0	41.0	36.0	41.0
46-47	39.287164413958926	41.0	39.0	41.0	35.0	41.0
48-49	39.13835545321853	40.0	38.5	41.0	35.0	41.0
50-51	38.964525757196114	40.0	38.0	41.0	35.0	41.0
52-53	38.76425148244349	40.0	37.5	41.0	35.0	41.0
54-55	38.52778641948039	40.0	37.0	41.0	35.0	41.0
56-57	38.273598419814675	40.0	36.5	41.0	34.0	41.0
58-59	37.99252979405361	39.0	36.0	41.0	34.0	41.0
60-61	37.685406144731516	39.0	35.0	41.0	34.0	41.0
62-63	37.444588705559454	38.0	35.0	40.5	34.0	41.0
64-65	37.31956837146501	37.5	35.0	40.0	34.0	41.0
66-67	37.03461463138617	37.0	35.0	39.5	34.0	41.0
68-69	36.65351494235546	36.5	35.0	39.0	34.0	41.0
70-71	36.28514693586629	36.0	35.0	39.0	33.5	41.0
72-73	35.902979085899	35.5	35.0	37.5	33.0	39.5
74-75	35.583667345395796	35.0	35.0	37.0	33.0	39.0
76-77	34.513534175319684	35.0	33.5	36.0	31.5	38.5
78-79	35.01846136031903	35.0	35.0	36.0	33.0	37.0
80-81	34.91559535861438	35.0	35.0	36.0	33.0	37.0
82-83	34.73424130455915	35.0	35.0	35.0	33.0	37.0
84-85	34.60323071882169	35.0	35.0	35.0	33.0	36.0
86-87	34.5029251839263	35.0	35.0	35.0	33.0	36.0
88-89	34.41175680583258	35.0	35.0	35.0	33.0	36.0
90-91	34.34005495602797	35.0	34.5	35.0	33.0	36.0
92-93	34.30289578897104	35.0	34.0	35.0	33.0	35.0
94-95	34.26412142862738	35.0	34.0	35.0	33.0	35.0
96-97	34.23193757732851	35.0	34.0	35.0	33.0	35.0
98-99	34.232699318991976	35.0	34.0	35.0	33.0	35.0
100-101	33.644712844794604	34.5	33.0	35.0	31.0	35.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-0.2040454126234863
1101	2	0.07854935429896415
1101	3	0.14053923402324386
1101	4	-0.28933722460767086
1101	5	-0.5189792114770455
1101	6	0.201845896908182
1101	7	0.1329426699443843
1101	8	0.10291902390475371
1101	9	0.15676943789209474
1101	10-11	0.13429068577329417
1101	12-13	0.13793571989500464
1101	14-15	0.1746298049287418
1101	16-17	0.20075289066529223
1101	18-19	0.21053403969078488
1101	20-21	0.2076952323599599
1101	22-23	0.2058684052131312
1101	24-25	0.22138676025345205
1101	26-27	0.22372462297946072
1101	28-29	0.23107590781021514
1101	30-31	0.2461976185266721
1101	32-33	0.22666313695444273
1101	34-35	0.20424957603298566
1101	36-37	0.17885857424401053
1101	38-39	0.19144855640738712
1101	40-41	0.17533818253870948
1101	42-43	0.18037695176555957
1101	44-45	0.18650731772894602
1101	46-47	0.15193082599079588
1101	48-49	0.16140208810803358
1101	50-51	0.1596623625343483
1101	52-53	0.14752285552390987
1101	54-55	0.12990115579293615
1101	56-57	0.14456035452199245
1101	58-59	0.06698922076505909
1101	60-61	0.09876775161541218
1101	62-63	0.07859964435631639
1101	64-65	0.12017833763097485
1101	66-67	0.15326186478210246
1101	68-69	0.11494168201857491
1101	70-71	0.09984566494225788
1101	72-73	0.1629993862032748
1101	74-75	0.15151531864827206
1101	76-77	0.03462522883383201
1101	78-79	0.07965574531181119
1101	80-81	0.09390902310240534
1101	82-83	0.0993702236165035
1101	84-85	0.06851175720654368
1101	86-87	0.07140006762142548
1101	88-89	0.06446059513277902
1101	90-91	0.0711838668693332
1101	92-93	0.04027140729400713
1101	94-95	0.03160773260808725
1101	96-97	0.026586348200659415
1101	98-99	0.01269519980554179
1101	100-101	0.08720930406231986
1102	1	-0.2999201850797135
1102	2	-0.08342854276899914
1102	3	0.0808727899883408
1102	4	-2.347781175402595
1102	5	-0.9355941635387239
1102	6	-0.43896327107896127
1102	7	0.016653383054460846
1102	8	0.07249452576645155
1102	9	0.13117143676359433
1102	10-11	0.12416506302415087
1102	12-13	0.12517439779158224
1102	14-15	0.1936116216023862
1102	16-17	0.19165933168323335
1102	18-19	0.19154961042401908
1102	20-21	0.18427489391951468
1102	22-23	0.18536463127818337
1102	24-25	0.178397447258142
1102	26-27	0.18883660160490479
1102	28-29	0.19954726438230352
1102	30-31	0.18161722626269494
1102	32-33	0.2076888218202555
1102	34-35	0.19130079171763015
1102	36-37	0.20151614486278646
1102	38-39	0.19351681065891313
1102	40-41	0.18460152172742283
1102	42-43	0.1811751672956916
1102	44-45	0.16222005585365906
1102	46-47	0.12793843434871377
1102	48-49	0.15799990646547002
1102	50-51	0.15916648397112
1102	52-53	0.11891743033678637
1102	54-55	0.13359702282962616
1102	56-57	0.12987159712848495
1102	58-59	0.1207683928375829
1102	60-61	0.10690345446442251
1102	62-63	0.13474931324647343
1102	64-65	0.11846852737639324
1102	66-67	0.13093396465730223
1102	68-69	0.13211091888329207
1102	70-71	0.11415831921119235
1102	72-73	0.17538889119508383
1102	74-75	0.1679389927222701
1102	76-77	0.07676067256531383
1102	78-79	0.08824443022077588
1102	80-81	0.08966716322301238
1102	82-83	0.1126749148399
1102	84-85	0.021403021656702492
1102	86-87	0.059405709853251665
1102	88-89	0.06479008149774046
1102	90-91	0.09150214451870653
1102	92-93	0.052900319045264155
1102	94-95	0.01615448278740672
1102	96-97	0.05974043059996603
1102	98-99	0.06179605502796903
1102	100-101	0.1508972923599643
1103	1	-0.35994161455010953
1103	2	-0.2143771471429119
1103	3	0.036171195746462104
1103	4	-2.7276189446236785
1103	5	-1.0083873913957504
1103	6	-0.5484005453688994
1103	7	-0.023711335035876857
1103	8	0.03582765080292205
1103	9	0.08364196310160565
1103	10-11	0.09070119462802495
1103	12-13	0.11019639540165826
1103	14-15	0.1393969957123602
1103	16-17	0.1489612240027185
1103	18-19	0.15547932488887994
1103	20-21	0.14528404431812447
1103	22-23	0.162176404668692
