##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	Sample_YD1-1_L003_R2.bbduk.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	75316764
Sequences flagged as poor quality	0
Sequence length	1-101
%GC	46
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.821369038106845	34.0	31.0	34.0	31.0	34.0
2	33.25637308011873	34.0	33.0	34.0	31.0	34.0
3	33.38105626608678	34.0	34.0	34.0	31.0	34.0
4	36.60419156780734	37.0	37.0	37.0	35.0	37.0
5	36.601672313231774	37.0	37.0	37.0	35.0	37.0
6	36.6189877313909	37.0	37.0	37.0	35.0	37.0
7	36.605200670564486	37.0	37.0	37.0	35.0	37.0
8	36.602154377953234	37.0	37.0	37.0	35.0	37.0
9	38.449054338919	39.0	39.0	39.0	37.0	39.0
10-11	38.45297372858607	39.0	39.0	39.0	37.0	39.0
12-13	38.42229389127715	39.0	39.0	39.0	37.0	39.0
14-15	40.04938354821555	41.0	40.0	41.0	38.0	41.0
16-17	40.03227150985815	41.0	40.0	41.0	38.0	41.0
18-19	40.01254979171324	41.0	40.0	41.0	38.0	41.0
20-21	39.97851697736678	41.0	40.0	41.0	38.0	41.0
22-23	39.9343014578229	41.0	40.0	41.0	38.0	41.0
24-25	39.89988293473857	41.0	40.0	41.0	38.0	41.0
26-27	39.832974525754636	41.0	40.0	41.0	38.0	41.0
28-29	39.74849997834959	41.0	40.0	41.0	38.0	41.0
30-31	39.70097270257466	41.0	40.0	41.0	38.0	41.0
32-33	39.704288820465976	41.0	40.0	41.0	37.5	41.0
34-35	39.75875481731136	41.0	40.0	41.0	38.0	41.0
36-37	39.725653384669755	41.0	40.0	41.0	37.0	41.0
38-39	39.6453442795616	41.0	40.0	41.0	37.0	41.0
40-41	39.564172167484166	41.0	39.5	41.0	37.0	41.0
42-43	39.486600053516696	41.0	39.0	41.0	36.5	41.0
44-45	39.374735004016046	41.0	39.0	41.0	36.0	41.0
46-47	39.244801446937274	40.5	39.0	41.0	35.0	41.0
48-49	39.08609728379944	40.0	38.5	41.0	35.0	41.0
50-51	38.35373963041103	39.5	37.5	40.5	34.0	41.0
52-53	38.30096194932317	39.5	37.0	40.5	34.5	41.0
54-55	38.479929825137276	40.0	37.0	41.0	35.0	41.0
56-57	38.29816644584285	40.0	36.5	41.0	34.0	41.0
58-59	38.02104133025776	39.0	36.0	41.0	34.0	41.0
60-61	37.94419266132651	39.0	35.5	41.0	34.0	41.0
62-63	37.721166432474426	39.0	35.0	41.0	34.0	41.0
64-65	37.40377599344121	37.5	35.0	40.5	34.0	41.0
66-67	37.04844836532386	37.0	35.0	39.5	34.0	41.0
68-69	36.68178504113013	36.5	35.0	39.0	34.0	41.0
70-71	36.324162482133616	36.0	35.0	39.0	34.0	41.0
72-73	35.9722751399846	35.5	35.0	37.5	33.5	39.5
74-75	35.65152586825124	35.0	35.0	37.0	33.0	39.0
76-77	35.36942476479062	35.0	35.0	36.5	33.0	39.0
78-79	35.11211828460711	35.0	35.0	36.0	33.0	37.5
80-81	34.900609605611635	35.0	35.0	36.0	33.0	37.0
82-83	34.718744385241735	35.0	35.0	35.0	33.0	37.0
84-85	34.57220340682048	35.0	35.0	35.0	33.0	36.0
86-87	34.457942825877765	35.0	35.0	35.0	33.0	36.0
88-89	34.36773700409017	35.0	34.5	35.0	33.0	36.0
90-91	34.30660702818149	35.0	34.0	35.0	33.0	35.5
92-93	34.25771242397154	35.0	34.0	35.0	32.5	35.0
94-95	34.217256256372124	35.0	34.0	35.0	32.0	35.0
96-97	34.17460233171771	35.0	34.0	35.0	32.0	35.0
98-99	34.162634187199274	35.0	34.0	35.0	32.0	35.0
100-101	33.49233624423427	34.5	33.0	35.0	30.5	35.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.05275359730249818
1101	2	0.15928407739728812
1101	3	0.1655362225069652
1101	4	0.12232336562032486
1101	5	0.11789214260912217
1101	6	0.11767045935766873
1101	7	0.12315938009796668
1101	8	0.17303065838400755
1101	9	0.18482876653369829
1101	10-11	0.19496076404805507
1101	12-13	0.22018494419801726
1101	14-15	0.2559142624996369
1101	16-17	0.24799055324825048
1101	18-19	0.2295149329601358
1101	20-21	0.2564991424877121
1101	22-23	0.26724296465025077
1101	24-25	0.25487810870796324
1101	26-27	0.26316968711959277
1101	28-29	0.24708308174182747
1101	30-31	0.2721722627333065
1101	32-33	0.22931195960010342
1101	34-35	0.2340713504266958
1101	36-37	0.21190050806139027
1101	38-39	0.21135594804728441
1101	40-41	0.2119790143080209
1101	42-43	0.17118118239674374
1101	44-45	0.16621210919465312
1101	46-47	0.16340848127520502
1101	48-49	0.19393386382479605
1101	50-51	0.1553831265342751
1101	52-53	0.14645544631307672
1101	54-55	0.1541843135413572
1101	56-57	0.16996738916089527
1101	58-59	0.16486136027526754
1101	60-61	0.20317698712470644
1101	62-63	0.19530729784924716
1101	64-65	0.167317791913284
1101	66-67	0.15019257351482196
1101	68-69	0.13107673517875895
1101	70-71	0.1503950548991
1101	72-73	0.1378183909011952
1101	74-75	0.14708282706947529
1101	76-77	0.11579147683367808
1101	78-79	0.11325889247976306
1101	80-81	0.1017111668769175
1101	82-83	0.07699602574530928
1101	84-85	0.0811691426500758
1101	86-87	0.07511536286487086
1101	88-89	0.10011346574529512
1101	90-91	0.059486251316307914
1101	92-93	0.03860641781025009
1101	94-95	0.08531145857094913
1101	96-97	0.04624975175961055
1101	98-99	0.04035620845175458
1101	100-101	0.12142802286256682
1102	1	0.01138103538077928
1102	2	0.07706994990201821
1102	3	0.1457420284354356
1102	4	0.09417772249488365
1102	5	0.11309160426215925
1102	6	0.10941198524135132
1102	7	0.1125265114244769
1102	8	0.16212102838788667
1102	9	0.15940740212962368
1102	10-11	0.1674914924729478
1102	12-13	0.1809055349718136
1102	14-15	0.22527462371772344
1102	16-17	0.20719729579099067
1102	18-19	0.21704124456358187
1102	20-21	0.23359742724962018
1102	22-23	0.23530220696209625
1102	24-25	0.24487608324088228
1102	26-27	0.2476587072665879
1102	28-29	0.2661838277622621
1102	30-31	0.25658619599305155
1102	32-33	0.1989478712663484
1102	34-35	0.20438685931924283
1102	36-37	0.21378101331549004
1102	38-39	0.19161148678627882
1102	40-41	0.1885751646985767
1102	42-43	0.15350475788920903
1102	44-45	0.18987802293806766
1102	46-47	0.16895547075974804
1102	48-49	0.18538912083626968
1102	50-51	0.18053467741569307
1102	52-53	0.19108936362619744
1102	54-55	0.1820782766213469
1102	56-57	0.1404721526334427
1102	58-59	0.13091190501769745
1102	60-61	0.1507855718886404
1102	62-63	0.151350485773186
1102	64-65	0.16383873147772476
1102	66-67	0.1688974288651579
1102	68-69	0.11134776282276704
1102	70-71	0.12546788163746925
1102	72-73	0.12984029917765838
1102	74-75	0.10525663473288915
1102	76-77	0.10383701016307612
1102	78-79	0.11460583200263841
1102	80-81	0.11295585759867777
1102	82-83	0.0996366952496075
1102	84-85	0.09964356746650083
1102	86-87	0.12299547380570175
1102	88-89	0.10295331966896981
1102	90-91	0.08936117848707426
1102	92-93	0.08683046389428029
1102	94-95	0.06843750796716819
1102	96-97	0.08924892072220558
1102	98-99	0.08624194128340434
1102	100-101	0.03942862486044163
1103	1	0.020241088075835023
1103	2	0.11092063686296427
1103	3	0.13960160317276404
1103	4	0.0737839202837165
1103	5	0.09539189917732216
1103	6	0.10354912839601127
1103	7	0.09509850232950612
1103	8	0.1398516129609959
1103	9	0.14460227086083677
1103	10-11	0.13548962206323267
1103	12-13	0.18261991061630312
1103	14-15	0.2188689920238147
1103	16-17	0.2131681002641841
1103	18-19	0.19821940800490268
1103	20-21	0.20079445725721712
1103	22-23	0.2101309776907101
1103	24-25	0.19184646328424293
1103	26-27	0.19268291498134005
1103	28-29	0.195820483732831
1103	30-31	0.22616836991664968
1103	32-33	0.1912666456181782
1103	34-35	0.19606354056978148
1103	36-37	0.189116061325322
1103	38-39	0.18617719467668792
