##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	Sample_YD1-2_L002_R2.bbduk.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	37227232
Sequences flagged as poor quality	0
Sequence length	1-108
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.8849935713727	33.0	31.0	34.0	30.0	34.0
2	32.50653876510428	34.0	31.0	34.0	31.0	34.0
3	32.53285590700816	34.0	31.0	34.0	31.0	34.0
4	36.108157696888256	37.0	35.0	37.0	35.0	37.0
5	36.126522627741195	37.0	35.0	37.0	35.0	37.0
6	36.11996835368083	37.0	36.0	37.0	35.0	37.0
7	36.167006267066576	37.0	37.0	37.0	35.0	37.0
8	36.20477200539256	37.0	37.0	37.0	35.0	37.0
9	37.96761803267919	39.0	38.0	39.0	35.0	39.0
10-11	37.99457777634877	39.0	38.5	39.0	35.0	39.0
12-13	37.966891294062094	39.0	38.0	39.0	35.0	39.0
14-15	39.47253663720828	41.0	39.0	41.0	36.0	41.0
16-17	39.47631682680727	41.0	39.0	41.0	36.0	41.0
18-19	39.49864000412484	41.0	39.5	41.0	36.0	41.0
20-21	39.477871861338166	41.0	39.0	41.0	36.0	41.0
22-23	39.45320208003363	41.0	39.0	41.0	36.0	41.0
24-25	39.443767691041	41.0	39.0	41.0	36.0	41.0
26-27	39.415815319325745	41.0	39.0	41.0	36.0	41.0
28-29	39.36371448668706	41.0	39.0	41.0	36.0	41.0
30-31	39.33269165238798	41.0	39.0	41.0	36.0	41.0
32-33	39.29753902728689	41.0	39.0	41.0	36.0	41.0
34-35	39.23168987592906	41.0	39.0	41.0	36.0	41.0
36-37	39.16910029275956	40.0	39.0	41.0	35.0	41.0
38-39	39.12820000412246	40.0	39.0	41.0	35.0	41.0
40-41	38.93741763611784	40.0	38.0	41.0	35.0	41.0
42-43	38.639571903750365	40.0	38.0	41.0	34.5	41.0
44-45	38.59115748020046	40.0	38.0	41.0	34.5	41.0
46-47	38.68571295165251	40.0	38.0	41.0	35.0	41.0
48-49	38.60270111214979	40.0	38.0	41.0	34.0	41.0
50-51	38.46146272462454	40.0	37.0	41.0	34.0	41.0
52-53	38.29585598583716	40.0	37.0	41.0	34.0	41.0
54-55	38.10133524853741	39.5	36.5	41.0	34.0	41.0
56-57	37.88944110543159	39.0	36.0	41.0	33.0	41.0
58-59	37.64809041408924	39.0	35.5	41.0	33.0	41.0
60-61	37.37577854166685	38.5	35.0	40.5	33.0	41.0
62-63	37.07368451480896	38.0	35.0	40.0	33.0	41.0
64-65	36.75705925359725	37.0	35.0	40.0	33.0	41.0
66-67	36.43511079418479	36.5	35.0	39.0	32.5	41.0
68-69	36.089694354264964	36.0	35.0	39.0	32.0	41.0
70-71	35.734473591932726	35.5	35.0	38.5	32.0	40.0
72-73	35.410902931075185	35.0	34.0	37.0	32.0	39.0
74-75	35.1151643685058	35.0	34.0	37.0	32.0	39.0
76-77	34.853030713150815	35.0	34.0	36.0	32.0	39.0
78-79	34.622402076943786	35.0	34.0	36.0	31.0	37.0
80-81	34.4286482646459	35.0	34.0	35.5	31.0	37.0
82-83	34.26980833880606	35.0	34.0	35.0	31.0	36.5
84-85	34.123868650600215	35.0	34.0	35.0	31.0	36.0
86-87	34.04807235325258	35.0	34.0	35.0	31.0	36.0
88-89	33.98253961669572	35.0	34.0	35.0	31.0	36.0
90-91	33.93075174521578	35.0	34.0	35.0	31.0	35.0
92-93	33.894146531236856	35.0	34.0	35.0	31.0	35.0
94-95	33.86135698268679	35.0	34.0	35.0	31.0	35.0
96-97	33.84276485459107	35.0	34.0	35.0	31.0	35.0
98-99	33.83424438901157	35.0	34.0	35.0	31.0	35.0
100-101	33.82543996845088	35.0	34.0	35.0	31.0	35.0
102-103	32.873677938192884	34.0	32.0	35.0	29.5	35.0
104-105	33.74015904529438	35.0	33.5	35.0	31.0	35.0
106-107	33.954111213140216	35.0	34.0	35.0	31.5	35.0
108	32.921042180224845	34.0	32.0	35.0	29.0	35.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.5532384483916388
1101	2	0.36901486685463425
1101	3	0.3724794341113977
1101	4	0.32501279899540236
1101	5	0.31949737947199
1101	6	0.3126658699307683
1101	7	0.3116102016315594
1101	8	0.2591594931269441
1101	9	0.37425298727823986
1101	10-11	0.37098195277268786
1101	12-13	0.39876787676688963
1101	14-15	0.5081083303108755
1101	16-17	0.5009939289874197
1101	18-19	0.5041846619111894
1101	20-21	0.48380117177693194
1101	22-23	0.4836863728503431
1101	24-25	0.4788821619693806
1101	26-27	0.46883684526783753
1101	28-29	0.47806388884328754
1101	30-31	0.46544123987048636
1101	32-33	0.49670560415828646
1101	34-35	0.4798509391183501
1101	36-37	0.4737761808022327
1101	38-39	0.46431526875639406
1101	40-41	0.48960766399765987
1101	42-43	0.5223635884197648
1101	44-45	0.49016545923139887
1101	46-47	0.44173439525172853
1101	48-49	0.472971769549936
1101	50-51	0.4491596168628007
1101	52-53	0.42988232580751173
1101	54-55	0.3763301656409226
1101	56-57	0.35124392098655477
1101	58-59	0.3316477126749078
1101	60-61	0.3771118147353434
1101	62-63	0.37883413728346227
1101	64-65	0.3374784743313626
1101	66-67	0.33474245777515677
1101	68-69	0.3225596716479089
1101	70-71	0.25008543890223933
1101	72-73	0.29197418362431193
1101	74-75	0.28431538266734435
1101	76-77	0.2534744939268023
1101	78-79	0.29626933727389826
1101	80-81	0.28462956619624435
1101	82-83	0.2751763402592573
1101	84-85	0.2591453453068482
1101	86-87	0.21880972149961053
1101	88-89	0.23965318235514133
1101	90-91	0.19322272639599447
1101	92-93	0.19119602827861115
1101	94-95	0.20504208671810176
1101	96-97	0.1901925036523906
1101	98-99	0.19594027095375566
1101	100-101	0.1845014920876551
1101	102-103	0.10115594496415525
1101	104-105	0.14015904977778604
1101	106-107	0.12858918432751665
1101	108	0.1821348127070337
1102	1	0.3559706276127841
1102	2	0.2928437476605623
1102	3	0.2556068108648759
1102	4	0.264045650228951
1102	5	0.264770429114769
1102	6	0.25763471212862044
1102	7	0.2686418422160983
1102	8	0.25119007699229456
1102	9	0.3102477166870372
1102	10-11	0.3227128769952756
1102	12-13	0.2989614477858069
1102	14-15	0.4378998297043992
1102	16-17	0.44817768789919654
1102	18-19	0.4481908576419471
1102	20-21	0.44368951198848094
1102	22-23	0.43992153990268434
1102	24-25	0.4130484457311212
1102	26-27	0.4149425934862734
1102	28-29	0.4159806862324942
1102	30-31	0.4366069685110858
1102	32-33	0.43715043225036965
1102	34-35	0.44021725928831046
1102	36-37	0.41328976595195854
1102	38-39	0.40251432846402224
1102	40-41	0.39236252546547234
1102	42-43	0.39139331318110493
1102	44-45	0.348125115883235
1102	46-47	0.3527486416605967
1102	48-49	0.343206957968178
1102	50-51	0.3452730182600945
1102	52-53	0.32573349246666083
1102	54-55	0.32780802052597835
1102	56-57	0.3386371061261215
1102	58-59	0.32041619348068195
1102	60-61	0.28220001906039016
1102	62-63	0.28823593189180485
1102	64-65	0.3070889251335913
1102	66-67	0.2897255570744264
1102	68-69	0.27258719456538216
1102	70-71	0.26693703433948457
1102	72-73	0.26365312531071794
1102	74-75	0.22007695540797556
1102	76-77	0.22547681651379747
1102	78-79	0.21966131021930124
1102	80-81	0.20778632930709762
1102	82-83	0.20178575592507997
1102	84-85	0.18661303887029845
1102	86-87	0.16761789817834227
1102	88-89	0.14154633874284883
1102	90-91	0.17947187722595004
1102	92-93	0.18638689107304884
1102	94-95	0.16477536179042573
1102	96-97	0.15118711182599753
1102	98-99	0.1639088918893421
1102	100-101	0.12928803831503188
1102	102-103	0.0218308754123413
1102	104-105	0.09304041161519905
1102	106-107	0.10118895058723609
1102	108	0.1225809908610529
1103	1	0.2157418379916507
1103	2	0.1857466613008114
1103	3	0.19110508919660418
1103	4	0.20093904882780578
1103	5	0.18496052859162404
1103	6	0.19625073771167934
1103	7	0.2201748392660079
1103	8	0.22316261790632552
1103	9	0.3040378187247299
1103	10-11	0.28643471581289504
1103	12-13	0.3072001661510555
1103	14-15	0.38724234637851396
1103	16-17	0.3871681677594552
1103	18-19	0.38738848381533586
1103	20-21	0.37267697200027783
1103	22-23	0.39224213489050896
1103	24-25	0.37786263752114024
