##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	Sample_YRW-1_L003_R1.bbduk.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	76107764
Sequences flagged as poor quality	0
Sequence length	1-101
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.63223794092808	33.0	31.0	34.0	31.0	34.0
2	33.084112917630314	34.0	33.0	34.0	31.0	34.0
3	33.33462474921303	34.0	34.0	34.0	31.0	34.0
4	33.827281054143114	35.0	32.0	37.0	28.0	37.0
5	35.560329485818656	35.0	35.0	37.0	33.0	37.0
6	36.01087095584742	37.0	35.0	37.0	35.0	37.0
7	36.48141619627021	37.0	37.0	37.0	35.0	37.0
8	36.580067132395655	37.0	37.0	37.0	35.0	37.0
9	38.504617412497254	39.0	39.0	39.0	37.0	39.0
10-11	38.51517158601929	39.0	39.0	39.0	37.0	39.0
12-13	38.494347102053226	39.0	39.0	39.0	37.0	39.0
14-15	40.14493349785553	41.0	40.0	41.0	38.0	41.0
16-17	40.118107704912035	41.0	40.0	41.0	38.0	41.0
18-19	40.10173611478634	41.0	40.0	41.0	38.0	41.0
20-21	40.06957911423437	41.0	40.0	41.0	38.0	41.0
22-23	40.02695889543158	41.0	40.0	41.0	38.0	41.0
24-25	39.98340709349104	41.0	40.0	41.0	38.0	41.0
26-27	39.928894919614976	41.0	40.0	41.0	38.0	41.0
28-29	39.869682518363064	41.0	40.0	41.0	38.0	41.0
30-31	39.786870233714964	41.0	40.0	41.0	38.0	41.0
32-33	39.669644075198114	41.0	40.0	41.0	37.0	41.0
34-35	39.75494149074376	41.0	40.0	41.0	38.0	41.0
36-37	39.750599769275816	41.0	40.0	41.0	37.0	41.0
38-39	39.696463265492255	41.0	40.0	41.0	37.0	41.0
40-41	39.616093890375325	41.0	40.0	41.0	37.0	41.0
42-43	39.50791950204735	41.0	39.0	41.0	36.5	41.0
44-45	39.381287808765904	41.0	39.0	41.0	36.0	41.0
46-47	39.234635531099116	40.5	39.0	41.0	35.0	41.0
48-49	39.06613693764502	40.0	38.0	41.0	35.0	41.0
50-51	38.86989481416532	40.0	38.0	41.0	35.0	41.0
52-53	38.64719421651389	40.0	37.0	41.0	35.0	41.0
54-55	38.38186515470056	40.0	37.0	41.0	34.5	41.0
56-57	38.110100391288526	39.0	36.0	41.0	34.0	41.0
58-59	37.8001762520105	39.0	35.5	41.0	34.0	41.0
60-61	37.47286362443431	38.5	35.0	40.5	33.5	41.0
62-63	37.22043416488839	37.5	35.0	40.0	33.5	41.0
64-65	37.08976039067531	37.0	35.0	40.0	34.0	41.0
66-67	36.80235641574171	37.0	35.0	39.0	34.0	41.0
68-69	36.432708718966666	36.0	35.0	39.0	33.5	41.0
70-71	36.07751891531204	35.5	35.0	38.5	33.0	40.5
72-73	35.715319897592224	35.0	35.0	37.0	33.0	39.0
74-75	35.41925846188226	35.0	35.0	37.0	33.0	39.0
76-77	34.37079136220966	35.0	33.5	36.0	31.0	37.0
78-79	34.89849806003729	35.0	35.0	36.0	33.0	37.0
80-81	34.8115549724499	35.0	35.0	35.5	33.0	37.0
82-83	34.64816404459182	35.0	35.0	35.0	33.0	36.5
84-85	34.530203595697714	35.0	35.0	35.0	33.0	36.0
86-87	34.44261459008076	35.0	35.0	35.0	33.0	36.0
88-89	34.36062545103785	35.0	34.5	35.0	33.0	36.0
90-91	34.289884027872844	35.0	34.0	35.0	33.0	35.0
92-93	34.256786702858435	35.0	34.0	35.0	33.0	35.0
94-95	34.22222570428835	35.0	34.0	35.0	33.0	35.0
96-97	34.192932563192954	35.0	34.0	35.0	32.0	35.0
98-99	34.19314690250038	35.0	34.0	35.0	32.0	35.0
100-101	33.604414970095334	34.5	33.0	35.0	30.5	35.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-0.20348956279259056
1101	2	0.08664262965267966
1101	3	0.14176120186797192
1101	4	-0.2882412750285255
1101	5	-0.5248134359320176
1101	6	0.20832607229208122
1101	7	0.1369791591285363
1101	8	0.10424573599230769
1101	9	0.15030225198042046
1101	10-11	0.13742709235989992
1101	12-13	0.14487874179494753
1101	14-15	0.18876627233485976
1101	16-17	0.20463888752934167
1101	18-19	0.22050950139315972
1101	20-21	0.2132523025076054
1101	22-23	0.2153251866177115
1101	24-25	0.22960590090526978
1101	26-27	0.22928505157181434
1101	28-29	0.2352181166089764
1101	30-31	0.23992572431483694
1101	32-33	0.22095717863291497
1101	34-35	0.20012702457045606
1101	36-37	0.17510774321019795
1101	38-39	0.19943915782334898
1101	40-41	0.1921043159304432
1101	42-43	0.16762083028032038
1101	44-45	0.1722789529149935
1101	46-47	0.14605515327713903
1101	48-49	0.1583115369558996
1101	50-51	0.15556607532024458
1101	52-53	0.14986909641559265
1101	54-55	0.1327910441246658
1101	56-57	0.14460321430842527
1101	58-59	0.07799778647302702
1101	60-61	0.10045816170946154
1101	62-63	0.08946086842023959
1101	64-65	0.13861984330162613
1101	66-67	0.14907802774866497
1101	68-69	0.11700967787726313
1101	70-71	0.09791353315223006
1101	72-73	0.16696678268633747
1101	74-75	0.15461940102071736
1101	76-77	0.05471089792607842
1101	78-79	0.07633870256737652
1101	80-81	0.09297907624676327
1101	82-83	0.10281328343914709
1101	84-85	0.06154362743550479
1101	86-87	0.0585784952226831
1101	88-89	0.05346597328770741
1101	90-91	0.06557578263460329
1101	92-93	0.04827106679227455
1101	94-95	0.03838691202264499
1101	96-97	0.03768654530384197
1101	98-99	0.011302107154833152
1101	100-101	0.0943833821228921
1102	1	-0.30802047016170064
1102	2	-0.08821687250907218
1102	3	0.0809198090822818
1102	4	-2.332779663550383
1102	5	-0.9306647378983186
1102	6	-0.44550480647333757
1102	7	0.01000415938849386
1102	8	0.06280132983975051
1102	9	0.1260070989436528
1102	10-11	0.12161698933933707
1102	12-13	0.13248092472272077
1102	14-15	0.1840655668966562
1102	16-17	0.18109767215933203
1102	18-19	0.18306675708302578
1102	20-21	0.17735713799576303
1102	22-23	0.18193443397500886
1102	24-25	0.1649411701927619
1102	26-27	0.18600918718411208
1102	28-29	0.20462553716945564
1102	30-31	0.18338832441393293
1102	32-33	0.2186139451958624
1102	34-35	0.18362309830506973
1102	36-37	0.19217331235492452
1102	38-39	0.1921345967098631
1102	40-41	0.18167564364707545
1102	42-43	0.1723175650486155
1102	44-45	0.1638491746842874
1102	46-47	0.13719715160386414
1102	48-49	0.14494702262343395
1102	50-51	0.15063431823079299
1102	52-53	0.11843250164812957
1102	54-55	0.145733322328077
1102	56-57	0.13837521806820519
1102	58-59	0.0987111698754859
1102	60-61	0.11567756051821476
1102	62-63	0.11802833869533202
1102	64-65	0.11537413943962349
1102	66-67	0.11740992804967476
1102	68-69	0.12133914352921238
1102	70-71	0.11066061741271227
1102	72-73	0.16364468326342063
1102	74-75	0.15999311207490763
1102	76-77	0.06362406112850749
1102	78-79	0.08479200367010975
1102	80-81	0.09746606263630042
1102	82-83	0.1223434718586418
1102	84-85	0.03471733194115956
1102	86-87	0.07596279585045806
1102	88-89	0.07363311486228241
1102	90-91	0.09318575543192509
1102	92-93	0.05682406208950397
1102	94-95	0.010840373782734503
1102	96-97	0.05889139764677509
1102	98-99	0.06460511365521882
1102	100-101	0.1261379357258079
1103	1	-0.3554366775992932
1103	2	-0.22835003678447663
1103	3	0.028549405028634567
1103	4	-2.7284440055654784
1103	5	-1.008424446657365
1103	6	-0.5518692331599269
1103	7	-0.028247399283806374
1103	8	0.036513150372414316
1103	9	0.08539851309477342
1103	10-11	0.09246492308650289
1103	12-13	0.10690484256254251
1103	14-15	0.14818706932693715
1103	16-17	0.14822581665683288
1103	18-19	0.1417495519824783
1103	20-21	0.13327410623767122
1103	22-23	0.15147905366233516
1103	24-25	0.16143229525531666
1103	26-27	0.11118778528291529
1103	28-29	0.15785356578677323
1103	30-31	0.1621655937542812
1103	32-33	0.18303576380313302
1103	34-35	0.16002138656583753
1103	36-37	0.16492204941736333
1103	38-39	0.1458432793397435
1103	40-41	0.15907639372031923
1103	42-43	0.14167405868055027
1103	44-45	0.15080715471061978
1103	46-47	0.14381461593924882
1103	48-49	0.1448912406517593
1103	50-51	0.13184291614732047
1103	52-53	0.1455105380104058
1103	54-55	0.1612358423041158
1103	56-57	0.14252294651118547
1103	58-59	0.13306903391025315
1103	60-61	0.11781667866991796
1103	62-63	0.12458619483778222
1103	64-65	0.11596918749889085
1103	66-67	0.10463590757966301
1103	68-69	0.08808488864579544
1103	70-71	0.10772525280909662
1103	72-73	0.14943449022505462
1103	74-75	0.13414430724479587
1103	76-77	0.07393536716239169
1103	78-79	0.09636057098179407
1103	80-81	0.08120625509569379
1103	82-83	0.10489150271638437
1103	84-85	0.07201207253671527
