##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	Sample_YRW-1_L003_R2.bbduk.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	76107764
Sequences flagged as poor quality	0
Sequence length	1-101
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.80459420670932	34.0	31.0	34.0	31.0	34.0
2	33.248594864288876	34.0	33.0	34.0	31.0	34.0
3	33.374460105354295	34.0	34.0	34.0	31.0	34.0
4	36.5936443267103	37.0	37.0	37.0	35.0	37.0
5	36.59194259840808	37.0	37.0	37.0	35.0	37.0
6	36.606367903233284	37.0	37.0	37.0	35.0	37.0
7	36.59140365974032	37.0	37.0	37.0	35.0	37.0
8	36.58811649502765	37.0	37.0	37.0	35.0	37.0
9	38.429719092535585	39.0	39.0	39.0	37.0	39.0
10-11	38.43721917814357	39.0	39.0	39.0	37.0	39.0
12-13	38.407024726444526	39.0	39.0	39.0	37.0	39.0
14-15	40.03063066048193	41.0	40.0	41.0	38.0	41.0
16-17	40.01024839089402	41.0	40.0	41.0	38.0	41.0
18-19	39.98861964612838	41.0	40.0	41.0	38.0	41.0
20-21	39.95417930218699	41.0	40.0	41.0	38.0	41.0
22-23	39.91075860545118	41.0	40.0	41.0	38.0	41.0
24-25	39.87608916164737	41.0	40.0	41.0	38.0	41.0
26-27	39.807341832166756	41.0	40.0	41.0	38.0	41.0
28-29	39.72505894793544	41.0	40.0	41.0	38.0	41.0
30-31	39.67253719891823	41.0	40.0	41.0	37.5	41.0
32-33	39.67375323621501	41.0	40.0	41.0	37.5	41.0
34-35	39.72360436858721	41.0	40.0	41.0	37.5	41.0
36-37	39.6871764355921	41.0	40.0	41.0	37.0	41.0
38-39	39.59894696724987	41.0	39.5	41.0	37.0	41.0
40-41	39.50636375403501	41.0	39.0	41.0	36.5	41.0
42-43	39.41816760987656	41.0	39.0	41.0	36.0	41.0
44-45	39.294114340291	41.0	39.0	41.0	35.5	41.0
46-47	39.15003793393495	40.0	38.5	41.0	35.0	41.0
48-49	38.9720062700779	40.0	38.0	41.0	35.0	41.0
50-51	38.21940966560748	39.5	37.0	40.5	34.0	41.0
52-53	38.147150824907214	39.5	37.0	40.5	34.0	41.0
54-55	38.29551680609541	40.0	37.0	41.0	34.0	41.0
56-57	38.09700301110596	39.0	36.0	41.0	34.0	41.0
58-59	37.79209732887714	39.0	35.5	41.0	34.0	41.0
60-61	37.70018003899997	39.0	35.0	41.0	34.0	41.0
62-63	37.467349290008855	38.0	35.0	41.0	34.0	41.0
64-65	37.1444770487465	37.0	35.0	40.0	34.0	41.0
66-67	36.78763760423256	37.0	35.0	39.0	34.0	41.0
68-69	36.43306800347604	36.0	35.0	39.0	34.0	41.0
70-71	36.090168872955275	35.5	35.0	38.5	33.0	40.5
72-73	35.75956185750731	35.0	35.0	37.0	33.0	39.0
74-75	35.461511367018204	35.0	35.0	37.0	33.0	39.0
76-77	35.20133203981379	35.0	35.0	36.0	33.0	38.5
78-79	34.96699384148504	35.0	35.0	36.0	33.0	37.0
80-81	34.773100471963616	35.0	35.0	35.5	33.0	37.0
82-83	34.607650472315186	35.0	35.0	35.0	33.0	36.5
84-85	34.47466242263991	35.0	35.0	35.0	33.0	36.0
86-87	34.37366824423442	35.0	34.5	35.0	33.0	36.0
88-89	34.291761410220936	35.0	34.0	35.0	32.5	36.0
90-91	34.232421342964955	35.0	34.0	35.0	32.0	35.0
92-93	34.18702932840618	35.0	34.0	35.0	32.0	35.0
94-95	34.15172496470446	35.0	34.0	35.0	32.0	35.0
96-97	34.111555464969456	35.0	34.0	35.0	32.0	35.0
98-99	34.09905377686334	35.0	34.0	35.0	32.0	35.0
100-101	33.4337248463156	34.5	33.0	35.0	30.5	35.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.04283690233854287
1101	2	0.16753110964021545
1101	3	0.1734353945597249
1101	4	0.12759984897530785
1101	5	0.1303437116792523
1101	6	0.12786132788860272
1101	7	0.1316426346297206
1101	8	0.17735834333277012
1101	9	0.19464447664503126
1101	10-11	0.20376000305333974
1101	12-13	0.22832769460521263
1101	14-15	0.26503114010683504
1101	16-17	0.2709274414019376
1101	18-19	0.2545320461336118
1101	20-21	0.274315799898865
1101	22-23	0.2783637844505762
1101	24-25	0.270097208998628
1101	26-27	0.2958266385263002
1101	28-29	0.2811777915226443
1101	30-31	0.3017537707660978
1101	32-33	0.2565329224790105
1101	34-35	0.2495867889417127
1101	36-37	0.2260206658744508
1101	38-39	0.22430481917421474
1101	40-41	0.2373547587342344
1101	42-43	0.19382963223126382
1101	44-45	0.15870293916695744
1101	46-47	0.15858407472691027
1101	48-49	0.2025348604794246
1101	50-51	0.2007113470741686
1101	52-53	0.17782571577745188
1101	54-55	0.15514369562113473
1101	56-57	0.1568184081085917
1101	58-59	0.1528872317903236
1101	60-61	0.196303805286405
1101	62-63	0.19491865171457334
1101	64-65	0.18464363195505484
1101	66-67	0.16246068533633462
1101	68-69	0.14325712783835343
1101	70-71	0.1544604183021434
1101	72-73	0.13192594252065248
1101	74-75	0.1420227287886533
1101	76-77	0.10790692177076977
1101	78-79	0.10834675408135297
1101	80-81	0.10455449685156282
1101	82-83	0.09694646267159612
1101	84-85	0.09166663039121659
1101	86-87	0.08139380036359967
1101	88-89	0.1037072484363577
1101	90-91	0.07202456831073079
1101	92-93	0.037310816284737314
1101	94-95	0.08721797608301074
1101	96-97	0.06287004382070194
1101	98-99	0.04159527918171335
1101	100-101	0.10334541530722419
1102	1	0.0237142929768126
1102	2	0.08654997451543522
1102	3	0.14362383575919324
1102	4	0.09289450378845743
1102	5	0.109175779995482
1102	6	0.10929817733165947
1102	7	0.1133937681157704
1102	8	0.16782339042100602
1102	9	0.1584531004520784
1102	10-11	0.1744898678367548
1102	12-13	0.1906428232769386
1102	14-15	0.2341977791869354
1102	16-17	0.22037464184534628
1102	18-19	0.24221665169717
1102	20-21	0.25592282669774136
1102	22-23	0.25458636346317576
1102	24-25	0.25399390865934635
1102	26-27	0.2544339208484345
1102	28-29	0.2723785665383005
1102	30-31	0.273945293640395
1102	32-33	0.22638719804626817
1102	34-35	0.21529413696647026
1102	36-37	0.23183981088918415
1102	38-39	0.19900252034366872
1102	40-41	0.19744923736441677
1102	42-43	0.15854790995047807
1102	44-45	0.19206734366097322
1102	46-47	0.17281417569920876
1102	48-49	0.19955539925517485
1102	50-51	0.2035059642878565
1102	52-53	0.20726194192775438
1102	54-55	0.20268658339715984
1102	56-57	0.15447032637264613
1102	58-59	0.14084533623777418
1102	60-61	0.16764284876146007
1102	62-63	0.16272952738473379
1102	64-65	0.16415909511845683
1102	66-67	0.1591930276353537
1102	68-69	0.1033532222413669
1102	70-71	0.12357127853076832
1102	72-73	0.12821013261060443
1102	74-75	0.10888350861610974
1102	76-77	0.11512937447649563
1102	78-79	0.11978637025647032
1102	80-81	0.12110785956514292
1102	82-83	0.10294747271783677
1102	84-85	0.09383510759032276
1102	86-87	0.13218338162088372
1102	88-89	0.09965802170136584
1102	90-91	0.09993842660449559
1102	92-93	0.10514743830050577
1102	94-95	0.08753457006330478
1102	96-97	0.1084985288544047
1102	98-99	0.07798425021452715
1102	100-101	0.04217725220604507
1103	1	-0.004879122854489992
1103	2	0.11417864198350713
1103	3	0.15296404892553284
1103	4	0.0914565877189375
1103	5	0.10013694382350735
1103	6	0.10554616602196631
1103	7	0.10293863178866047
1103	8	0.1361306402464706
1103	9	0.1513252305367203
1103	10-11	0.144912997409385
1103	12-13	0.18358116314393413
1103	14-15	0.2286645888300214
1103	16-17	0.22567055728147523
1103	18-19	0.2093072875740205
1103	20-21	0.20872221163367755
1103	22-23	0.2173066339424281
1103	24-25	0.20374680195576644
1103	26-27	0.20354376479286174
1103	28-29	0.2094117973546048
1103	30-31	0.2208147865711112
1103	32-33	0.17541147522187828
1103	34-35	0.18965964992276696
1103	36-37	0.1937656579053666
1103	38-39	0.17544292474664758
1103	40-41	0.18148972940209518
1103	42-43	0.18242821495450556
1103	44-45	0.16612144304501442
1103	46-47	0.16224225265536774
1103	48-49	0.1733791705478538
1103	50-51	0.16921490630532787
1103	52-53	0.16504175967070722
1103	54-55	0.162457695078551
1103	56-57	0.12493897251025743
1103	58-59	0.12431923469026884
1103	60-61	0.16186668669224957
1103	62-63	0.1509637992237174
1103	64-65	0.11805069911722654
1103	66-67	0.13076887955003969
1103	68-69	0.09910308166914206
1103	70-71	0.11625194183858412
1103	72-73	0.12125430968540485
1103	74-75	0.11703396899569185
1103	76-77	0.11321811927003012
