##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	Sample_YRW-2_L001_R1.bbduk.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	33324713
Sequences flagged as poor quality	0
Sequence length	1-108
%GC	46
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.36453553253407	33.0	31.0	34.0	30.0	34.0
2	32.6476841325139	34.0	31.0	34.0	31.0	34.0
3	32.504798118079314	34.0	31.0	34.0	31.0	34.0
4	36.11096198424272	37.0	35.0	37.0	35.0	37.0
5	36.11496341525562	37.0	35.0	37.0	35.0	37.0
6	36.149068036251606	37.0	35.0	37.0	35.0	37.0
7	36.20054539348311	37.0	36.0	37.0	35.0	37.0
8	36.20316588920784	37.0	36.0	37.0	35.0	37.0
9	37.9453376339031	39.0	38.0	39.0	35.0	39.0
10-11	38.00012479566445	39.0	38.0	39.0	35.0	39.0
12-13	37.89688848607595	39.0	38.0	39.0	35.0	39.0
14-15	39.36340787803836	41.0	39.0	41.0	36.0	41.0
16-17	39.381188125849306	41.0	39.0	41.0	36.0	41.0
18-19	39.40304967654845	41.0	39.0	41.0	36.0	41.0
20-21	39.41318509310212	41.0	39.0	41.0	36.0	41.0
22-23	39.39538553250413	41.0	39.0	41.0	36.0	41.0
24-25	39.37574825302576	41.0	39.0	41.0	36.0	41.0
26-27	39.33336434041341	41.0	39.0	41.0	36.0	41.0
28-29	39.28772988335048	41.0	39.0	41.0	36.0	41.0
30-31	39.18364502506442	41.0	39.0	41.0	36.0	41.0
32-33	39.14827824972208	40.0	39.0	41.0	35.0	41.0
34-35	39.12181556752394	40.0	39.0	41.0	35.0	41.0
36-37	39.06926339577609	40.0	38.0	41.0	35.0	41.0
38-39	38.99123947047846	40.0	38.0	41.0	35.0	41.0
40-41	38.90010618065875	40.0	38.0	41.0	35.0	41.0
42-43	38.79484740130739	40.0	38.0	41.0	35.0	41.0
44-45	38.92096814586526	40.0	38.0	41.0	35.0	41.0
46-47	38.870231752169616	40.0	38.0	41.0	35.0	41.0
48-49	38.74963441053379	40.0	38.0	41.0	35.0	41.0
50-51	38.61493251075061	40.0	37.5	41.0	34.0	41.0
52-53	38.446325980352924	40.0	37.0	41.0	34.0	41.0
54-55	38.24470197784942	40.0	36.5	41.0	34.0	41.0
56-57	38.02446645500376	39.0	36.0	41.0	34.0	41.0
58-59	37.766313860564885	39.0	35.5	41.0	34.0	41.0
60-61	37.49012519891171	39.0	35.0	41.0	33.0	41.0
62-63	37.18847192353752	37.5	35.0	40.0	33.0	41.0
64-65	36.86713729344851	37.0	35.0	40.0	33.0	41.0
66-67	36.53740990770887	36.5	35.0	39.0	33.0	41.0
68-69	36.19504485343556	36.0	35.0	39.0	33.0	41.0
70-71	35.86608861695636	35.5	35.0	38.5	32.5	40.0
72-73	35.54168293948851	35.0	35.0	37.0	32.0	39.0
74-75	35.244395514719976	35.0	35.0	37.0	32.0	39.0
76-77	34.96326385584216	35.0	34.5	36.0	32.0	38.5
78-79	34.75317555770353	35.0	34.0	36.0	32.0	37.0
80-81	34.563408280247145	35.0	34.0	35.5	32.0	37.0
82-83	34.41000123574546	35.0	34.0	35.0	32.0	36.5
84-85	34.293412945085564	35.0	34.0	35.0	32.0	36.0
86-87	34.204345677937155	35.0	34.0	35.0	32.0	36.0
88-89	34.146015969471144	35.0	34.0	35.0	32.0	36.0
90-91	34.100557860419585	35.0	34.0	35.0	32.0	35.0
92-93	34.06317807678059	35.0	34.0	35.0	32.0	35.0
94-95	34.04783721668575	35.0	34.0	35.0	32.0	35.0
96-97	34.03748381110766	35.0	34.0	35.0	32.0	35.0
98-99	34.03321999233317	35.0	34.0	35.0	32.0	35.0
100-101	34.02521370369476	35.0	34.0	35.0	32.0	35.0
102-103	33.17570972302989	34.0	32.5	35.0	30.0	35.0
104-105	34.01070123422409	35.0	34.0	35.0	31.5	35.0
106-107	34.19502069848957	35.0	34.0	35.0	32.0	35.0
108	33.21713352680574	34.0	33.0	35.0	29.0	35.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-1.1141454001048494
1101	2	-1.2934733599455903
1101	3	-0.6776807840809269
1101	4	-0.6678502135731605
1101	5	-0.2939537411250157
1101	6	-0.120823786580182
1101	7	-0.16477248959356672
1101	8	-0.0787333133490975
1101	9	0.03415805816765527
1101	10-11	0.07795358394501051
1101	12-13	0.21196604585474432
1101	14-15	0.1938132617083923
1101	16-17	0.08583081170439755
1101	18-19	-0.09362497811783044
1101	20-21	0.03938958008939153
1101	22-23	0.12550845798998722
1101	24-25	0.10974859361556355
1101	26-27	0.13280693850690994
1101	28-29	0.08726998311644252
1101	30-31	0.14902385047151512
1101	32-33	0.17101008316058142
1101	34-35	0.16062309766714833
1101	36-37	0.13556876494242687
1101	38-39	0.14314939662023107
1101	40-41	0.168687582793126
1101	42-43	0.10143830619817606
1101	44-45	0.1705595636059698
1101	46-47	0.16160061641289758
1101	48-49	0.11892108349887565
1101	50-51	0.16014652459672618
1101	52-53	0.14006974542777328
1101	54-55	0.1662164638628525
1101	56-57	0.1799440897543434
1101	58-59	0.18460034995759145
1101	60-61	0.11833288999513769
1101	62-63	0.14437806160081124
1101	64-65	0.17747032725349499
1101	66-67	0.15952428742428992
1101	68-69	0.12440420098506877
1101	70-71	0.06398422254589065
1101	72-73	0.025552263542905962
1101	74-75	0.08638521800640575
1101	76-77	0.10000161091978299
1101	78-79	0.08328773272708645
1101	80-81	0.08533477572711234
1101	82-83	0.08420530174872454
1101	84-85	0.08228830591855996
1101	86-87	0.08470940679627148
1101	88-89	0.07977214481812922
1101	90-91	0.06483969549060475
1101	92-93	0.07386606638981164
1101	94-95	0.061414900412216866
1101	96-97	0.07457319527085815
1101	98-99	0.0714286935156565
1101	100-101	0.03818458082601239
1101	102-103	-0.03534516362119433
1101	104-105	0.003566254338913666
1101	106-107	0.017547515188397256
1101	108	3.967486351470484E-4
1102	1	0.5112360705083461
1102	2	0.4083431341628767
1102	3	0.5787598519276926
1102	4	0.3872471574758265
1102	5	0.354348247808808
1102	6	0.32398046161751637
1102	7	0.2832292305900026
1102	8	0.3153592072140299
1102	9	0.4549989303085056
1102	10-11	0.3959415431594735
1102	12-13	0.4649559533921561
1102	14-15	0.6234576915353642
1102	16-17	0.5860972266764435
1102	18-19	0.5408527329128319
1102	20-21	0.5185573364844345
1102	22-23	0.5040105722067949
1102	24-25	0.5192078533536275
1102	26-27	0.503379319033634
1102	28-29	0.4892606405462061
1102	30-31	0.5730055337843751
1102	32-33	0.5348320972747942
1102	34-35	0.5210650148097073
1102	36-37	0.5087844916792292
1102	38-39	0.5266864701340808
1102	40-41	0.49916131325723967
1102	42-43	0.4999411856086624
1102	44-45	0.48161268491579534
1102	46-47	0.48609829732161813
1102	48-49	0.5016604402068907
1102	50-51	0.48424317253194715
1102	52-53	0.4437000750853244
1102	54-55	0.4777512123498795
1102	56-57	0.4663308735707403
1102	58-59	0.4811312885582808
1102	60-61	0.45260753239713125
1102	62-63	0.4325021649662659
1102	64-65	0.43001126933894795
1102	66-67	0.3710248004001073
1102	68-69	0.37254737645437075
1102	70-71	0.3639732623445582
1102	72-73	0.333609995267075
1102	74-75	0.31857205218403095
1102	76-77	0.3229223541762991
1102	78-79	0.3064752187553097
1102	80-81	0.29445701945225267
1102	82-83	0.26970161739383514
1102	84-85	0.25342343496307507
1102	86-87	0.23045511630710536
1102	88-89	0.23446520193319031
1102	90-91	0.2518904061502667
1102	92-93	0.22929957598876882
1102	94-95	0.20695357148376559
1102	96-97	0.2067137306597644
1102	98-99	0.23153016930034198
1102	100-101	0.2106487052795316
1102	102-103	0.01636154797134992
1102	104-105	0.1679519865869068
1102	106-107	0.15341894475386653
1102	108	0.16166822684905924
1103	1	0.3643196547544818
1103	2	0.2996515371928865
1103	3	0.4739784411314787
1103	4	0.28834696248412683
1103	5	0.2636805949355221
1103	6	0.2309945743091788
1103	7	0.22079656808053727
1103	8	0.2474261466146217
1103	9	0.3740849543120177
1103	10-11	0.3284034071192963
1103	12-13	0.43589303795406664
1103	14-15	0.563357184373821
1103	16-17	0.4046512586910467
1103	18-19	0.2479309216653931
1103	20-21	0.3093747248990866
1103	22-23	0.35228814795043206
