##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	Sample_YWW-2_L001_R1.bbduk.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	35026869
Sequences flagged as poor quality	0
Sequence length	1-108
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.400528634175096	33.0	31.0	34.0	30.0	34.0
2	32.676686823981775	34.0	31.0	34.0	31.0	34.0
3	32.52746607024845	34.0	31.0	34.0	31.0	34.0
4	36.140466496952435	37.0	35.0	37.0	35.0	37.0
5	36.146275856712855	37.0	35.0	37.0	35.0	37.0
6	36.175113606575444	37.0	36.0	37.0	35.0	37.0
7	36.22173706435815	37.0	36.0	37.0	35.0	37.0
8	36.215717180538576	37.0	37.0	37.0	35.0	37.0
9	37.96326294446057	39.0	38.0	39.0	35.0	39.0
10-11	38.01661879632047	39.0	38.0	39.0	35.0	39.0
12-13	37.913057288788366	39.0	38.0	39.0	35.0	39.0
14-15	39.385538704360314	41.0	39.0	41.0	36.0	41.0
16-17	39.40649568645324	41.0	39.0	41.0	36.0	41.0
18-19	39.430451284697426	41.0	39.0	41.0	36.0	41.0
20-21	39.44018222801121	41.0	39.0	41.0	36.0	41.0
22-23	39.422580414417396	41.0	39.0	41.0	36.0	41.0
24-25	39.40319819353701	41.0	39.0	41.0	36.0	41.0
26-27	39.36073372845712	41.0	39.0	41.0	36.0	41.0
28-29	39.31596236141508	41.0	39.0	41.0	36.0	41.0
30-31	39.20915996163183	41.0	39.0	41.0	36.0	41.0
32-33	39.17525126100661	40.5	39.0	41.0	36.0	41.0
34-35	39.14832259347553	40.0	39.0	41.0	35.0	41.0
36-37	39.09338374423062	40.0	38.5	41.0	35.0	41.0
38-39	39.01493777010501	40.0	38.0	41.0	35.0	41.0
40-41	38.920885254749294	40.0	38.0	41.0	35.0	41.0
42-43	38.80835187590982	40.0	38.0	41.0	35.0	41.0
44-45	38.931477227710296	40.0	38.0	41.0	35.0	41.0
46-47	38.876435383749666	40.0	38.0	41.0	35.0	41.0
48-49	38.74712225391139	40.0	38.0	41.0	35.0	41.0
50-51	38.605836702701765	40.0	37.5	41.0	34.5	41.0
52-53	38.43096706662335	40.0	37.0	41.0	34.0	41.0
54-55	38.22205176943168	40.0	36.5	41.0	34.0	41.0
56-57	37.99554704627259	39.0	36.0	41.0	34.0	41.0
58-59	37.73093395086495	39.0	35.5	41.0	33.5	41.0
60-61	37.44795997101065	38.5	35.0	41.0	33.0	41.0
62-63	37.141309933908225	37.5	35.0	40.0	33.0	41.0
64-65	36.81518145693039	37.0	35.0	40.0	33.0	41.0
66-67	36.48305292205778	36.5	35.0	39.0	33.0	41.0
68-69	36.14095950564821	36.0	35.0	39.0	33.0	41.0
70-71	35.81730179674399	35.5	35.0	38.5	33.0	40.0
72-73	35.49981700196513	35.0	35.0	37.0	32.0	39.0
74-75	35.20977173571825	35.0	35.0	37.0	32.0	39.0
76-77	34.937663625283065	35.0	34.5	36.0	32.0	38.5
78-79	34.735892225991705	35.0	34.0	36.0	32.0	37.0
80-81	34.55119789782094	35.0	34.0	35.5	32.0	37.0
82-83	34.40371100417694	35.0	34.0	35.0	32.0	36.5
84-85	34.29201561951172	35.0	34.0	35.0	32.0	36.0
86-87	34.20620522950874	35.0	34.0	35.0	32.0	36.0
88-89	34.15025392639902	35.0	34.0	35.0	32.0	36.0
90-91	34.10562062289881	35.0	34.0	35.0	32.0	35.0
92-93	34.068553472351226	35.0	34.0	35.0	32.0	35.0
94-95	34.05414787507789	35.0	34.0	35.0	32.0	35.0
96-97	34.04462494065828	35.0	34.0	35.0	32.0	35.0
98-99	34.041260751714475	35.0	34.0	35.0	32.0	35.0
100-101	34.03262159730778	35.0	34.0	35.0	32.0	35.0
102-103	33.18001832323482	34.0	32.5	35.0	30.0	35.0
104-105	34.015809120742645	35.0	34.0	35.0	31.5	35.0
106-107	34.19995098206421	35.0	34.0	35.0	32.0	35.0
108	33.223877054060125	34.0	33.0	35.0	29.0	35.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-1.0852439581355782
1101	2	-1.2597624576584003
1101	3	-0.630996370792392
1101	4	-0.640084248810588
1101	5	-0.29138307456187107
1101	6	-0.1485230710955605
1101	7	-0.18224711961798334
1101	8	-0.10180644267993699
1101	9	-0.010902996862597547
1101	10-11	0.05539535033875609
1101	12-13	0.19219337009447202
1101	14-15	0.14545807144543943
1101	16-17	0.0578800272387312
1101	18-19	-0.08731645712303049
1101	20-21	0.017584431829114067
1101	22-23	0.08929693241218217
1101	24-25	0.08263541026572341
1101	26-27	0.08488474493986331
1101	28-29	0.04782010087522792
1101	30-31	0.14874770811973548
1101	32-33	0.11119545837831168
1101	34-35	0.1083912672466738
1101	36-37	0.06477292950223301
1101	38-39	0.09530917362536684
1101	40-41	0.12367402396400706
1101	42-43	0.10010241514034135
1101	44-45	0.10375100292745998
1101	46-47	0.11898740254635953
1101	48-49	0.09045188050323816
1101	50-51	0.12131527138659237
1101	52-53	0.13356921534083455
1101	54-55	0.15151661758245893
1101	56-57	0.13892508643360202
1101	58-59	0.11950126706108932
1101	60-61	0.061838197794841676
1101	62-63	0.08987362901861928
1101	64-65	0.11907770388609151
1101	66-67	0.11173912872572345
1101	68-69	0.130469407978687
1101	70-71	0.043550517560795754
1101	72-73	0.011175887191086531
1101	74-75	0.0752286114224745
1101	76-77	0.09658698652976483
1101	78-79	0.07534262137332348
1101	80-81	0.10170692314884633
1101	82-83	0.0741737967389895
1101	84-85	0.06420899928740198
1101	86-87	0.08818031780513991
1101	88-89	0.05674578163269217
1101	90-91	0.05874234343561824
1101	92-93	0.06916941258945997
1101	94-95	0.07399749527888133
1101	96-97	0.07018256327310723
1101	98-99	0.05559952596662754
1101	100-101	0.031956921381585346
1101	102-103	-0.0386292417217291
1101	104-105	0.03639242168218004
1101	106-107	0.022667646257787055
1101	108	-0.013631085130853648
1102	1	0.5057777562168582
1102	2	0.402494588892111
1102	3	0.5776804086914709
1102	4	0.37689182849926084
1102	5	0.33155696846601757
1102	6	0.3064680545458174
1102	7	0.2816371300629399
1102	8	0.3092338012999747
1102	9	0.4492339796180431
1102	10-11	0.3931569124902694
1102	12-13	0.46699980512406825
1102	14-15	0.6044773255587756
1102	16-17	0.5733374275596432
1102	18-19	0.5407490725070048
1102	20-21	0.5158471210387177
1102	22-23	0.4962084901221715
1102	24-25	0.5065199271536187
1102	26-27	0.5117675894161593
1102	28-29	0.4829310297854619
1102	30-31	0.5642099806234668
1102	32-33	0.521732299009237
1102	34-35	0.49227869978294336
1102	36-37	0.46834189023294925
1102	38-39	0.4913646805369325
1102	40-41	0.4853679281787038
1102	42-43	0.4945710487953505
1102	44-45	0.4910583251058256
1102	46-47	0.48586883903796263
1102	48-49	0.4848099379191879
1102	50-51	0.4632414322474574
1102	52-53	0.4326876374147801
1102	54-55	0.4321298210692106
1102	56-57	0.4377254305509197
1102	58-59	0.4521678820868189
1102	60-61	0.4250114529804421
1102	62-63	0.39939602139651953
1102	64-65	0.40692231472557694
1102	66-67	0.36981450554890927
1102	68-69	0.3608947285981756
1102	70-71	0.3471201000499846
1102	72-73	0.33078780579482725
1102	74-75	0.30703349453806084
1102	76-77	0.3113832199997333
1102	78-79	0.28398273175061206
1102	80-81	0.2699477009929794
1102	82-83	0.25466418065777674
1102	84-85	0.25360964545842535
1102	86-87	0.23051968334148398
1102	88-89	0.2530364145943409
1102	90-91	0.263529914256587
1102	92-93	0.22738343780100223
1102	94-95	0.21980692340384422
1102	96-97	0.21844553965438251
1102	98-99	0.22370806866936732
1102	100-101	0.22581599234621308
1102	102-103	0.032160277585489894
1102	104-105	0.16022559967102978
1102	106-107	0.14886594432928746
1102	108	0.1624512497190338
1103	1	0.3703080554953644
1103	2	0.30855204320268825
1103	3	0.49771987957783637
1103	4	0.3060045544043035
1103	5	0.2848737788600175
1103	6	0.253320394133695
1103	7	0.25513871518129605
1103	8	0.27462861809620875
1103	9	0.3986709601107066
1103	10-11	0.3461145295422057
1103	12-13	0.46014189985483256
1103	14-15	0.5800330399719584
1103	16-17	0.4187257184214914
1103	18-19	0.26132640198006385
1103	20-21	0.33914111461770347
1103	22-23	0.3866730865404975
