##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	Sample_SD1-2_L002_R2.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	83184148
Sequences flagged as poor quality	0
Sequence length	101
%GC	48
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.81057892183977	34.0	31.0	34.0	30.0	34.0
2	31.95111456812661	34.0	31.0	34.0	30.0	34.0
3	31.94066486080978	34.0	31.0	34.0	30.0	34.0
4	35.25811378148635	37.0	37.0	37.0	35.0	37.0
5	35.25320890465813	37.0	37.0	37.0	35.0	37.0
6	35.27455787609918	37.0	37.0	37.0	35.0	37.0
7	35.22215297558857	37.0	36.0	37.0	35.0	37.0
8	35.21311457081943	37.0	36.0	37.0	33.0	37.0
9	36.88503037862454	39.0	38.0	39.0	34.0	39.0
10-11	36.87474786061402	39.0	38.0	39.0	34.0	39.0
12-13	36.82277269342231	39.0	38.0	39.0	34.0	39.0
14-15	38.2623454952018	41.0	39.0	41.0	34.0	41.0
16-17	38.208557578782916	41.0	39.0	41.0	34.0	41.0
18-19	38.17617091540085	41.0	39.0	41.0	34.0	41.0
20-21	38.14194257901157	41.0	39.0	41.0	34.0	41.0
22-23	38.11265365127019	41.0	39.0	41.0	34.0	41.0
24-25	38.02058244318377	40.5	38.5	41.0	34.0	41.0
26-27	37.87013975908006	40.0	38.0	41.0	33.5	41.0
28-29	37.70547462360256	40.0	38.0	41.0	33.0	41.0
30-31	37.60714379138679	40.0	38.0	41.0	33.0	41.0
32-33	37.508109555921635	40.0	38.0	41.0	32.5	41.0
34-35	37.3988182339741	40.0	38.0	41.0	32.0	41.0
36-37	37.28356642542038	40.0	38.0	41.0	32.0	41.0
38-39	37.39706783436671	40.0	38.0	41.0	32.0	41.0
40-41	37.31971981608804	40.0	38.0	41.0	32.0	41.0
42-43	37.12098596597996	40.0	38.0	41.0	31.0	41.0
44-45	36.96615731401132	40.0	37.0	41.0	31.0	41.0
46-47	36.79372780857237	40.0	37.0	41.0	31.0	41.0
48-49	36.57356086041778	40.0	36.0	41.0	30.5	41.0
50-51	35.84406702103867	39.0	35.5	40.5	29.0	41.0
52-53	35.73853485882911	39.0	35.0	40.0	29.0	41.0
54-55	36.16542339893894	39.0	35.0	41.0	30.0	41.0
56-57	36.101189501874806	39.0	35.0	41.0	30.0	41.0
58-59	35.82734305339041	39.0	35.0	41.0	30.0	41.0
60-61	35.53403332928288	38.0	35.0	40.5	30.0	41.0
62-63	35.18567969825212	37.0	35.0	40.0	30.0	41.0
64-65	34.808491937670624	36.5	35.0	39.5	29.0	41.0
66-67	34.39099297500769	36.0	35.0	39.0	29.0	41.0
68-69	33.99145959876874	35.5	34.0	39.0	28.5	41.0
70-71	33.620383351164456	35.0	34.0	37.0	28.0	39.5
72-73	33.264059740084136	35.0	34.0	37.0	28.0	39.0
74-75	32.93249037064129	35.0	34.0	36.5	27.0	39.0
76-77	32.62206058178296	35.0	34.0	36.0	27.0	37.5
78-79	32.36042328040674	35.0	34.0	35.5	26.5	37.0
80-81	32.12431087831783	35.0	33.0	35.0	26.0	36.5
82-83	31.90181204356388	35.0	33.0	35.0	25.5	36.0
84-85	31.720778158357767	35.0	33.0	35.0	25.0	36.0
86-87	31.571887915471585	35.0	33.0	35.0	25.0	36.0
88-89	31.418346570070057	35.0	33.0	35.0	24.0	35.0
90-91	31.26667752250104	35.0	33.0	35.0	24.0	35.0
92-93	31.129905790463827	35.0	33.0	35.0	23.5	35.0
94-95	30.989937848494883	35.0	33.0	35.0	23.0	35.0
96-97	30.81292051581751	35.0	33.0	35.0	19.5	35.0
98-99	30.561488878866683	35.0	33.0	35.0	10.0	35.0
100-101	28.3962547708008	33.0	28.5	34.5	2.0	35.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.1575391709262206
1101	2	0.21894419992166192
1101	3	0.27446090480620455
1101	4	0.13502195214509527
1101	5	0.17266223547527204
1101	6	0.2488287530234672
1101	7	0.27934983685101855
1101	8	0.2713432509442555
1101	9	0.4267761614698742
1101	10-11	0.4155003333724281
1101	12-13	0.4556992407410192
1101	14-15	0.5672163059963182
1101	16-17	0.5399928094133273
1101	18-19	0.5580729093745873
1101	20-21	0.5279484630510822
1101	22-23	0.5065238074239744
1101	24-25	0.5224335367692561
1101	26-27	0.495487198538882
1101	28-29	0.5465662891766172
1101	30-31	0.6244089578839151
1101	32-33	0.5829696538030404
1101	34-35	0.613075234246999
1101	36-37	0.5787075926660137
1101	38-39	0.5690827686292366
1101	40-41	0.5317890468659741
1101	42-43	0.594890920160914
1101	44-45	0.5830521557121102
1101	46-47	0.5462865599804942
1101	48-49	0.5442964217920405
1101	50-51	0.48482684577755464
1101	52-53	0.4565447388715569
1101	54-55	0.5570018258348526
1101	56-57	0.5470566280252669
1101	58-59	0.564325654464092
1101	60-61	0.5539519434464282
1101	62-63	0.4932584325543985
1101	64-65	0.49124223243850196
1101	66-67	0.5146982460510614
1101	68-69	0.5312518952442815
1101	70-71	0.5208278166633846
1101	72-73	0.5233606024909392
1101	74-75	0.5078973640551183
1101	76-77	0.5048921601359453
1101	78-79	0.47775555908793166
1101	80-81	0.4455629523452984
1101	82-83	0.4548171909394476
1101	84-85	0.46112591285410076
1101	86-87	0.4219271107482001
1101	88-89	0.4611892377269733
1101	90-91	0.4850747149619252
1101	92-93	0.49409498314554057
1101	94-95	0.4419460880068833
1101	96-97	0.41165067162340563
1101	98-99	0.39031476785853414
1101	100-101	0.25878495727793194
1102	1	0.10206143690045977
1102	2	0.20240155669894833
1102	3	0.22430625521625558
1102	4	0.10327615873215024
1102	5	0.13306967423931582
1102	6	0.21512936214620026
1102	7	0.235610252462628
1102	8	0.286829774917166
1102	9	0.38630230455881787
1102	10-11	0.40119835972896567
1102	12-13	0.4207286317520058
1102	14-15	0.5117992925767325
1102	16-17	0.5212018475779203
1102	18-19	0.5140741988092188
1102	20-21	0.5055486234240405
1102	22-23	0.47147311286362736
1102	24-25	0.4904648179435398
1102	26-27	0.5203945602771398
1102	28-29	0.5559532477570244
1102	30-31	0.6036077746236117
1102	32-33	0.608759704400228
1102	34-35	0.6093493406125532
1102	36-37	0.5502573454605226
1102	38-39	0.5181671803566914
1102	40-41	0.5230248825846999
1102	42-43	0.5441023036313126
1102	44-45	0.5436937491245004
1102	46-47	0.47170093192871576
1102	48-49	0.5413210684890117
1102	50-51	0.5038153957232581
1102	52-53	0.4969016059284357
1102	54-55	0.5620056337338895
1102	56-57	0.5759457969722988
1102	58-59	0.5670318582484413
1102	60-61	0.5516516742085713
1102	62-63	0.5535479993758372
1102	64-65	0.49188911572679217
1102	66-67	0.5554599005034575
1102	68-69	0.55528725428276
1102	70-71	0.5557094043956994
1102	72-73	0.5179413606645369
1102	74-75	0.5211265398702025
1102	76-77	0.49642433957412635
1102	78-79	0.45453396867495854
1102	80-81	0.47065794586414
1102	82-83	0.45784664043300793
1102	84-85	0.46335211578781355
1102	86-87	0.4651379957833299
1102	88-89	0.45494228544948
1102	90-91	0.467722900201494
1102	92-93	0.4933070473247234
1102	94-95	0.46468278601522783
1102	96-97	0.4839426637664168
1102	98-99	0.4625257311074087
1102	100-101	0.32613754435168474
1103	1	-0.050730094771580525
1103	2	0.10058334468824981
1103	3	0.18601790983420585
1103	4	0.11020102336367188
1103	5	0.11094917273548788
1103	6	0.15736182870885074
1103	7	0.19331835263650987
1103	8	0.2291286563822581
1103	9	0.33005674207199576
1103	10-11	0.3261848243803982
1103	12-13	0.38057740160246567
1103	14-15	0.46113866232027334
1103	16-17	0.45796412230482275
1103	18-19	0.45074552546826396
1103	20-21	0.40600411608962617
1103	22-23	0.3859929319168174
1103	24-25	0.436298858140745
