##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	Sample_SRW-1_L001_R2.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	37215854
Sequences flagged as poor quality	0
Sequence length	108
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.31315954754122	31.0	31.0	34.0	27.0	34.0
2	30.702500471976272	31.0	31.0	34.0	27.0	34.0
3	30.77613736876762	31.0	31.0	34.0	27.0	34.0
4	34.26961187025293	37.0	35.0	37.0	30.0	37.0
5	34.31329629033906	37.0	35.0	37.0	31.0	37.0
6	34.3018963369751	37.0	35.0	37.0	31.0	37.0
7	34.23155075253681	37.0	35.0	37.0	31.0	37.0
8	34.28387471640447	37.0	35.0	37.0	31.0	37.0
9	35.49634953963437	39.0	37.0	39.0	30.0	39.0
10-11	35.828162347154525	39.0	37.0	39.0	30.5	39.0
12-13	35.814747110196635	39.0	37.0	39.0	30.5	39.0
14-15	36.7662723257674	40.0	37.0	41.0	30.5	41.0
16-17	36.718873104457046	40.0	37.0	41.0	30.0	41.0
18-19	36.70945940136158	40.0	37.0	41.0	30.5	41.0
20-21	36.85071094969364	40.0	37.0	41.0	31.0	41.0
22-23	36.278429268343544	40.0	36.5	41.0	28.0	41.0
24-25	36.37043790530778	40.0	36.5	41.0	28.5	41.0
26-27	36.572703987929444	40.0	37.0	41.0	30.0	41.0
28-29	36.28097347974334	40.0	37.0	41.0	29.0	41.0
30-31	36.26757478143589	40.0	36.5	41.0	29.5	41.0
32-33	36.301274773917584	40.0	36.5	41.0	30.0	41.0
34-35	35.93214185008357	39.5	36.0	40.5	28.5	41.0
36-37	36.0000519939701	40.0	36.0	41.0	28.5	41.0
38-39	35.723524616686205	39.0	35.5	41.0	27.0	41.0
40-41	35.61368822814062	39.0	35.5	40.5	27.5	41.0
42-43	35.313545498646896	39.0	35.0	40.0	26.5	41.0
44-45	35.559479261177245	39.0	35.0	40.5	27.0	41.0
46-47	35.50684013592702	39.0	35.0	41.0	27.0	41.0
48-49	35.32620366578179	39.0	35.0	41.0	26.5	41.0
50-51	35.146830541628844	39.0	35.0	41.0	26.0	41.0
52-53	34.931935526724715	39.0	34.5	40.0	26.0	41.0
54-55	34.69362442952404	38.0	34.0	40.0	25.5	41.0
56-57	34.43075265718744	38.0	34.0	40.0	24.5	41.0
58-59	34.149009035235366	37.5	34.0	40.0	24.0	41.0
60-61	33.835383893111796	37.0	33.5	40.0	23.5	41.0
62-63	33.52463119615635	36.5	33.0	39.5	23.0	41.0
64-65	33.1832061411247	36.0	33.0	39.0	23.0	41.0
66-67	32.82185287216572	35.0	33.0	39.0	22.0	40.5
68-69	32.48287916488494	35.0	32.5	38.0	22.0	40.0
70-71	32.131508267954835	35.0	32.0	37.0	20.5	39.5
72-73	31.7818314071202	35.0	32.0	37.0	20.0	39.0
74-75	31.455278441279354	35.0	32.0	36.0	20.0	39.0
76-77	31.139133714357328	35.0	31.5	36.0	18.5	37.0
78-79	30.883760077089725	35.0	31.0	35.0	18.0	37.0
80-81	30.640292306606746	35.0	31.0	35.0	18.0	36.5
82-83	30.42931258543738	34.0	31.0	35.0	17.0	36.0
84-85	30.36324998749189	34.0	31.0	35.0	16.5	36.0
86-87	30.410342498119213	35.0	31.0	35.0	17.0	35.5
88-89	30.315852673970614	35.0	31.0	35.0	15.0	35.0
90-91	30.221671629515743	35.0	31.0	35.0	11.5	35.0
92-93	30.125438757901406	34.5	31.0	35.0	8.5	35.0
94-95	30.03100296986333	34.0	31.0	35.0	7.0	35.0
96-97	29.934564245119837	34.0	31.0	35.0	2.0	35.0
98-99	29.826136167666608	34.0	31.0	35.0	2.0	35.0
100-101	29.667871278729756	34.0	31.0	35.0	2.0	35.0
102-103	28.77733446611221	33.5	29.5	34.5	2.0	35.0
104-105	29.399520457061122	34.0	31.0	35.0	2.0	35.0
106-107	29.385580363143085	34.0	31.0	35.0	2.0	35.0
108	27.339374020545115	33.0	26.0	35.0	2.0	35.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	1.245434065642435
1101	2	1.1368397891174595
1101	3	1.1057906304431597
1101	4	1.052126293625939
1101	5	0.9902795658696206
1101	6	1.0150386639204427
1101	7	1.0262699648075966
1101	8	1.0457672269061504
1101	9	1.557803876608375
1101	10-11	1.242699524896402
1101	12-13	1.1606721730069438
1101	14-15	1.6316652939302045
1101	16-17	1.6730165872953435
1101	18-19	1.641943808851643
1101	20-21	1.4086956987610293
1101	22-23	1.8598468752478112
1101	24-25	1.7756890387011879
1101	26-27	1.5824065654027848
1101	28-29	1.7292079126539122
1101	30-31	1.564680812961221
1101	32-33	1.4703939985508256
1101	34-35	1.4078546951584556
1101	36-37	1.4573093440488805
1101	38-39	1.5280044332436447
1101	40-41	1.494316569869632
1101	42-43	1.4976202610590406
1101	44-45	1.4956354388843138
1101	46-47	1.5235001280356002
1101	48-49	1.5230882144857887
1101	50-51	1.5455445583187881
1101	52-53	1.5146950363228129
1101	54-55	1.541647679535302
1101	56-57	1.531489439004936
1101	58-59	1.5419541590972514
1101	60-61	1.4818364790997336
1101	62-63	1.4965336902471407
1101	64-65	1.4700945915418728
1101	66-67	1.4271293669721246
1101	68-69	1.4549344500505654
1101	70-71	1.3963916158924476
1101	72-73	1.4197957173901408
1101	74-75	1.4165869820426522
1101	76-77	1.4037630947854431
1101	78-79	1.3440338858473737
1101	80-81	1.3474389332939012
1101	82-83	1.3814932017770296
1101	84-85	1.3717236786684346
1101	86-87	1.4551553904060306
1101	88-89	1.4589402382660523
1101	90-91	1.4497647005622873
1101	92-93	1.4650256778958983
1101	94-95	1.4397235134650828
1101	96-97	1.4859542224958098
1101	98-99	1.5374938619457978
1101	100-101	1.5711759564864671
1101	102-103	1.581474773089667
1101	104-105	1.5920511889587914
1101	106-107	1.6508826968143282
1101	108	1.6047515530113081
1102	1	1.1008526841689878
1102	2	1.0199147685325016
1102	3	0.9611959882375203
1102	4	0.9131979686204019
1102	5	0.8949794298453781
1102	6	0.9043744393296933
1102	7	0.8952134625751214
1102	8	0.9035124697100159
1102	9	1.3800948423550423
1102	10-11	1.062559086805443
1102	12-13	1.0281298994365926
1102	14-15	1.4427719382927577
1102	16-17	1.4199851326222799
1102	18-19	1.4513799192279464
1102	20-21	1.2099536407391511
1102	22-23	1.646896572269668
1102	24-25	1.5907724380616273
1102	26-27	1.371519350700261
1102	28-29	1.5589200834790589
1102	30-31	1.4227282708335949
1102	32-33	1.3132848589952602
1102	34-35	1.1588456764886104
1102	36-37	1.2997481615365345
1102	38-39	1.3405922579775407
1102	40-41	1.275368880209001
1102	42-43	1.282338869527031
1102	44-45	1.2758190291251381
1102	46-47	1.2976434246355169
1102	48-49	1.328974359801336
1102	50-51	1.3371404717254336
1102	52-53	1.3094830017110226
1102	54-55	1.2837031822951346
1102	56-57	1.3004603563451624
1102	58-59	1.3037771609436106
1102	60-61	1.2763556840698485
1102	62-63	1.2307838330298395
1102	64-65	1.1983723132917845
1102	66-67	1.1884574922907802
1102	68-69	1.2197705905988627
1102	70-71	1.1738147660328195
1102	72-73	1.1515521101909094
1102	74-75	1.1622489280987764
1102	76-77	1.1434058287211961
1102	78-79	1.1657606532485119
1102	80-81	1.107223359056949
1102	82-83	1.1237585301699262
1102	84-85	1.1417656114118522
1102	86-87	1.1736911344864005
1102	88-89	1.2056330992588684
1102	90-91	1.2037617398608766
1102	92-93	1.1744400328228153
1102	94-95	1.203886296033474
1102	96-97	1.1955695834251614
1102	98-99	1.1964884287196078
1102	100-101	1.2404777058426326
1102	102-103	1.2444216923640283
1102	104-105	1.3299160222460351
1102	106-107	1.3116105616410962
1102	108	1.2557316479647653
1103	1	0.8389714350291193
1103	2	0.8019423548498636
1103	3	0.7550092388833285
1103	4	0.5791562905473739
1103	5	0.6694539359635954
1103	6	0.7203824231667753
1103	7	0.7078736506941041
1103	8	0.7357998338722354
1103	9	1.240392263497597
1103	10-11	0.914579302997474
1103	12-13	0.8962438717328709
1103	14-15	1.2292650899133264
1103	16-17	1.3188936061241634
1103	18-19	1.2807698384518815
1103	20-21	1.0558209785890753
1103	22-23	1.4976109415564096
1103	24-25	1.3864701845885747
1103	26-27	1.2334001484992854
1103	28-29	1.3891570398654167
1103	30-31	1.227379550978931
1103	32-33	1.0901105500776822
1103	34-35	1.0194083206944313
1103	36-37	1.175550892121585
1103	38-39	1.153055260312037
1103	40-41	1.0417672090015273
1103	42-43	1.0683484229651583
1103	44-45	0.8981663895199858
1103	46-47	1.01829284562141
1103	48-49	1.0986917525244806
1103	50-51	1.1207594229026299
1103	52-53	1.1234232913295514
1103	54-55	1.1205270655426816
1103	56-57	1.1095112983803048
1103	58-59	1.117095234248744
1103	60-61	1.054179142209641
1103	62-63	1.0570893495206732
1103	64-65	1.0419715089211934
1103	66-67	0.999446597546509
1103	68-69	0.9912845942548003
1103	70-71	0.9607475858661942
1103	72-73	0.9757306182142464
1103	74-75	0.9676212612885706
1103	76-77	0.9919817346333311
1103	78-79	0.9575822991518237
1103	80-81	0.9526191361966561
1103	82-83	0.8946772118660427
1103	84-85	0.926495336243935
1103	86-87	0.9544130614667843
1103	88-89	0.9488957109828675
1103	90-91	0.9728551568063075
1103	92-93	0.9447318972651892
1103	94-95	0.9515175068638015
1103	96-97	0.9930025398465219
1103	98-99	0.9050786261895851
1103	100-101	1.0282111518181658
1103	102-103	1.0122312866017253
1103	104-105	1.0873953248405144
1103	106-107	1.090967399552305
1103	108	0.970156266620144
1104	1	0.5067367163021324
1104	2	0.4774438228861051
1104	3	0.4266603254237964
1104	4	0.5138281411502561
1104	5	0.4947044662950262
1104	6	0.522425278802821
1104	7	0.5052500094399619
1104	8	0.38084347069905533
1104	9	0.8193842901647841
1104	10-11	0.663212339902536
1104	12-13	0.503323804142596
1104	14-15	0.8800821547721753
1104	16-17	0.9595615591245874
1104	18-19	0.9250050538201506
1104	20-21	0.7183161204334851
1104	22-23	1.050558785999506
1104	24-25	0.9526620943530233
1104	26-27	0.8248736257231215
1104	28-29	0.9691026744662921
1104	30-31	0.6408735734106799
1104	32-33	0.6137657450886564
1104	34-35	0.5381774477867864
1104	36-37	0.6511141762495853
1104	38-39	0.7461210468074668
1104	40-41	0.6270088101809108
1104	42-43	0.5411111090711884
1104	44-45	0.6422934394748694
1104	46-47	0.6608406227893937
1104	48-49	0.6816336209773013
1104	50-51	0.7043556650287073
1104	52-53	0.5650919057669412
1104	54-55	0.5852641795070284
1104	56-57	0.6916709026096086
1104	58-59	0.7094954939500724
1104	60-61	0.6739777383161893
1104	62-63	0.5774383526774898
1104	64-65	0.4926333226599482
1104	66-67	0.5377185558677127
1104	68-69	0.5362487954205122
1104	70-71	0.5339411275501362
1104	72-73	0.4454653983961059
1104	74-75	0.36038282360227925
1104	76-77	0.5269983503144537
1104	78-79	0.5505700943099363
1104	80-81	0.5969502989974202
1104	82-83	0.47359817093309786
1104	84-85	0.5065744084356716
1104	86-87	0.5962772135136838
1104	88-89	0.651203640555515
1104	90-91	0.6511084615060696
1104	92-93	0.5894725561829794
1104	94-95	0.5918529701963244
1104	96-97	0.6564378446930874
1104	98-99	0.7163356181175367
1104	100-101	0.7160725185690389
1104	102-103	0.6865411633654261
1104	104-105	0.6830387059806959
1104	106-107	0.7116376753860507
1104	108	0.6812699071316821
1105	1	0.23884530575474372
1105	2	0.3824381920644946
1105	3	0.39519765227495185
1105	4	0.46909211433609244
1105	5	0.29418108486994043
1105	6	0.3971118697573246
1105	7	0.4578850439412605
1105	8	0.49151448693586985
1105	9	0.9899033221106421
1105	10-11	0.5420989904982534
1105	12-13	0.6070645230147989
1105	14-15	0.8365444751403075
1105	16-17	0.9161863639855525
1105	18-19	0.8651300340714059
1105	20-21	0.7098435463586483
1105	22-23	1.1824482789913944
1105	24-25	1.0486684916227702
1105	26-27	0.8163112817035767
1105	28-29	0.8788255470247819
1105	30-31	0.843482339305595
1105	32-33	0.7851542499666238
1105	34-35	0.6414922152116986
1105	36-37	0.851086054123968
1105	38-39	0.6683771048606317
1105	40-41	0.5964864534595762
1105	42-43	0.5783874068984716
1105	44-45	0.5891904487575417
1105	46-47	0.5382625986887533
1105	48-49	0.4954355550779397
1105	50-51	0.6041489930075628
1105	52-53	0.5907415597928107
1105	54-55	0.5343547525773786
1105	56-57	0.5167854123360911
1105	58-59	0.5245572163839824
1105	60-61	0.414301470962144
1105	62-63	0.5184312132337681
1105	64-65	0.5235830749078971
1105	66-67	0.4458490213020525
1105	68-69	0.5305243586716841
1105	70-71	0.49414484312936935
1105	72-73	0.33454885377078725
1105	74-75	0.4705939886501511
1105	76-77	0.44957434945710517
1105	78-79	0.34715171537106926
1105	80-81	0.31844055375275104
1105	82-83	0.34202539806008403
1105	84-85	0.4376380068966377
1105	86-87	0.4007820708120562
1105	88-89	0.38390984750031976
1105	90-91	0.46408343250580586
1105	92-93	0.4997664026049833
1105	94-95	0.44751917929684026
1105	96-97	0.4029521716580611
1105	98-99	0.47045010124503506
1105	100-101	0.40994711367565984
1105	102-103	0.31708859040766413
1105	104-105	0.4686804131707092
1105	106-107	0.5542755396983665
1105	108	0.5035143185512183
1106	1	0.4371155504524289
1106	2	0.3993745593042135
1106	3	0.37809839856551974
1106	4	0.3575787770532699
1106	5	0.40460719126495803
1106	6	0.3904652147961869
1106	7	0.3762618893498981
1106	8	0.39635151558632487
1106	9	0.8418921337362733
1106	10-11	0.5100591908782022
1106	12-13	0.397585168859969
1106	14-15	0.6745726391499218
1106	16-17	0.7179407944040577
1106	18-19	0.7395596161100357
1106	20-21	0.5530704180305861
1106	22-23	0.965042826200154
1106	24-25	0.8685401132127666
1106	26-27	0.6423900872750679
1106	28-29	0.7889485264301328
1106	30-31	0.6205885940769846
1106	32-33	0.53135809759479
1106	34-35	0.49624685193641227
1106	36-37	0.5862168730039627
1106	38-39	0.596099572955687
1106	40-41	0.4149968636328225
1106	42-43	0.46900348749333887
1106	44-45	0.4756988996300606
1106	46-47	0.4960883139305068
1106	48-49	0.5264335850081281
1106	50-51	0.4735614395612586
1106	52-53	0.47845792882819893
1106	54-55	0.5196218799155972
1106	56-57	0.5377717883811286
1106	58-59	0.44364549490963157
1106	60-61	0.4566092037995517
1106	62-63	0.4536059280402256
1106	64-65	0.3952084532182951
1106	66-67	0.41557095805815436
1106	68-69	0.273823119029565
1106	70-71	0.2941252023163443
1106	72-73	0.4078610243280032
1106	74-75	0.40148612700555475
1106	76-77	0.42093832973518985
1106	78-79	0.37775466848557215
1106	80-81	0.39347385303339166
1106	82-83	0.4035087760120142
1106	84-85	0.3369580919315176
1106	86-87	0.41957651992230893
1106	88-89	0.4762920842839975
1106	90-91	0.4048100769222067
1106	92-93	0.3878251774812753
1106	94-95	0.40152360380430707
1106	96-97	0.44021619550357016
1106	98-99	0.3834370827873599
1106	100-101	0.44136851610192096
1106	102-103	0.42332153715209486
1106	104-105	0.49083323359411324
1106	106-107	0.4187135575326515
1106	108	0.2337031058604424
1107	1	0.4844191539969316
1107	2	0.38701643499862826
1107	3	0.39446310671130647
1107	4	0.3828965953474963
1107	5	0.3967204736340477
1107	6	0.3951007844186307
1107	7	0.37186069034515157
1107	8	0.42242204188487165
1107	9	0.786161745089899
1107	10-11	0.5018655198404645
1107	12-13	0.4825405245968639
1107	14-15	0.7568023637099373
1107	16-17	0.7537684631953923
1107	18-19	0.7719537940767012
1107	20-21	0.6089013218388644
1107	22-23	0.9885987283192605
1107	24-25	0.8698269899078781
1107	26-27	0.7285318732947701
1107	28-29	0.8807828469354391
1107	30-31	0.6251621947395023
1107	32-33	0.5748981286978747
1107	34-35	0.49426875837094997
1107	36-37	0.5172993799143342
1107	38-39	0.4673778914572111
1107	40-41	0.48784025737727177
1107	42-43	0.5163120597435551
1107	44-45	0.5035903400060491
1107	46-47	0.5414254844594382
1107	48-49	0.5803196899289915
1107	50-51	0.5785785876986935
1107	52-53	0.573176761958095
1107	54-55	0.529413524277139
1107	56-57	0.5511011986151075
1107	58-59	0.5226719658156327
1107	60-61	0.49520392311621464
1107	62-63	0.49206781320723536
1107	64-65	0.46511666882123137
1107	66-67	0.47082032943118435
1107	68-69	0.5040266020618631
1107	70-71	0.44261128910249425
1107	72-73	0.46685811989526727
1107	74-75	0.48142257044485604
1107	76-77	0.45537212970853247
1107	78-79	0.4514861414394318
1107	80-81	0.4894560980687146
1107	82-83	0.3800957067095432
1107	84-85	0.4692580215711324
1107	86-87	0.4979658005479486
1107	88-89	0.4462285086917248
1107	90-91	0.47390165489421676
1107	92-93	0.4947985889079014
1107	94-95	0.4344305747147814
1107	96-97	0.43606017448722767
1107	98-99	0.4692627832713612
1107	100-101	0.48853965058643567
1107	102-103	0.3891738032539429
1107	104-105	0.493209088025246
1107	106-107	0.5129790723066137
1107	108	0.37361700508990836
1108	1	0.3747933358462312
1108	2	0.2889241347627305
1108	3	0.3057298725859994
1108	4	0.34112380028219036
1108	5	0.3382809101605986
1108	6	0.40861504485963707
1108	7	0.35759896681658887
1108	8	0.4073495462233794
