##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	Sample_SWW-1_L002_R2.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	52341901
Sequences flagged as poor quality	0
Sequence length	101
%GC	46
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.830278327109287	34.0	31.0	34.0	30.0	34.0
2	31.97802280815135	34.0	31.0	34.0	30.0	34.0
3	31.9721035733876	34.0	31.0	34.0	30.0	34.0
4	35.28014817421324	37.0	37.0	37.0	35.0	37.0
5	35.27043679594289	37.0	37.0	37.0	35.0	37.0
6	35.286818757308794	37.0	37.0	37.0	35.0	37.0
7	35.25530243924461	37.0	37.0	37.0	35.0	37.0
8	35.23698560356071	37.0	36.0	37.0	33.0	37.0
9	36.92679937245688	39.0	38.0	39.0	34.0	39.0
10-11	36.9178578936214	39.0	38.0	39.0	34.0	39.0
12-13	36.86346595436035	39.0	38.0	39.0	34.0	39.0
14-15	38.31737956938171	41.0	39.0	41.0	34.0	41.0
16-17	38.26341152569143	41.0	39.0	41.0	34.0	41.0
18-19	38.23145511088717	41.0	39.0	41.0	34.0	41.0
20-21	38.19807491325162	41.0	39.0	41.0	34.0	41.0
22-23	38.15691101857382	41.0	39.0	41.0	34.0	41.0
24-25	38.07933544484752	41.0	39.0	41.0	34.0	41.0
26-27	37.94481961020101	40.0	38.0	41.0	33.5	41.0
28-29	37.80527233812161	40.0	38.0	41.0	33.0	41.0
30-31	37.722907608953676	40.0	38.0	41.0	33.0	41.0
32-33	37.63118598806719	40.0	38.0	41.0	33.0	41.0
34-35	37.52986891897564	40.0	38.0	41.0	33.0	41.0
36-37	37.42037606734995	40.0	38.0	41.0	32.0	41.0
38-39	37.536497050422376	40.0	38.0	41.0	33.0	41.0
40-41	37.46543446138878	40.0	38.0	41.0	32.5	41.0
42-43	37.29922555735987	40.0	38.0	41.0	32.0	41.0
44-45	37.16127816985478	40.0	38.0	41.0	31.5	41.0
46-47	37.0125386351558	40.0	37.0	41.0	31.0	41.0
48-49	36.81193459137069	40.0	37.0	41.0	31.0	41.0
50-51	36.112870556611995	39.0	35.5	40.5	29.5	41.0
52-53	36.02570176998348	39.0	35.0	40.0	30.0	41.0
54-55	36.45358408935128	39.0	36.0	41.0	31.0	41.0
56-57	36.40366128467516	39.0	35.0	41.0	31.0	41.0
58-59	36.15071339308062	39.0	35.0	41.0	31.0	41.0
60-61	35.869587350295134	39.0	35.0	41.0	30.5	41.0
62-63	35.538957497932685	37.5	35.0	40.5	30.0	41.0
64-65	35.17628995744728	37.0	35.0	40.0	30.0	41.0
66-67	34.78197394855796	36.5	35.0	39.0	29.0	41.0
68-69	34.39176627344888	36.0	35.0	39.0	29.0	41.0
70-71	34.01185091653434	35.5	34.0	38.5	29.0	40.5
72-73	33.6367440781335	35.0	34.0	37.0	29.0	39.5
74-75	33.288969472087004	35.0	34.0	37.0	28.0	39.0
76-77	32.95626847790645	35.0	34.0	36.0	28.0	39.0
78-79	32.67229215652676	35.0	34.0	36.0	27.0	37.0
80-81	32.41439754929803	35.0	34.0	35.5	27.0	37.0
82-83	32.171429902784766	35.0	33.5	35.0	26.5	36.5
84-85	31.97660773726961	35.0	33.0	35.0	26.0	36.0
86-87	31.81881898978029	35.0	33.0	35.0	25.5	36.0
88-89	31.659572547814037	35.0	33.0	35.0	25.0	36.0
90-91	31.506307757144704	35.0	33.0	35.0	25.0	35.0
92-93	31.370898364963857	35.0	33.0	35.0	24.5	35.0
94-95	31.235765338366292	35.0	33.0	35.0	24.0	35.0
96-97	31.069261670492253	35.0	33.0	35.0	23.0	35.0
98-99	30.83552012182362	35.0	33.0	35.0	19.5	35.0
100-101	28.726219611320573	33.0	29.0	34.5	2.0	35.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.1759080939595954
1101	2	0.2556964601783207
1101	3	0.2833423214042554
1101	4	0.1558670615258393
1101	5	0.18558511015831414
1101	6	0.26266563276129773
1101	7	0.2721140287068451
1101	8	0.2752967416985257
1101	9	0.40064016883970766
1101	10-11	0.401842204529423
1101	12-13	0.4414914662246119
1101	14-15	0.548814086475339
1101	16-17	0.5193632779702142
1101	18-19	0.5353407378081982
1101	20-21	0.5102246790451943
1101	22-23	0.47818898701866175
1101	24-25	0.48660771642993694
1101	26-27	0.4679700205244117
1101	28-29	0.5279407507905276
1101	30-31	0.5902605886238277
1101	32-33	0.5583956077659096
1101	34-35	0.5752567393607606
1101	36-37	0.5426149718330322
1101	38-39	0.5325081676714305
1101	40-41	0.5309523660417526
1101	42-43	0.5653264453721505
1101	44-45	0.5669640537072951
1101	46-47	0.5348589872281053
1101	48-49	0.5462164003975616
1101	50-51	0.47572565503097763
1101	52-53	0.4477606833774814
1101	54-55	0.5634727618784865
1101	56-57	0.5577462901616812
1101	58-59	0.5773252471962067
1101	60-61	0.5402310315140255
1101	62-63	0.4815424311151162
1101	64-65	0.48436365718541907
1101	66-67	0.5082212182296217
1101	68-69	0.519584676010993
1101	70-71	0.5129836841373887
1101	72-73	0.49868136085682835
1101	74-75	0.48783621364344043
1101	76-77	0.47816558577513746
1101	78-79	0.4680018303410307
1101	80-81	0.4539844501801227
1101	82-83	0.4616283982274396
1101	84-85	0.457890572096197
1101	86-87	0.43290977026454414
1101	88-89	0.4480671966353782
1101	90-91	0.4799758120998838
1101	92-93	0.4993922570032616
1101	94-95	0.4374334170005696
1101	96-97	0.413032763874174
1101	98-99	0.4352598649503996
1101	100-101	0.3065472905007489
1102	1	0.17092626649548848
1102	2	0.2568491773738586
1102	3	0.29122982227138294
1102	4	0.15002375829194392
1102	5	0.19190553422117773
1102	6	0.28038336391590235
1102	7	0.28690812638278373
1102	8	0.3475052025565546
1102	9	0.4143691357617101
1102	10-11	0.44055493300282933
1102	12-13	0.4545399884529644
1102	14-15	0.5424339142823413
1102	16-17	0.5561942030065481
1102	18-19	0.5401602934252807
1102	20-21	0.5325733355002598
1102	22-23	0.5262118784634353
1102	24-25	0.5448681898845606
1102	26-27	0.5568864738957515
1102	28-29	0.5582000078229044
1102	30-31	0.6085235589717612
1102	32-33	0.5936374156759143
1102	34-35	0.6055178762972488
1102	36-37	0.5470575639504744
1102	38-39	0.5412288583544154
1102	40-41	0.5405254068029777
1102	42-43	0.532283096958416
1102	44-45	0.5207158004839059
1102	46-47	0.4778312385616488
1102	48-49	0.5700349088225991
1102	50-51	0.5331285115685844
1102	52-53	0.47167387740680766
1102	54-55	0.5502236657278416
1102	56-57	0.5553530246307403
1102	58-59	0.5323813580614498
1102	60-61	0.5423936524250692
1102	62-63	0.5286976914635773
1102	64-65	0.4773690748437929
1102	66-67	0.5251087678033528
1102	68-69	0.5273321531524857
1102	70-71	0.5334482329133934
1102	72-73	0.523397037012117
1102	74-75	0.5244149450763729
1102	76-77	0.5302588259895131
1102	78-79	0.48575279482117395
1102	80-81	0.4776992599481886
1102	82-83	0.4859956046363294
1102	84-85	0.4773406659632258
1102	86-87	0.4818543934552437
1102	88-89	0.4559582563085769
1102	90-91	0.4778379348441
1102	92-93	0.5113696222974511
1102	94-95	0.45741249704696685
1102	96-97	0.4814789316546886
1102	98-99	0.4681104047275788
1102	100-101	0.30852602358054426
1103	1	-0.014555184613993077
1103	2	0.13490212052784756
1103	3	0.20810551586249204
1103	4	0.1343768681774904
1103	5	0.13620678826550403
1103	6	0.19162349061870998
1103	7	0.2123799712612211
1103	8	0.24196798694590171
1103	9	0.34548546271840763
1103	10-11	0.353375144379946
1103	12-13	0.39944060953126836
1103	14-15	0.4675440859775861
1103	16-17	0.4734765220911541
1103	18-19	0.4756671938182606
1103	20-21	0.44995137241752303
1103	22-23	0.4285038258333387
1103	24-25	0.4769287107294744
