##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	Sample_YD1-1_L003_R2.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	76404759
Sequences flagged as poor quality	0
Sequence length	101
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.379888038126005	34.0	31.0	34.0	31.0	34.0
2	32.84597607329669	34.0	33.0	34.0	31.0	34.0
3	32.93913280977694	34.0	33.0	34.0	31.0	34.0
4	36.2468442574369	37.0	37.0	37.0	35.0	37.0
5	36.26619273807277	37.0	37.0	37.0	35.0	37.0
6	36.30362314211344	37.0	37.0	37.0	35.0	37.0
7	36.27652210773939	37.0	37.0	37.0	35.0	37.0
8	36.24081958036148	37.0	37.0	37.0	35.0	37.0
9	38.10483353530374	39.0	39.0	39.0	37.0	39.0
10-11	38.11274805539273	39.0	39.0	39.0	37.0	39.0
12-13	38.06648538083864	39.0	39.0	39.0	37.0	39.0
14-15	39.68263118269897	41.0	40.0	41.0	38.0	41.0
16-17	39.6532170136156	41.0	40.0	41.0	38.0	41.0
18-19	39.62214274506121	41.0	40.0	41.0	38.0	41.0
20-21	39.57958038975033	41.0	40.0	41.0	38.0	41.0
22-23	39.53976258206639	41.0	40.0	41.0	38.0	41.0
24-25	39.47198423857341	41.0	40.0	41.0	37.5	41.0
26-27	39.385366401064104	41.0	40.0	41.0	37.0	41.0
28-29	39.267387683272446	41.0	40.0	41.0	37.0	41.0
30-31	39.19540262537835	41.0	40.0	41.0	37.0	41.0
32-33	39.1818672577712	41.0	39.5	41.0	37.0	41.0
34-35	39.21393657559996	41.0	40.0	41.0	37.0	41.0
36-37	39.140470811510575	41.0	40.0	41.0	36.5	41.0
38-39	39.02614028924559	41.0	39.0	41.0	36.0	41.0
40-41	38.91636600803884	41.0	39.0	41.0	35.5	41.0
42-43	38.80660250495653	41.0	39.0	41.0	35.0	41.0
44-45	38.68087211033543	41.0	39.0	41.0	35.0	41.0
46-47	38.53600913786012	40.0	38.0	41.0	35.0	41.0
48-49	38.37384435045466	40.0	38.0	41.0	34.5	41.0
50-51	37.610011046563216	39.5	37.0	40.5	33.5	41.0
52-53	37.5344189293235	39.5	37.0	40.5	33.0	41.0
54-55	37.70474476596412	40.0	37.0	41.0	33.5	41.0
56-57	37.49989276191552	39.5	36.0	41.0	33.0	41.0
58-59	37.16994003606503	39.0	35.5	41.0	33.0	41.0
60-61	37.077618332648626	39.0	35.0	41.0	33.0	41.0
62-63	36.833376923550006	38.5	35.0	41.0	33.0	41.0
64-65	36.48633102160561	37.0	35.0	40.5	33.0	41.0
66-67	36.093884734326565	37.0	35.0	39.5	33.0	41.0
68-69	35.71428695298941	36.0	35.0	39.0	33.0	41.0
70-71	35.356657809757635	36.0	35.0	39.0	32.0	41.0
72-73	35.001465608968154	35.0	35.0	37.0	32.0	39.5
74-75	34.664779919010016	35.0	35.0	37.0	32.0	39.0
76-77	34.35772860693141	35.0	35.0	36.5	32.0	39.0
78-79	34.0693566679531	35.0	35.0	36.0	31.0	37.0
80-81	33.81974298224015	35.0	35.0	36.0	31.0	37.0
82-83	33.5920123444143	35.0	34.0	35.0	31.0	36.5
84-85	33.39895829001961	35.0	34.0	35.0	31.0	36.0
86-87	33.23037841137618	35.0	34.0	35.0	30.5	36.0
88-89	33.07962861318626	35.0	34.0	35.0	30.0	36.0
90-91	32.94856460446397	35.0	34.0	35.0	30.0	35.5
92-93	32.81758738352934	35.0	34.0	35.0	30.0	35.0
94-95	32.67062450259152	35.0	34.0	35.0	29.5	35.0
96-97	32.49261385013989	35.0	34.0	35.0	29.0	35.0
98-99	32.29480570051926	35.0	34.0	35.0	29.0	35.0
100-101	31.171844616380508	34.5	32.0	35.0	26.0	35.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.21556733212035795
1101	2	0.08631072640347526
1101	3	0.08173193878165819
1101	4	0.0641319503944402
1101	5	0.0743470778103017
1101	6	0.10196396630642113
1101	7	0.1255498925851697
1101	8	0.18735179640579958
1101	9	0.2213268075572543
1101	10-11	0.2086071314124922
1101	12-13	0.21998962791435872
1101	14-15	0.27542818106077505
1101	16-17	0.2697726764308044
1101	18-19	0.25178476470843236
1101	20-21	0.278687819901819
1101	22-23	0.2801619577823047
1101	24-25	0.28148449574966605
1101	26-27	0.30381020984921037
1101	28-29	0.31281226760034997
1101	30-31	0.3515191504101196
1101	32-33	0.293364059114424
1101	34-35	0.29552237043944984
1101	36-37	0.2909695158577179
1101	38-39	0.29449591987152957
1101	40-41	0.3021849825786802
1101	42-43	0.26304082015938235
1101	44-45	0.25162614628695934
1101	46-47	0.2698428830610524
1101	48-49	0.30069040864882624
1101	50-51	0.28586301877982834
1101	52-53	0.26849980864665923
1101	54-55	0.2733996169627204
1101	56-57	0.2675056266341329
1101	58-59	0.2839749144447552
1101	60-61	0.31229459805069126
1101	62-63	0.32716029454923756
1101	64-65	0.30028927340919154
1101	66-67	0.31643477381901874
1101	68-69	0.29694626793104817
1101	70-71	0.30210925193675564
1101	72-73	0.2771966249755664
1101	74-75	0.2957202143924391
1101	76-77	0.25569794591923767
1101	78-79	0.24753998243596698
1101	80-81	0.26188088577244883
1101	82-83	0.23590338393004373
1101	84-85	0.24140495595639777
1101	86-87	0.2551833172478766
1101	88-89	0.26626356607926027
1101	90-91	0.24796511266119836
1101	92-93	0.20793052259771372
1101	94-95	0.30475991491308463
1101	96-97	0.3088601980035932
1101	98-99	0.31473103762614585
1101	100-101	0.446569226143783
1102	1	-0.20129056675403234
1102	2	0.046502298222065974
1102	3	0.09012772726067908
1102	4	0.04336807971773737
1102	5	0.08119316906415008
1102	6	0.09734741034937855
1102	7	0.12123242994083938
1102	8	0.18201034666033422
1102	9	0.18468474700894433
1102	10-11	0.17684722890665938
1102	12-13	0.193165011285501
1102	14-15	0.24813385072918237
1102	16-17	0.23333727208927968
1102	18-19	0.25147263835872735
1102	20-21	0.2674811625123752
1102	22-23	0.25328750119638954
1102	24-25	0.2705201322121553
1102	26-27	0.27640191590591456
1102	28-29	0.30824372814961976
1102	30-31	0.3071280577309281
1102	32-33	0.2699069207687188
1102	34-35	0.2595841629122262
1102	36-37	0.2743514304519934
1102	38-39	0.23721092515450692
1102	40-41	0.24634291689421417
1102	42-43	0.23816918212971672
1102	44-45	0.28885735141137303
1102	46-47	0.2790410794988887
1102	48-49	0.28781196061368775
1102	50-51	0.29596157081240193
1102	52-53	0.3090763232199052
1102	54-55	0.28095240149399814
1102	56-57	0.2409577191722434
1102	58-59	0.2364417632034801
1102	60-61	0.2525871222223728
1102	62-63	0.2582884586267369
1102	64-65	0.2767140635366019
1102	66-67	0.29938027123039035
1102	68-69	0.24765302621398178
1102	70-71	0.2648300148530609
1102	72-73	0.282767867118217
1102	74-75	0.2512270692527423
1102	76-77	0.25005575505910116
1102	78-79	0.26119840741016986
1102	80-81	0.264717228392918
1102	82-83	0.25885856491570536
1102	84-85	0.2765834505424891
1102	86-87	0.3137240081468988
1102	88-89	0.3078540902843869
1102	90-91	0.3090837163348965
1102	92-93	0.32213259890607304
1102	94-95	0.30603859275576184
1102	96-97	0.35868461144028885
1102	98-99	0.3574218747692157
1102	100-101	0.3610201966806983
1103	1	-0.18412264894934083
1103	2	0.05581867362622006
1103	3	0.08508562972406253
1103	4	0.039491015802632035
1103	5	0.08545216977121584
1103	6	0.10065805373685777
1103	7	0.10689061565503977
1103	8	0.16972507780729273
1103	9	0.1825185140245722
1103	10-11	0.15927845619912517
1103	12-13	0.20953259883394537
1103	14-15	0.263528369177223
1103	16-17	0.2610017005364469
1103	18-19	0.2525884682128918
1103	20-21	0.25764162131459045
1103	22-23	0.25893115838302094
1103	24-25	0.26521812527866473
1103	26-27	0.26082901641705547
1103	28-29	0.28207354842460575
1103	30-31	0.316763469135239
1103	32-33	0.26799039814364534
1103	34-35	0.27855295095323385
1103	36-37	0.27321412689232005
1103	38-39	0.28331987955218807
1103	40-41	0.28744978311991076
1103	42-43	0.2838955663680949
1103	44-45	0.2739982948360975
1103	46-47	0.26895556493064277
1103	48-49	0.284823694877268
1103	50-51	0.2795257142889156
1103	52-53	0.2731127807324967
1103	54-55	0.28283813079618625
1103	56-57	0.25476014884110043
1103	58-59	0.25337921140022956
1103	60-61	0.29165319696401326
1103	62-63	0.3102811791592188
1103	64-65	0.3034261239050551
1103	66-67	0.3238406995451939
1103	68-69	0.2871550755300376
1103	70-71	0.30599648203892116
1103	72-73	0.2886665542203346
1103	74-75	0.29693984375222016
1103	76-77	0.2865023008002936
1103	78-79	0.27893514621683124
1103	80-81	0.288690377920517
1103	82-83	0.28153831537693463
1103	84-85	0.2958642737471848
1103	86-87	0.304077073833561
1103	88-89	0.3097238628630805
1103	90-91	0.3353660988457179
1103	92-93	0.3423462581620953
1103	94-95	0.3509046246674714
1103	96-97	0.37683615527804903
1103	98-99	0.40137954170650403
1103	100-101	0.4277997730732288
1104	1	-0.06197588955311062
1104	2	0.08127164220162797
1104	3	0.10691679300980894
1104	4	0.06032255399188102
1104	5	0.09303974851003005
1104	6	0.0984655358693729
1104	7	0.0978533296298707
1104	8	0.16272625273190755
1104	9	0.17935322481279314
1104	10-11	0.15933913653560694
1104	12-13	0.1573248868669168
1104	14-15	0.1935988685933978
1104	16-17	0.20788854469098084
1104	18-19	0.21794012572289745
1104	20-21	0.22088821052799545
1104	22-23	0.19920484633203017
1104	24-25	0.22779117895066747
1104	26-27	0.22773435343935233
1104	28-29	0.24097962743154966
1104	30-31	0.2589785249605612
1104	32-33	0.2684317255274635
1104	34-35	0.2521567821815083
1104	36-37	0.24676754474853624
1104	38-39	0.26566628946127224
1104	40-41	0.2507919452318319
1104	42-43	0.2632412585457118
1104	44-45	0.2922210707755042
1104	46-47	0.26810068696856604
1104	48-49	0.2647529040511003
1104	50-51	0.2549258483439303
1104	52-53	0.23850244605233684
1104	54-55	0.300690220647887
1104	56-57	0.30305818518219496
1104	58-59	0.3023074387128091
1104	60-61	0.3019069179725804
1104	62-63	0.30859009777255864
1104	64-65	0.3301000859273415
1104	66-67	0.34957167575775117
1104	68-69	0.3435880605619417
1104	70-71	0.36000660112424043
1104	72-73	0.3325656810825919
1104	74-75	0.3230910966931191
1104	76-77	0.32268447326169536
1104	78-79	0.32288228170246924
1104	80-81	0.33698549942861433
1104	82-83	0.3438442926539622
1104	84-85	0.3288221672451286
1104	86-87	0.37456351961640877
1104	88-89	0.39066139105915454
1104	90-91	0.39529456118462036
1104	92-93	0.41412842234010583
1104	94-95	0.4446625787877281
1104	96-97	0.4223260090746592
1104	98-99	0.4572541884846828
1104	100-101	0.5407323935444133
1105	1	0.06188964513282258
