##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	Sample_YD1-2_L002_R2.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	37873070
Sequences flagged as poor quality	0
Sequence length	108
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.470920102331288	33.0	31.0	34.0	30.0	34.0
2	31.721964234745162	34.0	31.0	34.0	30.0	34.0
3	31.73867185839437	34.0	31.0	34.0	30.0	34.0
4	35.34357766613586	37.0	35.0	37.0	33.0	37.0
5	35.35043784409344	37.0	35.0	37.0	33.0	37.0
6	35.32857732420425	37.0	35.0	37.0	33.0	37.0
7	35.37181144808171	37.0	35.0	37.0	33.0	37.0
8	35.40279480908202	37.0	36.0	37.0	35.0	37.0
9	37.10296226315955	39.0	38.0	39.0	35.0	39.0
10-11	37.11678845945153	39.0	38.0	39.0	35.0	39.0
12-13	37.05731826070609	39.0	38.0	39.0	34.5	39.0
14-15	38.489477179959266	41.0	39.0	41.0	35.0	41.0
16-17	38.463750852518686	41.0	39.0	41.0	34.5	41.0
18-19	38.461141953900224	41.0	39.0	41.0	34.5	41.0
20-21	38.408608755508865	41.0	39.0	41.0	34.0	41.0
22-23	38.35287070733901	41.0	39.0	41.0	34.0	41.0
24-25	38.30481213960209	41.0	39.0	41.0	34.0	41.0
26-27	38.23249046090005	41.0	39.0	41.0	34.0	41.0
28-29	38.13304493139849	41.0	39.0	41.0	34.0	41.0
30-31	38.061091165833666	40.5	38.0	41.0	34.0	41.0
32-33	37.98256939561541	40.0	38.0	41.0	33.0	41.0
34-35	37.87431187912678	40.0	38.0	41.0	33.0	41.0
36-37	37.76837734569709	40.0	38.0	41.0	33.0	41.0
38-39	37.68478975958379	40.0	38.0	41.0	33.0	41.0
40-41	37.4439764455324	40.0	38.0	41.0	32.5	41.0
42-43	37.092361802198766	40.0	37.0	41.0	31.5	41.0
44-45	36.99339739292326	40.0	37.0	41.0	31.5	41.0
46-47	37.041357328571465	40.0	37.0	41.0	31.0	41.0
48-49	36.91284598792757	40.0	37.0	41.0	31.0	41.0
50-51	36.72445852686354	40.0	36.0	41.0	31.0	41.0
52-53	36.511972662897406	39.5	36.0	41.0	31.0	41.0
54-55	36.2726023530704	39.0	35.0	41.0	30.0	41.0
56-57	36.01648872140547	39.0	35.0	41.0	30.0	41.0
58-59	35.73651849453979	38.5	35.0	40.5	29.5	41.0
60-61	35.42707142568585	38.0	35.0	40.0	29.0	41.0
62-63	35.08564097127589	37.0	35.0	40.0	29.0	41.0
64-65	34.73249366898432	37.0	34.5	39.5	29.0	41.0
66-67	34.3759182316089	36.0	34.0	39.0	28.0	41.0
68-69	33.997291663971254	35.5	34.0	39.0	28.0	40.5
70-71	33.607815460959465	35.0	34.0	37.5	27.5	40.0
72-73	33.249778338539755	35.0	34.0	37.0	27.0	39.0
74-75	32.91912678322618	35.0	33.5	36.5	26.0	39.0
76-77	32.619868391973505	35.0	33.0	36.0	26.0	38.5
78-79	32.35300894540633	35.0	33.0	36.0	26.0	37.0
80-81	32.11769630769304	35.0	33.0	35.0	26.0	37.0
82-83	31.910486184510525	35.0	33.0	35.0	25.5	36.0
84-85	31.70837815629945	35.0	33.0	35.0	25.0	36.0
86-87	31.576265325203373	35.0	33.0	35.0	25.0	36.0
88-89	31.44435084084813	35.0	33.0	35.0	24.5	35.5
90-91	31.323195412993982	35.0	33.0	35.0	24.0	35.0
92-93	31.21760127974838	35.0	33.0	35.0	24.0	35.0
94-95	31.106121315224776	35.0	33.0	35.0	23.5	35.0
96-97	30.998463987735875	35.0	33.0	35.0	23.0	35.0
98-99	30.884845920861444	35.0	32.0	35.0	21.5	35.0
100-101	30.74593827487447	35.0	32.0	35.0	20.0	35.0
102-103	29.681686023868675	33.5	30.5	34.5	18.0	35.0
104-105	30.40643016264591	34.5	32.0	35.0	18.0	35.0
106-107	30.423480417616	35.0	32.0	35.0	9.0	35.0
108	28.933143233437374	34.0	29.0	35.0	2.0	35.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.6417337190416141
1101	2	0.5986515643490549
1101	3	0.6076509289541008
1101	4	0.5328394760981254
1101	5	0.5527515237215468
1101	6	0.5515883421714136
1101	7	0.5431867470711964
1101	8	0.49586917822468735
1101	9	0.6257551461371165
1101	10-11	0.6451077773749745
1101	12-13	0.6749122126357889
1101	14-15	0.8031196036262642
1101	16-17	0.8109115078546694
1101	18-19	0.8163251550175801
1101	20-21	0.7911821718065966
1101	22-23	0.8276068032622916
1101	24-25	0.8106576258731124
1101	26-27	0.8006457870668626
1101	28-29	0.8338818487482911
1101	30-31	0.8168659464334596
1101	32-33	0.8470249102370744
1101	34-35	0.8506507535564225
1101	36-37	0.864899931735259
1101	38-39	0.8567124177015089
1101	40-41	0.8732918764148749
1101	42-43	0.9006385346413879
1101	44-45	0.8976615582611132
1101	46-47	0.8744620728455601
1101	48-49	0.9263889472186193
1101	50-51	0.8987696612530769
1101	52-53	0.891600269638495
1101	54-55	0.819270719594563
1101	56-57	0.8131881194797117
1101	58-59	0.7938657917725251
1101	60-61	0.8635174119027198
1101	62-63	0.8821900806847722
1101	64-65	0.8568104525324642
1101	66-67	0.8130057181877532
1101	68-69	0.8168200834332566
1101	70-71	0.7367951659621355
1101	72-73	0.7889617890742642
1101	74-75	0.7902980634525818
1101	76-77	0.7670710350958103
1101	78-79	0.8190031605797685
1101	80-81	0.8383780923799478
1101	82-83	0.8273448562198134
1101	84-85	0.831963323527237
1101	86-87	0.8017951780890336
1101	88-89	0.8572910838680201
1101	90-91	0.7879617281502291
1101	92-93	0.815039743874987
1101	94-95	0.8143150496552991
1101	96-97	0.8344120201697827
1101	98-99	0.8349815933170284
1101	100-101	0.8867677295077954
1101	102-103	0.8402341147430548
1101	104-105	0.8673058106021543
1101	106-107	0.8951154862205435
1101	108	0.9917050371920162
1102	1	0.46533010685392995
1102	2	0.46856258764710645
1102	3	0.45285744137405715
1102	4	0.4477569167073341
1102	5	0.46519673724514377
1102	6	0.47863153580691886
1102	7	0.4799460332750698
1102	8	0.4674803324813013
1102	9	0.5459215781357472
1102	10-11	0.5770014482453973
1102	12-13	0.5446274807240812
1102	14-15	0.7154214853291023
1102	16-17	0.7280713921704844
1102	18-19	0.7323400231069996
1102	20-21	0.7400199322757075
1102	22-23	0.7386870833883918
1102	24-25	0.7200658269001323
1102	26-27	0.7382043210411453
1102	28-29	0.7504528864302671
1102	30-31	0.7585063517821098
1102	32-33	0.757357638307063
1102	34-35	0.7939395451732949
1102	36-37	0.7848161462528012
1102	38-39	0.7826912300938744
1102	40-41	0.7720370737960494
1102	42-43	0.7887974873401618
1102	44-45	0.7494051038834257
1102	46-47	0.7760250717931854
1102	48-49	0.7855421149030306
1102	50-51	0.7921598150881692
1102	52-53	0.7841318005559756
1102	54-55	0.7837713719032209
1102	56-57	0.8169496537713243
1102	58-59	0.7952512704595307
1102	60-61	0.7657631417196669
1102	62-63	0.7846924554187211
1102	64-65	0.802845287238533
1102	66-67	0.7804448243317523
1102	68-69	0.7660548365308841
1102	70-71	0.7463680609383871
1102	72-73	0.7526402989196868
1102	74-75	0.719620248497371
1102	76-77	0.7165339227837464
1102	78-79	0.7223195096552928
1102	80-81	0.7112471272443273
1102	82-83	0.7195710027514117
1102	84-85	0.7143719110775955
1102	86-87	0.6976372036765461
1102	88-89	0.6948079405688716
1102	90-91	0.7223108510075917
1102	92-93	0.7609363809393024
1102	94-95	0.7443672448663001
1102	96-97	0.7515591736614233
1102	98-99	0.7672536510099341
1102	100-101	0.7540690450363137
1102	102-103	0.6704368014936719
1102	104-105	0.7452697032455475
1102	106-107	0.781366162401401
1102	108	0.7972686756553173
1103	1	0.3262697002587025
1103	2	0.35783065654831603
1103	3	0.3718282926648584
1103	4	0.36155706479213734
1103	5	0.3448995035676603
1103	6	0.36548691686905244
1103	7	0.3922799072130658
1103	8	0.39303569509499425
1103	9	0.5026465760126371
1103	10-11	0.4824326585335683
1103	12-13	0.5039331077698961
1103	14-15	0.609681738938292
1103	16-17	0.6109057899747867
1103	18-19	0.6189816923352254
1103	20-21	0.6183558496371901
1103	22-23	0.6362354091740414
1103	24-25	0.6198613094517285
